function,dimensions,checkpoint,mean,std,median,max,min
F42013,10,0.01,1176342593.8559332,2530636625.514253,83166235.37478739,15503315169.072756,20666.67408862886
F42013,10,0.1,128776115.49088815,600548383.7636501,74184.63199386059,4258233545.4085503,15997.989734376017
F42013,10,0.2,27239127.45982589,161380503.10258645,66115.95947557814,1160274272.1014407,15996.365361482804
F42013,10,0.3,19251312.68487763,133007046.7751137,64145.40191780421,959676841.3531301,15994.772363027758
F42013,10,0.4,5593852.689157364,38631075.11632293,52208.81072555609,278744353.5394948,15993.177730047752
F42013,10,0.5,5355739.3470474705,37397854.259503245,51506.63119935424,269797927.4122714,15991.585286633992
F42013,10,0.6,1503138.5455488057,10242106.561304905,51504.99448350813,73925589.52381021,15989.993120406061
F42013,10,0.7,696197.1891984709,4542352.620469696,51504.63899885581,32815133.652958617,15988.399320524666
F42013,10,0.8,240713.01609151528,1322639.5255433342,51504.304238200166,9592012.052783964,15986.807708971959
F42013,10,0.9,112481.53082681568,416542.73654121766,51503.969683200245,3054161.7214412238,15985.216374462294
F42013,10,1.0,92839.47902122405,278030.7082918618,51503.634739795634,2053233.388132063,15983.623407182262
F42013,30,0.01,440980763.49684554,1003813795.9935149,1564375.9325556725,4789907041.662606,108700.18899637755
F42013,30,0.1,1253718.850021581,5013912.595786187,168865.5018161335,31452185.270083196,94809.73099399854
F42013,30,0.2,169816.3500507493,48774.149127759825,168787.96071409463,404110.1392473097,94148.23463331036
F42013,30,0.3,164107.9779355687,35552.51127695303,164626.7560195211,266104.11005695414,94144.37618129332
F42013,30,0.4,163760.99847397004,35271.93132768488,164599.16946816663,264111.49962906516,94140.52238255039
F42013,30,0.5,163447.79983213765,35013.44079860297,164571.560813956,262162.9073358133,94136.66495583384
F42013,30,0.6,163139.91524918136,34765.84814830222,164543.98891173746,260260.74021987434,94132.81212646751
F42013,30,0.7,162836.43936591878,34528.209246466104,164516.3949136503,258399.3731921233,94128.9556704275
F42013,30,0.8,162537.8685340698,34300.67026143499,164488.83765386223,256581.36758969928,94125.10380925357
F42013,30,0.9,162243.4280627449,34082.40640552911,164461.25831473173,254801.56364796194,94121.24830404061
F42013,30,1.0,161953.61257019787,33873.560368325794,164433.71568866112,253062.59170409583,94117.39740889591
F42013,50,0.01,268903286.12245756,666420866.2676578,333195.1297863136,2936775971.3461704,180669.22953092502
F42013,50,0.1,279050.33207678376,85685.93762270894,270047.2071866842,735508.4621685906,154758.55708290104
F42013,50,0.2,262883.08336718986,44477.77315848725,267566.824195884,369941.9609520585,154713.8447492192
F42013,50,0.3,262309.70885072555,44492.76761445462,267472.64229393256,369897.2365727512,154669.2187675131
F42013,50,0.4,261754.2001397958,44524.56491728567,267378.5381639183,369852.4802249502,154624.58619340256
F42013,50,0.5,261214.82020300732,44571.09969971123,267284.7068763025,369807.78492546186,154580.03975850638
F42013,50,0.6,260689.22618876724,44630.80551035939,266575.9313449546,369763.0576655952,154535.48666647714
F42013,50,0.7,260177.52863435243,44702.08382585406,264930.7858475044,369718.3913869944,154491.01951255195
F42013,50,0.8,259677.80258066618,44783.76870336925,264754.97896136245,369673.6931459701,154446.54567142692
F42013,50,0.9,259190.25296090342,44874.51557544864,264579.6679794945,369629.0558523486,154402.15754761954
F42013,50,1.0,258713.03654657662,44973.47338367598,264404.4868385887,369584.3866062529,154357.76269381784
