function,dimension,run,checkpoint,error
F22013,10,0,0.01,[53125539.28473064]
F22013,10,0,0.1,[1346600.8089989598]
F22013,10,0,0.2,[590983.7630007797]
F22013,10,0,0.3,[283786.17611508083]
F22013,10,0,0.4,[156094.27877729185]
F22013,10,0,0.5,[101823.48089195708]
F22013,10,0,0.6,[77544.56241307502]
F22013,10,0,0.7,[65672.6494831596]
F22013,10,0,0.8,[59048.902593499326]
F22013,10,0,0.9,[54715.54398752081]
F22013,10,0,1.0,[51457.66546292404]
F22013,10,1,0.01,[11690308.91688588]
F22013,10,1,0.1,[7527107.540773531]
F22013,10,1,0.2,[4999483.449948358]
F22013,10,1,0.3,[3473235.891870767]
F22013,10,1,0.4,[2506340.8765806775]
F22013,10,1,0.5,[1867678.4507361075]
F22013,10,1,0.6,[1428281.630734487]
F22013,10,1,0.7,[1115644.445106804]
F22013,10,1,0.8,[887952.2919452024]
F22013,10,1,0.9,[718592.2537846378]
F22013,10,1,1.0,[590585.2751599583]
F22013,10,2,0.01,[29655974.511885773]
F22013,10,2,0.1,[7235904.66010764]
F22013,10,2,0.2,[5275350.498854415]
F22013,10,2,0.3,[4005657.1549600633]
F22013,10,2,0.4,[3107309.9668762344]
F22013,10,2,0.5,[2464101.573919651]
F22013,10,2,0.6,[1995412.0442359135]
F22013,10,2,0.7,[1649368.3110021027]
F22013,10,2,0.8,[1391072.88258616]
F22013,10,2,0.9,[1195041.0274405442]
F22013,10,2,1.0,[1043512.9196085719]
F22013,10,3,0.01,[18465622.07999001]
F22013,10,3,0.1,[2862640.799066446]
F22013,10,3,0.2,[1324891.0554996934]
F22013,10,3,0.3,[850417.196403237]
F22013,10,3,0.4,[626327.5963142728]
F22013,10,3,0.5,[513143.1276482116]
F22013,10,3,0.6,[452239.2052733593]
F22013,10,3,0.7,[416498.950962188]
F22013,10,3,0.8,[393242.44433769863]
F22013,10,3,0.9,[376351.5874165317]
F22013,10,3,1.0,[362884.4010530171]
F22013,10,4,0.01,[52562007.08210371]
F22013,10,4,0.1,[13744659.882040694]
F22013,10,4,0.2,[8083675.505828726]
F22013,10,4,0.3,[4995212.44186162]
F22013,10,4,0.4,[3146721.935208541]
F22013,10,4,0.5,[2010711.1514465339]
F22013,10,4,0.6,[1304955.7859402131]
F22013,10,4,0.7,[864443.3621102406]
F22013,10,4,0.8,[589402.469029974]
F22013,10,4,0.9,[416854.5084330866]
F22013,10,4,1.0,[308005.99944053084]
F22013,10,5,0.01,[91129666.5454046]
F22013,10,5,0.1,[22689076.797065593]
F22013,10,5,0.2,[13357379.900209881]
F22013,10,5,0.3,[8465452.729897497]
F22013,10,5,0.4,[5509057.995907358]
F22013,10,5,0.5,[4109066.757062745]
F22013,10,5,0.6,[3154962.625190256]
F22013,10,5,0.7,[2448253.0583117795]
F22013,10,5,0.8,[1914174.745336564]
F22013,10,5,0.9,[1504637.107826743]
F22013,10,5,1.0,[1187997.9521988414]
F22013,10,6,0.01,[58406728.55357944]
F22013,10,6,0.1,[8992540.95507046]
F22013,10,6,0.2,[5450381.983545456]
F22013,10,6,0.3,[3910476.242749323]
F22013,10,6,0.4,[2984233.2452316144]
F22013,10,6,0.5,[2368922.504120661]
F22013,10,6,0.6,[1933944.788198428]
F22013,10,6,0.7,[1614763.087522711]
F22013,10,6,0.8,[1375563.7864332693]
F22013,10,6,0.9,[1190494.2444302246]
F22013,10,6,1.0,[1047686.8891010471]
F22013,10,7,0.01,[70397213.45459116]
F22013,10,7,0.1,[6673734.371943007]
F22013,10,7,0.2,[2347685.198314316]
F22013,10,7,0.3,[866422.902928101]
F22013,10,7,0.4,[350077.01178237784]
F22013,10,7,0.5,[165436.31701378606]
F22013,10,7,0.6,[95609.90764457054]
F22013,10,7,0.7,[66508.09688339662]
F22013,10,7,0.8,[52556.22764909195]
F22013,10,7,0.9,[44684.95341380011]
F22013,10,7,1.0,[39593.50930396672]
F22013,10,8,0.01,[48680288.6051314]
F22013,10,8,0.1,[9142476.004518092]
F22013,10,8,0.2,[3927013.254657923]
F22013,10,8,0.3,[1896371.370618862]
F22013,10,8,0.4,[1168635.284175055]
F22013,10,8,0.5,[780404.028782069]
F22013,10,8,0.6,[535617.6466512544]
F22013,10,8,0.7,[376467.89234258374]
F22013,10,8,0.8,[271740.92612591595]
F22013,10,8,0.9,[202158.94066629917]
F22013,10,8,1.0,[155594.88721277125]
F22013,10,9,0.01,[44145676.18012611]
F22013,10,9,0.1,[17996250.49648457]
F22013,10,9,0.2,[10876276.350602016]
F22013,10,9,0.3,[6673072.206420296]
F22013,10,9,0.4,[4139539.2778808554]
F22013,10,9,0.5,[2602969.535594048]
F22013,10,9,0.6,[1664399.1457817932]
F22013,10,9,0.7,[1088052.6036450195]
F22013,10,9,0.8,[733441.7424615519]
F22013,10,9,0.9,[513162.17332639615]
F22013,10,9,1.0,[375761.01802874176]
F22013,10,10,0.01,[95378638.11488569]
F22013,10,10,0.1,[18715330.813417315]
F22013,10,10,0.2,[9187147.923690457]
F22013,10,10,0.3,[5687061.507708417]
F22013,10,10,0.4,[3895718.8367388626]
F22013,10,10,0.5,[2808405.9344045594]
F22013,10,10,0.6,[2076801.116203612]
F22013,10,10,0.7,[1555865.365691396]
F22013,10,10,0.8,[1181190.5013485611]
F22013,10,10,0.9,[907034.0867256032]
F22013,10,10,1.0,[704972.6670708648]
F22013,10,11,0.01,[81622904.96683148]
F22013,10,11,0.1,[26247589.136506304]
F22013,10,11,0.2,[13967990.239568457]
