function,dimension,run,checkpoint,error
F42013,10,0,0.01,[73454.14347121019]
F42013,10,0,0.1,[73010.88939861608]
F42013,10,0,0.2,[72935.33548888948]
F42013,10,0,0.3,[72859.89470868255]
F42013,10,0,0.4,[72784.47652060173]
F42013,10,0,0.5,[72709.26156444241]
F42013,10,0,0.6,[72634.15916799751]
F42013,10,0,0.7,[72559.07920495635]
F42013,10,0,0.8,[72484.20153435694]
F42013,10,0,0.9,[72409.43587598608]
F42013,10,0,1.0,[72334.69251400538]
F42013,10,1,0.01,[32594.24223676972]
F42013,10,1,0.1,[32449.85545738526]
F42013,10,1,0.2,[32290.44594388758]
F42013,10,1,0.3,[32132.03822570879]
F42013,10,1,0.4,[31974.43940845399]
F42013,10,1,0.5,[31818.02284911978]
F42013,10,1,0.6,[31662.59446958292]
F42013,10,1,0.7,[31507.964944420335]
F42013,10,1,0.8,[31354.500529876474]
F42013,10,1,0.9,[31202.010760070636]
F42013,10,1,1.0,[31050.309813467178]
F42013,10,2,0.01,[58166.0791295707]
F42013,10,2,0.1,[58029.46977216025]
F42013,10,2,0.2,[57878.497153071345]
F42013,10,2,0.3,[57728.31315870227]
F42013,10,2,0.4,[57578.73303033859]
F42013,10,2,0.5,[57430.10972201463]
F42013,10,2,0.6,[57282.2575504402]
F42013,10,2,0.7,[57134.99463650978]
F42013,10,2,0.8,[56988.66844692296]
F42013,10,2,0.9,[56843.09632007482]
F42013,10,2,1.0,[56698.09918422189]
F42013,10,3,0.01,[23589.930722042667]
F42013,10,3,0.1,[23441.830464648934]
F42013,10,3,0.2,[23279.864278246587]
F42013,10,3,0.3,[23120.471302053877]
F42013,10,3,0.4,[22963.383139788457]
F42013,10,3,0.5,[22808.89855762823]
F42013,10,3,0.6,[22656.75402271297]
F42013,10,3,0.7,[22506.700562114438]
F42013,10,3,0.8,[22359.030754460622]
F42013,10,3,0.9,[22213.49969693636]
F42013,10,3,1.0,[22069.87485087367]
F42013,10,4,0.01,[80544.12943291497]
F42013,10,4,0.1,[80452.38822248249]
F42013,10,4,0.2,[80351.06050855225]
F42013,10,4,0.3,[80249.91481055846]
F42013,10,4,0.4,[80148.82992864029]
F42013,10,4,0.5,[80048.04810074442]
F42013,10,4,0.6,[79947.4479129949]
F42013,10,4,0.7,[79846.90878584345]
F42013,10,4,0.8,[79746.6716825322]
F42013,10,4,0.9,[79646.61584231007]
F42013,10,4,1.0,[79546.62136534137]
F42013,10,5,0.01,[48057.18223854839]
F42013,10,5,0.1,[47706.23093050974]
F42013,10,5,0.2,[47320.89375084307]
F42013,10,5,0.3,[46940.21173595738]
F42013,10,5,0.4,[46563.889463385]
F42013,10,5,0.5,[46193.011778599786]
F42013,10,5,0.6,[45827.09260561761]
F42013,10,5,0.7,[45465.43139962553]
F42013,10,5,0.8,[45108.64347316235]
F42013,10,5,0.9,[44756.38540332272]
F42013,10,5,1.0,[44408.17052650679]
F42013,10,6,0.01,[47387.74236750946]
F42013,10,6,0.1,[47294.973833870536]
F42013,10,6,0.2,[47192.4182862765]
F42013,10,6,0.3,[47090.3637833267]
F42013,10,6,0.4,[46988.68521753054]
F42013,10,6,0.5,[46887.62293362137]
F42013,10,6,0.6,[46787.05122916373]
F42013,10,6,0.7,[46686.84684640744]
F42013,10,6,0.8,[46587.246681319026]
F42013,10,6,0.9,[46488.12687720734]
F42013,10,6,1.0,[46389.36598024553]
F42013,10,7,0.01,[26342.96449795889]
F42013,10,7,0.1,[26267.7512206765]
F42013,10,7,0.2,[26184.483031503645]
F42013,10,7,0.3,[26101.495419172163]
F42013,10,7,0.4,[26018.687019657616]
F42013,10,7,0.5,[25936.254267882654]
F42013,10,7,0.6,[25854.09560335245]
F42013,10,7,0.7,[25772.110829823218]
F42013,10,7,0.8,[25690.494581915827]
F42013,10,7,0.9,[25609.14647315323]
F42013,10,7,1.0,[25527.967447770905]
F42013,10,8,0.01,[33143.350951176304]
F42013,10,8,0.1,[33075.32292164835]
F42013,10,8,0.2,[33000.024317316]
F42013,10,8,0.3,[32924.99600462695]
F42013,10,8,0.4,[32850.14744861193]
F42013,10,8,0.5,[32775.657187836885]
F42013,10,8,0.6,[32701.434239142713]
F42013,10,8,0.7,[32627.389175082306]
F42013,10,8,0.8,[32553.698552914164]
F42013,10,8,0.9,[32480.272697553442]
F42013,10,8,1.0,[32407.023079679555]
F42013,10,9,0.01,[54789.43134437489]
F42013,10,9,0.1,[54688.63564185999]
F42013,10,9,0.2,[54577.203743280625]
F42013,10,9,0.3,[54466.31385677795]
F42013,10,9,0.4,[54355.83003387098]
F42013,10,9,0.5,[54246.01347749562]
F42013,10,9,0.6,[54136.72760022382]
F42013,10,9,0.7,[54027.83848906953]
F42013,10,9,0.8,[53919.603540233955]
F42013,10,9,0.9,[53811.888254091886]
F42013,10,9,1.0,[53704.56060212356]
F42013,10,10,0.01,[17807.362028122763]
F42013,10,10,0.1,[17712.67523862244]
F42013,10,10,0.2,[17608.514726053]
F42013,10,10,0.3,[17505.398029688688]
F42013,10,10,0.4,[17403.189664664944]
F42013,10,10,0.5,[17302.121880303013]
F42013,10,10,0.6,[17202.059360513933]
F42013,10,10,0.7,[17102.872348174827]
F42013,10,10,0.8,[17004.787995935443]
F42013,10,10,0.9,[16907.676789497546]
F42013,10,10,1.0,[16811.41461714528]
F42013,10,11,0.01,[41643.699789465165]
F42013,10,11,0.1,[41599.84792313418]
F42013,10,11,0.2,[41551.180859603875]
F42013,10,11,0.3,[41502.55341618053]
F42013,10,11,0.4,[41453.90719385825]
F42013,10,11,0.5,[41405.35875091124]
F42013,10,11,0.6,[41356.84965203873]
F42013,10,11,0.7,[41308.32165475201]
F42013,10,11,0.8,[41259.891070975085]
F42013,10,11,0.9,[41211.49962283832]
F42013,10,11,1.0,[41163.08923597967]
F42013,10,12,0.01,[101249.1172157562]
F42013,10,12,0.1,[100961.8081428014]
F42013,10,12,0.2,[100644.7922671389]
F42013,10,12,0.3,[100329.95400043996]
F42013,10,12,0.4,[100016.89813027569]
F42013,10,12,0.5,[99706.35462446633]
F42013,10,12,0.6,[99397.92601313474]
F42013,10,12,0.7,[99091.22544265391]
F42013,10,12,0.8,[98786.9680100454]
F42013,10,12,0.9,[98484.76462779046]
F42013,10,12,1.0,[98184.23647377446]
F42013,10,13,0.01,[33769.485088558526]
F42013,10,13,0.1,[33697.886461944494]
F42013,10,13,0.2,[33618.820644768064]
F42013,10,13,0.3,[33540.23142896311]
F42013,10,13,0.4,[33462.021557662316]
F42013,10,13,0.5,[33384.3748189241]
F42013,10,13,0.6,[33307.19347688129]
F42013,10,13,0.7,[33230.38198280147]
F42013,10,13,0.8,[33154.120867450125]
F42013,10,13,0.9,[33078.31413929971]
F42013,10,13,1.0,[33002.86800163369]
F42013,10,14,0.01,[35100.23237801151]
F42013,10,14,0.1,[34842.1651213232]
F42013,10,14,0.2,[34559.90642472348]
F42013,10,14,0.3,[34282.16184477317]
F42013,10,14,0.4,[34008.521835485946]
F42013,10,14,0.5,[33739.559833554]
F42013,10,14,0.6,[33474.86403121805]
F42013,10,14,0.7,[33214.044444792016]
F42013,10,14,0.8,[32957.64829339971]
F42013,10,14,0.9,[32705.283657033866]
F42013,10,14,1.0,[32456.579270170365]
F42013,10,15,0.01,[91182.06075300557]
F42013,10,15,0.1,[91064.79465282138]
F42013,10,15,0.2,[90934.83023976718]
F42013,10,15,0.3,[90805.15743773933]
F42013,10,15,0.4,[90675.6203099037]
F42013,10,15,0.5,[90546.5288524777]
F42013,10,15,0.6,[90417.72689536517]
F42013,10,15,0.7,[90289.05955303324]
F42013,10,15,0.8,[90160.83478232093]
F42013,10,15,0.9,[90032.89743002146]
F42013,10,15,1.0,[89905.09371470309]
F42013,10,16,0.01,[29033.91294191605]
F42013,10,16,0.1,[28940.849308230558]
F42013,10,16,0.2,[28837.959272446118]
F42013,10,16,0.3,[28735.563487987747]
F42013,10,16,0.4,[28633.536713487654]
F42013,10,16,0.5,[28532.120423909633]
F42013,10,16,0.6,[28431.18878647841]
F42013,10,16,0.7,[28330.618367437717]
F42013,10,16,0.8,[28230.647224528042]
F42013,10,16,0.9,[28131.151377617898]
F42013,10,16,1.0,[28032.009168128174]
F42013,10,17,0.01,[100874.91964456892]
F42013,10,17,0.1,[99988.8894024745]
F42013,10,17,0.2,[99022.3367914641]
F42013,10,17,0.3,[98073.74764620795]
F42013,10,17,0.4,[97141.52558152894]
F42013,10,17,0.5,[96227.43100443539]
F42013,10,17,0.6,[95329.87727030164]
F42013,10,17,0.7,[94447.3710322038]
F42013,10,17,0.8,[93581.59769756641]
F42013,10,17,0.9,[92731.07324957373]
F42013,10,17,1.0,[91894.39939357694]
F42013,10,18,0.01,[40378.125888390576]
F42013,10,18,0.1,[40007.80434192732]
F42013,10,18,0.2,[39603.05250720597]
F42013,10,18,0.3,[39205.03824639202]
F42013,10,18,0.4,[38813.14746708768]
F42013,10,18,0.5,[38428.17293435159]
F42013,10,18,0.6,[38049.49713413601]
F42013,10,18,0.7,[37676.54215745513]
F42013,10,18,0.8,[37310.05844414116]
F42013,10,18,0.9,[36949.46500595215]
F42013,10,18,1.0,[36594.219730509416]
F42013,10,19,0.01,[54386.38222414545]
F42013,10,19,0.1,[54267.6736197467]
F42013,10,19,0.2,[54136.46852360532]
F42013,10,19,0.3,[54005.93216209003]
F42013,10,19,0.4,[53875.903466095086]
F42013,10,19,0.5,[53746.68877596824]
F42013,10,19,0.6,[53618.12634991493]
F42013,10,19,0.7,[53490.05767907667]
F42013,10,19,0.8,[53362.78459996827]
F42013,10,19,0.9,[53236.14785740972]
F42013,10,19,1.0,[53109.991411757735]
F42013,10,20,0.01,[47964.01074432948]
F42013,10,20,0.1,[47759.747675488914]
F42013,10,20,0.2,[47534.566691324704]
F42013,10,20,0.3,[47311.13711930911]
F42013,10,20,0.4,[47089.169493772584]
F42013,10,20,0.5,[46869.17242399591]
F42013,10,20,0.6,[46650.85447090613]
F42013,10,20,0.7,[46433.93468633717]
F42013,10,20,0.8,[46218.908515860225]
F42013,10,20,0.9,[46005.496451048144]
F42013,10,20,1.0,[45793.421456102]
F42013,10,21,0.01,[54824.05437010161]
F42013,10,21,0.1,[54717.03011575657]
F42013,10,21,0.2,[54598.53578265849]
F42013,10,21,0.3,[54480.43333451327]
F42013,10,21,0.4,[54362.57990169353]
F42013,10,21,0.5,[54245.25637785353]
F42013,10,21,0.6,[54128.31943506397]
F42013,10,21,0.7,[54011.62770449009]
F42013,10,21,0.8,[53895.45928405662]
F42013,10,21,0.9,[53779.672315635224]
F42013,10,21,1.0,[53664.1267490541]
F42013,10,22,0.01,[17981.909335255234]
F42013,10,22,0.1,[17943.832468863508]
F42013,10,22,0.2,[17901.85541498321]
F42013,10,22,0.3,[17860.20860411418]
F42013,10,22,0.4,[17818.83522853085]
F42013,10,22,0.5,[17777.822187360292]
F42013,10,22,0.6,[17737.1032601153]
F42013,10,22,0.7,[17696.60836476132]
F42013,10,22,0.8,[17656.40709068132]
F42013,10,22,0.9,[17616.422676470727]
F42013,10,22,1.0,[17576.59303871874]
F42013,10,23,0.01,[65898.5181601962]
F42013,10,23,0.1,[65822.22823887825]
F42013,10,23,0.2,[65737.72056865743]
F42013,10,23,0.3,[65653.44883954186]
F42013,10,23,0.4,[65569.31140905518]
F42013,10,23,0.5,[65485.50914622165]
F42013,10,23,0.6,[65401.94014062366]
F42013,10,23,0.7,[65318.50361154248]
F42013,10,23,0.8,[65235.39875664673]
F42013,10,23,0.9,[65152.52451685781]
F42013,10,23,1.0,[65069.78094007291]
F42013,10,24,0.01,[52816.18693938526]
F42013,10,24,0.1,[52632.42702534242]
F42013,10,24,0.2,[52430.378046587175]
F42013,10,24,0.3,[52230.44549591213]
F42013,10,24,0.4,[52032.357278415984]
F42013,10,24,0.5,[51836.55197566013]
F42013,10,24,0.6,[51642.75359094227]
F42013,10,24,0.7,[51450.69935281707]
F42013,10,24,0.8,[51260.815369824115]
F42013,10,24,0.9,[51072.834995286095]
