function,dimensions,checkpoint,mean,std,median,max,min
F22013,10,0.01,7521444391.825117,9960724349.93377,4015900983.6877747,40647572041.98083,112179531.34313689
F22013,10,0.1,7390546566.823636,9910524035.376184,3880970903.09337,40460519996.163925,103225437.89501266
F22013,10,0.2,7311509012.59569,9880305737.814993,3794209951.607925,40351050935.782776,99347859.80088209
F22013,10,0.3,7251010776.059086,9857047741.99041,3725008088.2780633,40268823708.96427,96879537.58802707
F22013,10,0.4,7200191501.597031,9837327212.324486,3664935348.206104,40200631389.27375,95016327.03614576
F22013,10,0.5,7155596660.900582,9819833004.834381,3610745528.549876,40141364635.122574,93465939.8058595
F22013,10,0.6,7115461485.337998,9803889185.188883,3560784734.843837,40088407123.996956,92081782.4773926
F22013,10,0.7,7078737769.614605,9789094970.366158,3514077312.208449,40040207262.490685,90760789.20795654
F22013,10,0.8,7044741082.707392,9775190766.074667,3469992089.8850865,39995755625.51424,89412997.68487374
F22013,10,0.9,7012995437.404145,9761996886.1343,3428093708.378047,39954352359.84666,88041061.85880415
F22013,10,1.0,6983155692.420254,9749381576.429544,3388067280.016302,39915488672.75051,86835906.42829563
F22013,30,0.01,18394369626.186737,10998795286.452528,16888846150.180573,49932141739.916405,1763602573.1888132
F22013,30,0.1,18006939047.02935,10879082823.12209,16481585670.356596,49250768674.28336,1673301245.378282
F22013,30,0.2,17775065531.530396,10805089164.69799,16242873827.033184,48847650366.581955,1632012302.5072584
F22013,30,0.3,17598702401.583862,10747932067.227167,16063740346.960735,48543351441.1467,1604096299.2677586
F22013,30,0.4,17451066825.682663,10699443026.631586,15915467031.91105,48290397455.7987,1582021992.427955
F22013,30,0.5,17321694606.498066,10656423839.189543,15786571943.124481,48069794899.822876,1563359221.0346048
F22013,30,0.6,17205304349.100796,10617370420.712803,15671495774.42064,47872346260.429695,1547021255.6766245
F22013,30,0.7,17098703062.423735,10581335700.504066,15566854411.514881,47692421785.89499,1532380096.2790105
F22013,30,0.8,17000146429.895378,10547738625.92699,15470551109.817741,47526519756.10695,1519055385.4314966
F22013,30,0.9,16907876273.507046,10516043007.083391,15380870725.518177,47371752784.11359,1506755449.1884227
F22013,30,1.0,16820893414.535244,10485991185.224592,15296814200.120947,47226445077.30729,1495307652.0043998
F22013,50,0.01,21228096955.33551,8008015876.270076,19170189988.15426,42270263001.24899,7329126152.092297
F22013,50,0.1,20741060588.161774,7889511294.961778,18793618662.904102,41652940135.67981,7139397677.506965
F22013,50,0.2,20450343654.386063,7817747882.498435,18567674587.259453,41274776472.17575,7022799562.371644
F22013,50,0.3,20229619433.1476,7762574658.138427,18395254578.39661,40982227927.80925,6933231944.700971
F22013,50,0.4,20045614632.956757,7715978497.268229,18250733120.329063,40734345532.42608,6858532360.149639
F22013,50,0.5,19885050870.502007,7674981860.525041,18123872963.01073,40514726802.60599,6793782175.271025
F22013,50,0.6,19740904098.646942,7637896403.686361,18009420365.69617,40314933619.76618,6736339938.340967
F22013,50,0.7,19609428654.745937,7603766285.243064,17904558729.693184,40130474160.16673,6684676685.27919
F22013,50,0.8,19487759446.578472,7571913381.19863,17807090615.04579,39957775959.13833,6637535867.963236
F22013,50,0.9,19374325437.541584,7541981849.460683,17715844455.784744,39794974745.55267,6594168648.6374
F22013,50,1.0,19267697827.48723,7513634460.906434,17629725396.963383,39640277106.65353,6553885493.760171
