function,dimension,run,checkpoint,error
F62013,10,0,0.01,[29916.67064979579]
F62013,10,0,0.1,[29374.04993007531]
F62013,10,0,0.2,[29050.81845571884]
F62013,10,0,0.3,[28805.45186297296]
F62013,10,0,0.4,[28600.394454118174]
F62013,10,0,0.5,[28421.091644770087]
F62013,10,0,0.6,[28260.077805895406]
F62013,10,0,0.7,[28112.917867436478]
F62013,10,0,0.8,[27976.722143953317]
F62013,10,0,0.9,[27849.483606343263]
F62013,10,0,1.0,[27729.741065139187]
F62013,10,1,0.01,[76953.64730022497]
F62013,10,1,0.1,[75701.40391223581]
F62013,10,1,0.2,[74953.04555752587]
F62013,10,1,0.3,[74383.7402600368]
F62013,10,1,0.4,[73907.14268518698]
F62013,10,1,0.5,[73489.78797791146]
F62013,10,1,0.6,[73114.5095923526]
F62013,10,1,0.7,[72771.10896956171]
F62013,10,1,0.8,[72452.94075524849]
F62013,10,1,0.9,[72155.38932921311]
F62013,10,1,1.0,[71875.09406968147]
F62013,10,2,0.01,[14702.184432731423]
F62013,10,2,0.1,[14453.437060519149]
F62013,10,2,0.2,[14305.665851100579]
F62013,10,2,0.3,[14193.683190541973]
F62013,10,2,0.4,[14100.2181472024]
F62013,10,2,0.5,[14018.578514234325]
F62013,10,2,0.6,[13945.332116366215]
F62013,10,2,0.7,[13878.440349602337]
F62013,10,2,0.8,[13816.575227321377]
F62013,10,2,0.9,[13758.814580407357]
F62013,10,2,1.0,[13704.48717764732]
F62013,10,3,0.01,[8735.609645727205]
F62013,10,3,0.1,[8524.278036243033]
F62013,10,3,0.2,[8399.100980168434]
F62013,10,3,0.3,[8304.436665043802]
F62013,10,3,0.4,[8225.563018263894]
F62013,10,3,0.5,[8156.775226687402]
F62013,10,3,0.6,[8095.147385070762]
F62013,10,3,0.7,[8038.941501020966]
F62013,10,3,0.8,[7987.0253245855365]
F62013,10,3,0.9,[7938.6125313977855]
F62013,10,3,1.0,[7893.130703405298]
F62013,10,4,0.01,[19071.00330412303]
F62013,10,4,0.1,[18721.34341419993]
F62013,10,4,0.2,[18513.44441653807]
F62013,10,4,0.3,[18355.80914687252]
F62013,10,4,0.4,[18224.18418681053]
F62013,10,4,0.5,[18109.171666407834]
F62013,10,4,0.6,[18005.951730598244]
F62013,10,4,0.7,[17911.661669582645]
F62013,10,4,0.8,[17824.436759163622]
F62013,10,4,0.9,[17742.982180844814]
F62013,10,4,1.0,[17666.35552166335]
F62013,10,5,0.01,[24629.92720252125]
F62013,10,5,0.1,[24159.746315895387]
F62013,10,5,0.2,[23880.152065899223]
F62013,10,5,0.3,[23668.15450308676]
F62013,10,5,0.4,[23491.146285044502]
F62013,10,5,0.5,[23336.49114548019]
F62013,10,5,0.6,[23197.707636471565]
F62013,10,5,0.7,[23070.945527698317]
F62013,10,5,0.8,[22953.696306385362]
F62013,10,5,0.9,[22844.21776395133]
F62013,10,5,1.0,[22741.241540786814]
F62013,10,6,0.01,[25434.428780517654]
F62013,10,6,0.1,[24963.949362413496]
F62013,10,6,0.2,[24683.537121418678]
F62013,10,6,0.3,[24470.577793445907]
F62013,10,6,0.4,[24292.540822203813]
F62013,10,6,0.5,[24136.81834792385]
F62013,10,6,0.6,[23996.942945263334]
F62013,10,6,0.7,[23869.072334700024]
F62013,10,6,0.8,[23750.70308474627]
F62013,10,6,0.9,[23640.096302572412]
F62013,10,6,1.0,[23535.986016925315]
F62013,10,7,0.01,[28401.37626134451]
F62013,10,7,0.1,[27832.81760275973]
F62013,10,7,0.2,[27494.08892846137]
F62013,10,7,0.3,[27236.937831539093]
F62013,10,7,0.4,[27022.019593593086]
F62013,10,7,0.5,[26834.08608230473]
F62013,10,7,0.6,[26665.31578736154]
F62013,10,7,0.7,[26511.062146303688]
F62013,10,7,0.8,[26368.29765451135]
F62013,10,7,0.9,[26234.919532454798]
F62013,10,7,1.0,[26109.396870002165]
F62013,10,8,0.01,[7008.181335168694]
F62013,10,8,0.1,[6844.319308546263]
F62013,10,8,0.2,[6747.515991514901]
F62013,10,8,0.3,[6674.408624399007]
F62013,10,8,0.4,[6613.543693139524]
F62013,10,8,0.5,[6560.483852837126]
F62013,10,8,0.6,[6512.954203153884]
F62013,10,8,0.7,[6469.604587188337]
F62013,10,8,0.8,[6429.556604496962]
F62013,10,8,0.9,[6392.201337609296]
F62013,10,8,1.0,[6357.096465359347]
F62013,10,9,0.01,[4154.696269478424]
F62013,10,9,0.1,[4070.731308392916]
F62013,10,9,0.2,[4021.1523691375933]
F62013,10,9,0.3,[3983.6334762280567]
F62013,10,9,0.4,[3952.3178985481204]
F62013,10,9,0.5,[3924.9534069266674]
F62013,10,9,0.6,[3900.392061764745]
F62013,10,9,0.7,[3877.9541881163877]
F62013,10,9,0.8,[3857.1974404008865]
F62013,10,9,0.9,[3837.814592872787]
F62013,10,9,1.0,[3819.581882508791]
F62013,10,10,0.01,[4302.319519694743]
F62013,10,10,0.1,[4201.950507883399]
F62013,10,10,0.2,[4142.969281707881]
F62013,10,10,0.3,[4098.594611946986]
F62013,10,10,0.4,[4061.7714584052246]
F62013,10,10,0.5,[4029.766988270049]
F62013,10,10,0.6,[4001.180060620804]
F62013,10,10,0.7,[3975.1786915349635]
F62013,10,10,0.8,[3951.2210502913344]
F62013,10,10,0.9,[3928.9309741339753]
F62013,10,10,1.0,[3908.0347276948746]
F62013,10,11,0.01,[28976.237195056656]
F62013,10,11,0.1,[28417.393691243662]
