function,dimensions,checkpoint,mean,std,median,max,min
F22013,10,0.01,166254143.45107865,287194297.46264356,63185075.964274995,1658143014.8504286,3298644.3327933806
F22013,10,0.1,9788176.341599185,11206094.848553315,6071288.267014771,63131595.10243434,196277.55707749736
F22013,10,0.2,3787230.898072201,5471530.561692469,1423938.0578569074,27601236.971354697,29779.87044810853
F22013,10,0.3,1506797.8266494179,2444430.559978893,521584.54691054294,11630145.153221142,4234.076171474082
F22013,10,0.4,573372.9520217351,883759.8200429938,198171.20086051046,4252126.076072582,3591.32672511843
F22013,10,0.5,237036.9854727748,309210.1223258384,100335.15009044092,1276331.0872246537,3060.814899255706
F22013,10,0.6,114761.4273892792,151886.74423101317,54614.702860360565,715748.0165781785,2484.885091118853
F22013,10,0.7,72691.92060559703,108469.98575589374,28912.243151893268,530297.0829657522,1905.3678820622044
F22013,10,0.8,41761.343801187184,54420.527961522115,19855.138989373823,232898.86586900428,1401.6150294072647
F22013,10,0.9,68454.5363534854,325671.9785252059,13324.948438076086,2363652.1631754735,1474.600059565729
F22013,10,1.0,24643.20131036219,43660.792347096554,12613.04802169661,207572.03079197748,1350.5287032385836
F22013,30,0.01,417207188.15629405,269105705.993512,342466400.5038716,1301828941.2592146,107057185.81816566
F22013,30,0.1,15201810.029889612,10983070.898208203,12254765.973002424,59342471.47325223,3314945.2894948334
F22013,30,0.2,4008629.911004217,2949851.5101427734,3231719.1043103607,13791579.242256662,341510.02150096087
F22013,30,0.3,1576079.6574769474,1275135.7604588598,1100376.4493245254,6012304.57487832,110445.61754433223
F22013,30,0.4,699033.0712005238,574242.4235489081,479630.75653814955,2684744.354701522,51290.52241886053
F22013,30,0.5,342413.47421156475,256508.62437313405,262664.9520527814,1013208.975251702,34515.63615877635
F22013,30,0.6,185348.19514528514,133759.50881232705,157940.5077431241,542826.0334356292,25176.26778996939
F22013,30,0.7,105734.71873207965,73377.91125714047,96263.62615636252,335194.2820978871,17458.085051759408
F22013,30,0.8,86641.04174524,95588.88055828815,69463.18613720122,640607.5099354436,11348.343554076617
F22013,30,0.9,63722.91844554882,128993.04923130818,40208.87903903089,954097.7152872058,8915.234457869374
F22013,30,1.0,40482.97471893391,34568.112809573206,28279.986717322914,195484.07649087074,7065.476038438668
F22013,50,0.01,460388189.6052703,218982748.1889783,432664598.1790457,999584239.1958777,95080280.23523043
F22013,50,0.1,15088039.091988062,8633910.749188725,13132932.023454132,40646532.49551919,3338112.145550145
F22013,50,0.2,4103959.4424379836,2352943.304670581,3674462.7406130377,13889301.157102214,1203425.7370818888
F22013,50,0.3,1831514.7434644124,1010824.1422105731,1553867.8634812115,6373219.273549885,603812.4783556311
F22013,50,0.4,973550.2164010169,466768.9276007699,839474.6081929823,2780880.6933772815,308548.03687680076
F22013,50,0.5,569951.987797221,239884.9264284654,512461.25483973237,1236317.3584337598,172131.80196145666
F22013,50,0.6,718159.3179722376,1294662.702488087,391023.52055279154,7021500.721147316,98748.38408808077
F22013,50,0.7,607175.8033530978,1807799.410216804,248302.715326594,11506750.151488962,49101.40684738515
F22013,50,0.8,407637.1095935527,1297854.6319872548,162167.7773814859,8540749.229231467,30315.000080920207
F22013,50,0.9,245066.09031960194,404875.993071969,104460.90352270876,1708664.0128333783,20743.20103614895
F22013,50,1.0,453511.1766143769,1756319.5787797552,79153.96401571816,11926950.687707115,14768.41143624585
