function,dimension,run,checkpoint,error
F42013,10,0,0.01,[4788472.433707916]
F42013,10,0,0.1,[39798.61024070416]
F42013,10,0,0.2,[39718.09179814162]
F42013,10,0,0.3,[39583.409474734486]
F42013,10,0,0.4,[39372.58006892202]
F42013,10,0,0.5,[39052.346348698666]
F42013,10,0,0.6,[38573.37285521288]
F42013,10,0,0.7,[37866.380033592315]
F42013,10,0,0.8,[36843.792211911335]
F42013,10,0,0.9,[35399.70828951003]
F42013,10,0,1.0,[33430.05315420103]
F42013,10,1,0.01,[357570.9195549132]
F42013,10,1,0.1,[62102.238262071915]
F42013,10,1,0.2,[61676.578169590226]
F42013,10,1,0.3,[60978.068368425615]
F42013,10,1,0.4,[59917.2405868214]
F42013,10,1,0.5,[58377.56469257238]
F42013,10,1,0.6,[56221.81923772988]
F42013,10,1,0.7,[53321.37126529366]
F42013,10,1,0.8,[49614.231847453826]
F42013,10,1,0.9,[46530.04695259706]
F42013,10,1,1.0,[44014.53928618811]
F42013,10,2,0.01,[90469.22486517826]
F42013,10,2,0.1,[53979.17134269499]
F42013,10,2,0.2,[53640.12553911533]
F42013,10,2,0.3,[53079.14284216395]
F42013,10,2,0.4,[52216.021019873806]
F42013,10,2,0.5,[50938.70769539172]
F42013,10,2,0.6,[49099.57987858086]
F42013,10,2,0.7,[46527.59849925064]
F42013,10,2,0.8,[43783.582613494385]
F42013,10,2,0.9,[88697.08955734625]
F42013,10,2,1.0,[38653.58166328941]
F42013,10,3,0.01,[144034.9403606918]
F42013,10,3,0.1,[49026.729425636935]
F42013,10,3,0.2,[48850.01643320261]
F42013,10,3,0.3,[48556.28997859935]
F42013,10,3,0.4,[48101.069289425905]
F42013,10,3,0.5,[47419.92598501428]
F42013,10,3,0.6,[46423.04929066883]
F42013,10,3,0.7,[44995.608764057004]
F42013,10,3,0.8,[43012.822075416065]
F42013,10,3,0.9,[65315.7956193313]
F42013,10,3,1.0,[43510.84143996348]
F42013,10,4,0.01,[2139969.4102008366]
F42013,10,4,0.1,[50446.699197716785]
F42013,10,4,0.2,[50284.65186825373]
F42013,10,4,0.3,[50013.92486316965]
F42013,10,4,0.4,[49590.95757424652]
F42013,10,4,0.5,[48950.42782581678]
F42013,10,4,0.6,[47996.72325876955]
F42013,10,4,0.7,[46598.49276088407]
F42013,10,4,0.8,[44596.083687768456]
F42013,10,4,0.9,[41808.279393082]
F42013,10,4,1.0,[38080.14602449647]
F42013,10,5,0.01,[26626194.602224756]
F42013,10,5,0.1,[31954.872401851655]
F42013,10,5,0.2,[31894.674358037937]
F42013,10,5,0.3,[31793.76865364668]
F42013,10,5,0.4,[31635.268501641385]
F42013,10,5,0.5,[31393.21515675236]
F42013,10,5,0.6,[31028.11577338835]
F42013,10,5,0.7,[30482.098507664872]
F42013,10,5,0.8,[29676.917815337205]
F42013,10,5,0.9,[28509.023031531968]
F42013,10,5,1.0,[26849.326918819515]
F42013,10,6,0.01,[73071.05518566944]
F42013,10,6,0.1,[59307.49579684124]
F42013,10,6,0.2,[59052.48783561571]
F42013,10,6,0.3,[58631.51606295028]
F42013,10,6,0.4,[57986.06056273559]
F42013,10,6,0.5,[57035.543578861594]
F42013,10,6,0.6,[55675.79598876127]
F42013,10,6,0.7,[53789.068598530364]
F42013,10,6,0.8,[51297.533090276636]
F42013,10,6,0.9,[49618.62595316304]
F42013,10,6,1.0,[47911.89811442223]
F42013,10,7,0.01,[58983.92434895797]
F42013,10,7,0.1,[50042.612044838985]
F42013,10,7,0.2,[49717.996863478824]
F42013,10,7,0.3,[49182.95343642463]
F42013,10,7,0.4,[48364.93889107157]
F42013,10,7,0.5,[47166.53652687382]
F42013,10,7,0.6,[45468.34035869956]
F42013,10,7,0.7,[43152.41847814804]
F42013,10,7,0.8,[40159.067657777385]
F42013,10,7,0.9,[37062.09395215975]
F42013,10,7,1.0,[36192.652597738655]
F42013,10,8,0.01,[93452.05049937755]
F42013,10,8,0.1,[87647.82277296667]
F42013,10,8,0.2,[85800.72419156914]
F42013,10,8,0.3,[82868.36335519479]
F42013,10,8,0.4,[78652.07589077651]
F42013,10,8,0.5,[73003.2149242367]
F42013,10,8,0.6,[69364.31630501739]
F42013,10,8,0.7,[63695.139394066166]
F42013,10,8,0.8,[61385.03952492347]
F42013,10,8,0.9,[58274.01305970951]
F42013,10,8,1.0,[56984.172101535165]
F42013,10,9,0.01,[91208.39142565467]
F42013,10,9,0.1,[57397.91313535994]
F42013,10,9,0.2,[57049.85584565359]
F42013,10,9,0.3,[56471.898456921714]
F42013,10,9,0.4,[55577.76455501129]
F42013,10,9,0.5,[54244.17024243567]
F42013,10,9,0.6,[52304.0253944233]
F42013,10,9,0.7,[49557.32578103988]
F42013,10,9,0.8,[45824.01836467648]
F42013,10,9,0.9,[41011.7472649684]
F42013,10,9,1.0,[39721.031598043795]
F42013,10,10,0.01,[2089247.0147616183]
F42013,10,10,0.1,[61931.79404024871]
F42013,10,10,0.2,[61764.502713174115]
F42013,10,10,0.3,[61484.67476750994]
F42013,10,10,0.4,[61046.6341309757]
F42013,10,10,0.5,[60381.28106181442]
F42013,10,10,0.6,[59386.11870742224]
F42013,10,10,0.7,[57917.24762341493]
F42013,10,10,0.8,[55792.84233332618]
F42013,10,10,0.9,[52792.98615748019]
F42013,10,10,1.0,[48699.961591573825]
F42013,10,11,0.01,[105323.50677134623]
F42013,10,11,0.1,[72862.54423856933]
F42013,10,11,0.2,[72663.35562973471]
F42013,10,11,0.3,[72330.75183501081]
F42013,10,11,0.4,[71811.54487806004]
F42013,10,11,0.5,[71026.26604257843]
F42013,10,11,0.6,[69859.21700263416]
F42013,10,11,0.7,[68152.76384329714]
F42013,10,11,0.8,[65717.86573611927]
F42013,10,11,0.9,[62343.52138470105]
F42013,10,11,1.0,[57860.034077087825]
F42013,10,12,0.01,[394649.8649863921]
F42013,10,12,0.1,[67910.6559944707]
F42013,10,12,0.2,[67605.31292288328]
F42013,10,12,0.3,[67096.61715138996]
F42013,10,12,0.4,[66305.42183898708]
F42013,10,12,0.5,[65115.42901199859]
F42013,10,12,0.6,[63361.51704391304]
F42013,10,12,0.7,[60827.72160745893]
F42013,10,12,0.8,[57274.38924608065]
F42013,10,12,0.9,[52482.094058491544]
F42013,10,12,1.0,[46468.67424674371]
F42013,10,13,0.01,[55560189.1853797]
F42013,10,13,0.1,[33241.3619202108]
F42013,10,13,0.2,[33196.63171719874]
F42013,10,13,0.3,[33121.63285673875]
F42013,10,13,0.4,[33003.77581248851]
F42013,10,13,0.5,[32823.67939085383]
F42013,10,13,0.6,[32551.814143179905]
F42013,10,13,0.7,[32144.843129256296]
F42013,10,13,0.8,[31543.492722028983]
F42013,10,13,0.9,[30666.30665210871]
F42013,10,13,1.0,[29409.62679728486]
F42013,10,14,0.01,[548112.8620038909]
F42013,10,14,0.1,[39586.74693484943]
F42013,10,14,0.2,[39377.272425594354]
F42013,10,14,0.3,[39029.288437801246]
F42013,10,14,0.4,[38490.55578681597]
F42013,10,14,0.5,[37686.10134883104]
F42013,10,14,0.6,[36513.47091322702]
F42013,10,14,0.7,[34847.709234630616]
F42013,10,14,0.8,[32569.6600908899]
F42013,10,14,0.9,[29599.293922931796]
F42013,10,14,1.0,[79943.33195281395]
F42013,10,15,0.01,[194628.1511801952]
F42013,10,15,0.1,[55768.340986038]
F42013,10,15,0.2,[55566.452812091724]
F42013,10,15,0.3,[55228.91046610819]
F42013,10,15,0.4,[54700.89217089534]
F42013,10,15,0.5,[53899.64257543749]
F42013,10,15,0.6,[52702.654268795544]
F42013,10,15,0.7,[50937.954842551]
F42013,10,15,0.8,[48386.450108360805]
F42013,10,15,0.9,[44777.228376896666]
F42013,10,15,1.0,[42448.75718459323]
F42013,10,16,0.01,[72763.15898354018]
F42013,10,16,0.1,[72511.38762935309]
F42013,10,16,0.2,[72008.37829626205]
F42013,10,16,0.3,[71180.00619131245]
F42013,10,16,0.4,[69914.85636448904]
F42013,10,16,0.5,[68062.89462246576]
F42013,10,16,0.6,[65436.81456795222]
F42013,10,16,0.7,[61894.930644393884]
F42013,10,16,0.8,[59207.616028444914]
F42013,10,16,0.9,[57944.19427414518]
F42013,10,16,1.0,[56125.73657995509]
F42013,10,17,0.01,[50158.4055758154]
F42013,10,17,0.1,[34623.19062335629]
F42013,10,17,0.2,[34105.71600004341]
F42013,10,17,0.3,[33261.148236736284]
F42013,10,17,0.4,[31990.380762690387]
F42013,10,17,0.5,[30174.62534550104]
F42013,10,17,0.6,[27698.961203966006]
F42013,10,17,0.7,[24517.569509953937]
F42013,10,17,0.8,[21771.060942706867]
F42013,10,17,0.9,[20304.595172334695]
F42013,10,17,1.0,[18409.93935574812]
F42013,10,18,0.01,[3658367.666578777]
F42013,10,18,0.1,[23187.577817767677]
F42013,10,18,0.2,[23170.665493064866]
F42013,10,18,0.3,[23142.28388762827]
F42013,10,18,0.4,[23097.620218714164]
F42013,10,18,0.5,[23029.218509357463]
F42013,10,18,0.6,[22925.608663053416]
F42013,10,18,0.7,[22769.69014568591]
F42013,10,18,0.8,[22537.42569736893]
F42013,10,18,0.9,[22194.358912203657]
F42013,10,18,1.0,[21693.270816945194]
F42013,10,19,0.01,[82073.70453213109]
F42013,10,19,0.1,[38671.57472971407]
F42013,10,19,0.2,[38032.94087558019]
F42013,10,19,0.3,[37000.42608662696]
F42013,10,19,0.4,[35469.94601345023]
F42013,10,19,0.5,[33331.68860208902]
F42013,10,19,0.6,[30509.1142951429]
F42013,10,19,0.7,[27037.51302310572]
F42013,10,19,0.8,[25344.134047984335]
F42013,10,19,0.9,[23878.01723491647]
F42013,10,19,1.0,[21989.22011571969]
F42013,10,20,0.01,[105860.23442290346]
F42013,10,20,0.1,[52931.67365260718]
F42013,10,20,0.2,[52631.174169183054]
F42013,10,20,0.3,[52133.80625660236]
F42013,10,20,0.4,[51368.27779292905]
F42013,10,20,0.5,[50235.17061746276]
F42013,10,20,0.6,[48604.55538006426]
F42013,10,20,0.7,[46329.89886043421]
F42013,10,20,0.8,[43293.76045959926]
F42013,10,20,0.9,[9620803.548168661]
F42013,10,20,1.0,[38237.665112637864]
F42013,10,21,0.01,[64272.07644292583]
F42013,10,21,0.1,[43773.0662559398]
F42013,10,21,0.2,[43187.81734949849]
F42013,10,21,0.3,[42244.51203864083]
F42013,10,21,0.4,[40851.82925291527]
F42013,10,21,0.5,[38911.83697655681]
F42013,10,21,0.6,[36338.45937166426]
F42013,10,21,0.7,[34448.17476477495]
F42013,10,21,0.8,[32547.102401279386]
F42013,10,21,0.9,[32039.91449345399]
F42013,10,21,1.0,[29972.207485233477]
F42013,10,22,0.01,[702902.992339732]
F42013,10,22,0.1,[43099.63267052576]
F42013,10,22,0.2,[42855.28479769841]
F42013,10,22,0.3,[42448.76494466159]
F42013,10,22,0.4,[41817.93164969207]
F42013,10,22,0.5,[40872.64454022386]
F42013,10,22,0.6,[39487.80998596354]
F42013,10,22,0.7,[37507.25742328727]
F42013,10,22,0.8,[34776.41848815604]
F42013,10,22,0.9,[31188.44672991562]
F42013,10,22,1.0,[26797.0729499452]
F42013,10,23,0.01,[118778.56325706106]
F42013,10,23,0.1,[74849.50081754843]
F42013,10,23,0.2,[73941.04353829256]
F42013,10,23,0.3,[72474.86712790988]
F42013,10,23,0.4,[70305.93552562049]
F42013,10,23,0.5,[67278.31140697027]
F42013,10,23,0.6,[63264.82768595317]
F42013,10,23,0.7,[64048.07497009569]
F42013,10,23,0.8,[56515.673113519544]
F42013,10,23,0.9,[54596.28294873562]
F42013,10,23,1.0,[51981.555616284444]
F42013,10,24,0.01,[66622.58846805923]
F42013,10,24,0.1,[64449.395256763375]
F42013,10,24,0.2,[64083.386003974025]
F42013,10,24,0.3,[63477.34065598352]
F42013,10,24,0.4,[62543.67555648351]
F42013,10,24,0.5,[61158.90972927584]
F42013,10,24,0.6,[59157.24058361673]
F42013,10,24,0.7,[56398.229848844276]
F42013,10,24,0.8,[52810.73645354009]
F42013,10,24,0.9,[50264.00654146142]
F42013,10,24,1.0,[103042.31922130723]
F42013,10,25,0.01,[45018.60492487834]
F42013,10,25,0.1,[41571.58089990591]
F42013,10,25,0.2,[39430.70813435356]
F42013,10,25,0.3,[36333.489863632225]
F42013,10,25,0.4,[34359.84735969648]
F42013,10,25,0.5,[33091.5096300915]
F42013,10,25,0.6,[31333.618404878434]
F42013,10,25,0.7,[31237.84463458246]
F42013,10,25,0.8,[27733.22989369323]
