function,dimension,run,checkpoint,error
F52013,10,0,0.01,[160.88414616617]
F52013,10,0,0.1,[0.0839654578886666]
F52013,10,0,0.2,[0.05407019322558426]
F52013,10,0,0.3,[0.06432590314113895]
F52013,10,0,0.4,[0.12394049999056733]
F52013,10,0,0.5,[0.08476146993439215]
F52013,10,0,0.6,[0.1428927314007069]
F52013,10,0,0.7,[0.1365911901269783]
F52013,10,0,0.8,[0.0680246601671115]
F52013,10,0,0.9,[0.08476085786173826]
F52013,10,0,1.0,[0.05295891678258613]
F52013,10,1,0.01,[15442.093091904846]
F52013,10,1,0.1,[0.4037235417656575]
F52013,10,1,0.2,[0.04042383625437651]
F52013,10,1,0.3,[0.030412524963821852]
F52013,10,1,0.4,[0.027908393957318367]
F52013,10,1,0.5,[0.051820152274899556]
F52013,10,1,0.6,[0.04370208147668109]
F52013,10,1,0.7,[0.06704543173975708]
F52013,10,1,0.8,[0.05182333528387062]
F52013,10,1,0.9,[0.05596806097651097]
F52013,10,1,1.0,[0.055801623952561386]
F52013,10,2,0.01,[3183.7894798845514]
F52013,10,2,0.1,[0.18467845772931923]
F52013,10,2,0.2,[0.17931005734897099]
F52013,10,2,0.3,[0.1003476004964341]
F52013,10,2,0.4,[0.07669669900269582]
F52013,10,2,0.5,[0.13729539542828206]
F52013,10,2,0.6,[0.09134158766278233]
F52013,10,2,0.7,[0.09030893712622401]
F52013,10,2,0.8,[0.06770996719956202]
F52013,10,2,0.9,[0.13072599311090016]
F52013,10,2,1.0,[0.13062121945040417]
F52013,10,3,0.01,[129036.8501412478]
F52013,10,3,0.1,[35.52141860429151]
F52013,10,3,0.2,[1.182806247145777]
F52013,10,3,0.3,[0.16499022602999958]
F52013,10,3,0.4,[0.09071415573976083]
F52013,10,3,0.5,[0.061193061344283706]
F52013,10,3,0.6,[0.06070773597218704]
F52013,10,3,0.7,[0.05276876138418629]
F52013,10,3,0.8,[0.056778331683858596]
F52013,10,3,0.9,[0.05033401713819785]
F52013,10,3,1.0,[0.03781181427120828]
F52013,10,4,0.01,[289809.371729464]
F52013,10,4,0.1,[83.70966919524972]
F52013,10,4,0.2,[1.6200310169481327]
F52013,10,4,0.3,[0.14222016883377364]
F52013,10,4,0.4,[0.046713984111875106]
F52013,10,4,0.5,[0.03317376173026787]
F52013,10,4,0.6,[0.02914681214895154]
F52013,10,4,0.7,[0.02757866394699704]
F52013,10,4,0.8,[0.10257935709421417]
F52013,10,4,0.9,[0.08586763097730454]
F52013,10,4,1.0,[0.07464213202501924]
F52013,10,5,0.01,[24090.762574236196]
F52013,10,5,0.1,[3.643653737113823]
F52013,10,5,0.2,[0.13731582117134167]
F52013,10,5,0.3,[0.08200779706282901]
F52013,10,5,0.4,[0.06475858761109521]
F52013,10,5,0.5,[0.05333558132758753]
F52013,10,5,0.6,[0.059809191863109845]
F52013,10,5,0.7,[0.057193928356241486]
F52013,10,5,0.8,[0.1331667425993146]
F52013,10,5,0.9,[0.09019137981249514]
F52013,10,5,1.0,[0.08967332921588422]
F52013,10,6,0.01,[13114.047457069933]
F52013,10,6,0.1,[0.6839669991487654]
F52013,10,6,0.2,[0.08238088111863817]
F52013,10,6,0.3,[0.06513902115318615]
F52013,10,6,0.4,[0.05906475704523473]
F52013,10,6,0.5,[0.050511750540408684]
F52013,10,6,0.6,[0.11285108345418848]
F52013,10,6,0.7,[0.09671769411409059]
F52013,10,6,0.8,[0.06961329230546198]
F52013,10,6,0.9,[0.13236200824712796]
F52013,10,6,1.0,[0.13139174388572883]
F52013,10,7,0.01,[1310.279077006423]
F52013,10,7,0.1,[0.08649266352972518]
F52013,10,7,0.2,[0.13569308391436152]
F52013,10,7,0.3,[0.2208854869361403]
F52013,10,7,0.4,[0.07711845105870907]
F52013,10,7,0.5,[0.058275489520042356]
F52013,10,7,0.6,[0.06912874443924011]
F52013,10,7,0.7,[0.04711362216846737]
F52013,10,7,0.8,[0.06406686930199612]
F52013,10,7,0.9,[0.05732208545703088]
F52013,10,7,1.0,[0.043140281067394426]
F52013,10,8,0.01,[11384.747663258211]
F52013,10,8,0.1,[0.2893815080871036]
F52013,10,8,0.2,[0.15380006855787087]
F52013,10,8,0.3,[0.14299647468669718]
F52013,10,8,0.4,[0.2030209622566872]
F52013,10,8,0.5,[0.07778405577687408]
F52013,10,8,0.6,[0.13173191926978234]
F52013,10,8,0.7,[0.1968738991661212]
F52013,10,8,0.8,[0.07672959313094907]
F52013,10,8,0.9,[0.1312275913620624]
F52013,10,8,1.0,[2.135131338539736]
F52013,10,9,0.01,[302625.2003001234]
F52013,10,9,0.1,[93.32501356079024]
F52013,10,9,0.2,[1.7940257612102641]
F52013,10,9,0.3,[0.23472249014321278]
F52013,10,9,0.4,[0.07404884105665133]
F52013,10,9,0.5,[0.06611283351344355]
F52013,10,9,0.6,[0.06191037385860909]
F52013,10,9,0.7,[0.05807839029716888]
F52013,10,9,0.8,[0.050880765008400886]
F52013,10,9,0.9,[0.05583377384311916]
F52013,10,9,1.0,[0.055524409478266534]
F52013,10,10,0.01,[8190.573378140952]
F52013,10,10,0.1,[0.11020813492461912]
F52013,10,10,0.2,[0.07176623239820401]
F52013,10,10,0.3,[0.05429205766768064]
F52013,10,10,0.4,[0.05151930586021081]
F52013,10,10,0.5,[0.05611191366620005]
F52013,10,10,0.6,[0.08310382288755136]
F52013,10,10,0.7,[0.07426027585302108]
F52013,10,10,0.8,[0.05870960825586735]
F52013,10,10,0.9,[0.05037951582266942]
F52013,10,10,1.0,[0.052038034512179365]
F52013,10,11,0.01,[6135.418072876855]
F52013,10,11,0.1,[0.26518842076291094]
F52013,10,11,0.2,[0.07897679695793158]
F52013,10,11,0.3,[0.06383630674224605]
F52013,10,11,0.4,[0.12853175673569694]
F52013,10,11,0.5,[0.10133337265460796]
F52013,10,11,0.6,[0.07090825663067335]
F52013,10,11,0.7,[0.06881760924761693]
F52013,10,11,0.8,[0.13154128448570646]
F52013,10,11,0.9,[0.08963789943629763]
F52013,10,11,1.0,[0.14977363820241862]
F52013,10,12,0.01,[26584.12205149154]
F52013,10,12,0.1,[3.0717870832260132]
F52013,10,12,0.2,[0.11841170758293629]
F52013,10,12,0.3,[0.04213145032929333]
F52013,10,12,0.4,[0.03176596722278191]
F52013,10,12,0.5,[0.034808362942499116]
F52013,10,12,0.6,[0.09295055316226808]
F52013,10,12,0.7,[0.07714096230051837]
F52013,10,12,0.8,[0.13764338340479298]
F52013,10,12,0.9,[0.09144772193940298]
F52013,10,12,1.0,[0.09024807765251808]
F52013,10,13,0.01,[61385.39888004314]
F52013,10,13,0.1,[13.536743541608871]
F52013,10,13,0.2,[0.458086795169379]
F52013,10,13,0.3,[0.0745174899052472]
F52013,10,13,0.4,[0.04346443823419577]
F52013,10,13,0.5,[0.032205323380935624]
F52013,10,13,0.6,[0.028800343176840215]
F52013,10,13,0.7,[0.027447083836023012]
F52013,10,13,0.8,[0.026841899160331195]
F52013,10,13,0.9,[0.02657409448704584]
F52013,10,13,1.0,[0.03508585097279138]
F52013,10,14,0.01,[157.62394630352378]
F52013,10,14,0.1,[0.03178850884478379]
F52013,10,14,0.2,[0.046753010979159626]
F52013,10,14,0.3,[0.1615204980012095]
F52013,10,14,0.4,[0.14085623106973344]
F52013,10,14,0.5,[0.09253271892873727]
F52013,10,14,0.6,[0.06734164603005866]
F52013,10,14,0.7,[0.06702153008529876]
F52013,10,14,0.8,[0.13003468211388736]
F52013,10,14,0.9,[0.0890279593259038]
F52013,10,14,1.0,[0.08898387946305775]
F52013,10,15,0.01,[3984.335303046449]
F52013,10,15,0.1,[0.9960940181965725]
F52013,10,15,0.2,[0.05901541817843281]
F52013,10,15,0.3,[0.08940866419709437]
F52013,10,15,0.4,[0.14065082128831818]
F52013,10,15,0.5,[0.0764579950227926]
F52013,10,15,0.6,[0.1382185870157855]
F52013,10,15,0.7,[0.13374050446464025]
F52013,10,15,0.8,[0.09051635743776387]
F52013,10,15,0.9,[0.0674424574567638]
F52013,10,15,1.0,[0.03853650421274324]
F52013,10,16,0.01,[17486.83663639049]
F52013,10,16,0.1,[0.08672314872728748]
F52013,10,16,0.2,[0.032065555400095036]
F52013,10,16,0.3,[0.06037459174228843]
F52013,10,16,0.4,[0.057205265215657164]
F52013,10,16,0.5,[0.050394165126817825]
F52013,10,16,0.6,[0.10081630770355332]
F52013,10,16,0.7,[0.09659922929108689]
F52013,10,16,0.8,[0.15955852008426064]
F52013,10,16,0.9,[0.1022325266678763]
F52013,10,16,1.0,[0.0987240233225748]
F52013,10,17,0.01,[248931.7828194545]
F52013,10,17,0.1,[64.253005914293]
F52013,10,17,0.2,[1.302513757660563]
F52013,10,17,0.3,[0.11419285190413575]
F52013,10,17,0.4,[0.043572392642317936]
F52013,10,17,0.5,[0.06681638593158823]
F52013,10,17,0.6,[0.05386826498283881]
F52013,10,17,0.7,[0.771985758494111]
F52013,10,17,0.8,[0.07343323508393951]
F52013,10,17,0.9,[0.06234676267956729]
F52013,10,17,1.0,[0.057990422522493645]
F52013,10,18,0.01,[135560.20304813902]
F52013,10,18,0.1,[23.390178385855506]
F52013,10,18,0.2,[0.4376928415607608]
F52013,10,18,0.3,[0.0969218345014724]
F52013,10,18,0.4,[0.0634178000019574]
F52013,10,18,0.5,[0.06123648426478212]
F52013,10,18,0.6,[0.052057981239158835]
F52013,10,18,0.7,[0.20085118112888267]
F52013,10,18,0.8,[0.043901735612166704]
F52013,10,18,0.9,[0.15574291618565894]
F52013,10,18,1.0,[0.14029846562050352]
F52013,10,19,0.01,[10329.320228983679]
F52013,10,19,0.1,[1.3829752071890198]
F52013,10,19,0.2,[0.12569595030504388]
F52013,10,19,0.3,[0.07213185425166557]
F52013,10,19,0.4,[0.061604017672721056]
F52013,10,19,0.5,[0.05217114946424317]
F52013,10,19,0.6,[0.04667126337199079]
F52013,10,19,0.7,[0.06609199807189725]
F52013,10,19,0.8,[0.053353625469981125]
F52013,10,19,0.9,[0.05693076232546446]
F52013,10,19,1.0,[0.05593556628366514]
F52013,10,20,0.01,[6547.511352743738]
F52013,10,20,0.1,[0.06303876853337442]
F52013,10,20,0.2,[0.06350912684411014]
F52013,10,20,0.3,[0.05231720570577636]
F52013,10,20,0.4,[0.050801077381265713]
F52013,10,20,0.5,[0.2569962293143817]
F52013,10,20,0.6,[0.04669344421176902]
F52013,10,20,0.7,[0.03196906182267867]
F52013,10,20,0.8,[0.028955948200064086]
F52013,10,20,0.9,[0.08747772986657765]
F52013,10,20,1.0,[0.09571022712282229]
