function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,2.3221425636072116e+34,5.805356409018029e+33,2.467276473832662e+34,2.467276473832662e+34,659516094482.4512
F32013,10,0.1,6.3286999222543155e+32,1.5821749805635789e+32,6.72424366739521e+32,6.72424366739521e+32,76804374156.39796
F32013,10,0.2,1.4739159130456232e+31,3.684789782614058e+30,1.5660356576109746e+31,1.5660356576109746e+31,13490362298.99799
F32013,10,0.3,3.218993284416799e+29,8.047483211041995e+28,3.420180364692848e+29,3.420180364692848e+29,6424885271.105528
F32013,10,0.4,6.902545793411674e+27,1.7256364483529186e+27,7.333954905499904e+27,7.333954905499904e+27,3399724294.144961
F32013,10,0.5,1.4151207182180925e+26,3.537801795545231e+25,1.5035657631067233e+26,1.5035657631067233e+26,1651246362.2868617
F32013,10,0.6,2.66801486410165e+24,6.670037160254123e+23,2.8347657931080027e+24,2.8347657931080027e+24,731413990.5114095
F32013,10,0.7,4.597598690660701e+22,1.1493996726651682e+22,4.884948608826993e+22,4.884948608826993e+22,281600056.61990297
F32013,10,0.8,7.17365792148861e+20,1.7934144803720095e+20,7.62201154158161e+20,7.62201154158161e+20,57012163.02485226
F32013,10,0.9,1.00091803360744e+19,2.5022950840185805e+18,1.0634754107079045e+19,1.0634754107079045e+19,79324.33452055471
F32013,10,1.0,1.22309990550845e+17,3.057749763770983e+16,1.2995436496027245e+17,1.2995436496027245e+17,5657.73371150402
F32013,30,0.01,6.429270700777167e+27,1.6072984999581167e+27,6.831095325766695e+27,6.831095325766695e+27,7.670094469895932e+22
F32013,30,0.1,5.569142546150108e+22,1.3921786410913428e+22,5.917187206422944e+22,5.917187206422944e+22,4.2798178473748e+18
F32013,30,0.2,4.866491609950606e+17,1.2153214089245066e+17,5.1703219621817325e+17,5.1703219621817325e+17,520597425257889.25
F32013,30,0.3,12551578206319.328,3102726266646.1123,13327259772980.855,13327259772980.855,140673139734.87988
F32013,30,0.4,118382885013.62715,20332026221.003048,123465891568.87787,123465891568.87787,37054780129.61491
F32013,30,0.5,38849964189.05837,7768859691.380399,40792179111.903465,40792179111.903465,7774525423.536771
F32013,30,0.6,11810248805.655836,2605029085.844971,12461506077.117075,12461506077.117075,1390132462.2759483
F32013,30,0.7,2423273582.958613,603997260.7363812,2574272898.142708,2574272898.142708,7284540.013088166
F32013,30,0.8,26157426.582379285,6531791.240882989,27790374.39260003,27790374.39260003,30261.618847325015
F32013,30,0.9,2287.838588356213,6899.325818779898,563.0071336612389,29885.141863475805,563.0071336612389
F32013,30,1.0,2130.3126643551886,6857.911144328231,415.83487827313115,29561.95724166811,415.83487827313115
F32013,50,0.01,4.295351885790697e+26,1.0738367092761608e+26,4.563811063109739e+26,4.563811063109739e+26,5.048686055082538e+20
F32013,50,0.1,1.1413645753452843e+19,2.8533365790748334e+18,1.212697989822155e+19,1.212697989822155e+19,299437153506938.25
F32013,50,0.2,6452415427791.261,1591846262954.5803,6850376993529.906,6850376993529.906,85030375972.93991
F32013,50,0.3,74149143086.0218,15880452930.514416,78119256318.6504,78119256318.6504,10627331363.964136
F32013,50,0.4,6550028731.527603,1637501672.6894863,6959404149.699976,6959404149.699976,22040.76965931813
F32013,50,0.5,194668.00565560316,44000.20035038223,205668.05574319873,205668.05574319873,18667.204254074244
F32013,50,0.6,88172.46410723525,17496.515871502794,92546.59307511096,92546.59307511096,18186.40062122407
F32013,50,0.7,87534.76049372829,17456.789949703845,91898.95798115428,91898.95798115428,17707.600694912937
F32013,50,0.8,87075.52411016136,17469.83562369027,91442.98301608395,91442.98301608395,17196.181615400306
F32013,50,0.9,86255.40112783769,17386.086454875305,90601.92274155653,90601.92274155653,16711.055308336487
F32013,50,1.0,85619.07544636598,17348.393663171966,89956.17386215899,89956.17386215899,16225.500793678131
