function,dimension,run,checkpoint,error
F42013,10,0,0.01,[4719256825.997699]
F42013,10,0,0.1,[2096636815.9762225]
F42013,10,0,0.2,[1127002182.832042]
F42013,10,0,0.3,[328403093.3509407]
F42013,10,0,0.4,[270719956.80283725]
F42013,10,0,0.5,[24813799.52652621]
F42013,10,0,0.6,[1926182.0898272041]
F42013,10,0,0.7,[45023.0041916003]
F42013,10,0,0.8,[32171.11837648977]
F42013,10,0,0.9,[32162.841059958413]
F42013,10,0,1.0,[32159.511349490465]
F42013,10,1,0.01,[41212301.49666517]
F42013,10,1,0.1,[103193.55793673922]
F42013,10,1,0.2,[102300.88695512846]
F42013,10,1,0.3,[102289.99419619152]
F42013,10,1,0.4,[102272.25686598968]
F42013,10,1,0.5,[102243.96461866568]
F42013,10,1,0.6,[102199.19783470701]
F42013,10,1,0.7,[102128.614790723]
F42013,10,1,0.8,[102017.556929453]
F42013,10,1,0.9,[101843.14275781788]
F42013,10,1,1.0,[101569.91684311538]
F42013,10,2,0.01,[140963967.78614306]
F42013,10,2,0.1,[4301686.825764957]
F42013,10,2,0.2,[33574.35430991888]
F42013,10,2,0.3,[29485.908209564794]
F42013,10,2,0.4,[29484.66694847063]
F42013,10,2,0.5,[29482.701460083306]
F42013,10,2,0.6,[29479.589469627077]
F42013,10,2,0.7,[29474.677785510034]
F42013,10,2,0.8,[29466.936705078406]
F42013,10,2,0.9,[29454.746550118874]
F42013,10,2,1.0,[29435.564710479375]
F42013,10,3,0.01,[1522222886.1889136]
F42013,10,3,0.1,[1081301429.3190935]
F42013,10,3,0.2,[275049457.62571746]
F42013,10,3,0.3,[33897819.5249864]
F42013,10,3,0.4,[1703225.1640280657]
F42013,10,3,0.5,[21886.71525568924]
F42013,10,3,0.6,[18193.64160594015]
F42013,10,3,0.7,[18191.80294802146]
F42013,10,3,0.8,[18191.12377602959]
F42013,10,3,0.9,[18190.053313980283]
F42013,10,3,1.0,[18188.366536137033]
F42013,10,4,0.01,[7743603.032803221]
F42013,10,4,0.1,[47931.75314251207]
F42013,10,4,0.2,[47924.215752416814]
F42013,10,4,0.3,[47911.17536472687]
F42013,10,4,0.4,[47889.954566672495]
F42013,10,4,0.5,[47856.14127042312]
F42013,10,4,0.6,[47802.72860719515]
F42013,10,4,0.7,[47718.74308556141]
F42013,10,4,0.8,[47587.1843326406]
F42013,10,4,0.9,[47382.09239628004]
F42013,10,4,1.0,[47064.77741924947]
F42013,10,5,0.01,[3911182858.150966]
F42013,10,5,0.1,[1303507490.2079988]
F42013,10,5,0.2,[1089372648.6796708]
F42013,10,5,0.3,[278656188.19725776]
F42013,10,5,0.4,[75455804.91071732]
F42013,10,5,0.5,[7096203.018505939]
F42013,10,5,0.6,[546476.7990033801]
F42013,10,5,0.7,[74592.4264069122]
F42013,10,5,0.8,[73667.48589991432]
F42013,10,5,0.9,[73663.39926531828]
F42013,10,5,1.0,[73657.0344237001]
F42013,10,6,0.01,[2013489246.1806657]
F42013,10,6,0.1,[573152086.5613333]
F42013,10,6,0.2,[242036935.42466334]
F42013,10,6,0.3,[15469946.857794497]
F42013,10,6,0.4,[328600.1922104767]
F42013,10,6,0.5,[36567.80008186639]
F42013,10,6,0.6,[35620.77826399879]
F42013,10,6,0.7,[35619.64644615667]
F42013,10,6,0.8,[35617.92642682813]
F42013,10,6,0.9,[35615.21555591956]
F42013,10,6,1.0,[35610.94416099776]
F42013,10,7,0.01,[10692512288.043139]
F42013,10,7,0.1,[6741993279.674963]
F42013,10,7,0.2,[4254097220.836087]
F42013,10,7,0.3,[1723290014.9992292]
F42013,10,7,0.4,[1125628880.4401412]
F42013,10,7,0.5,[392703440.4620976]
F42013,10,7,0.6,[273468208.9912669]
F42013,10,7,0.7,[50851326.7375568]
F42013,10,7,0.8,[2059868.8178631123]
F42013,10,7,0.9,[81828.23316651877]
F42013,10,7,1.0,[41469.521979659476]
F42013,10,8,0.01,[14422871510.14471]
F42013,10,8,0.1,[10705698571.19229]
F42013,10,8,0.2,[6654106386.402757]
F42013,10,8,0.3,[4256235349.1061964]
F42013,10,8,0.4,[1786701217.6712434]
F42013,10,8,0.5,[1133397503.0533047]
F42013,10,8,0.6,[738420519.4141722]
F42013,10,8,0.7,[275705000.68815225]
F42013,10,8,0.8,[69819764.55332631]
F42013,10,8,0.9,[4395735.486956255]
F42013,10,8,1.0,[312159.74671729567]
F42013,10,9,0.01,[319472437.3119845]
F42013,10,9,0.1,[66230190.88357656]
F42013,10,9,0.2,[522739.97653770156]
F42013,10,9,0.3,[20398.721178237225]
F42013,10,9,0.4,[20183.33847927244]
F42013,10,9,0.5,[20181.36875284377]
F42013,10,9,0.6,[20178.249730342784]
F42013,10,9,0.7,[20173.326051484324]
F42013,10,9,0.8,[20165.563836387686]
F42013,10,9,0.9,[20153.334860415278]
F42013,10,9,1.0,[20134.078162662157]
F42013,10,10,0.01,[227963616.14959854]
F42013,10,10,0.1,[2248847.213860945]
F42013,10,10,0.2,[64775.44339110912]
F42013,10,10,0.3,[61252.59164288827]
F42013,10,10,0.4,[61248.230165405745]
F42013,10,10,0.5,[61241.2731404924]
F42013,10,10,0.6,[61230.25864249245]
F42013,10,10,0.7,[61212.87606534278]
F42013,10,10,0.8,[61185.484533404015]
F42013,10,10,0.9,[61142.36131672539]
F42013,10,10,1.0,[61074.53390536394]
F42013,10,11,0.01,[3893193927.3621993]
F42013,10,11,0.1,[1298769661.7472215]
