function,dimension,run,checkpoint,error
F92013,10,0,0.01,[22.10046857170812]
F92013,10,0,0.1,[22.051779307704123]
F92013,10,0,0.2,[21.722213799294536]
F92013,10,0,0.3,[21.644439769402197]
F92013,10,0,0.4,[22.848834531052375]
F92013,10,0,0.5,[20.522684026830234]
F92013,10,0,0.6,[20.466942206202475]
F92013,10,0,0.7,[18.12603538383337]
F92013,10,0,0.8,[18.63975425043668]
F92013,10,0,0.9,[19.694744610573366]
F92013,10,0,1.0,[20.628419242763812]
F92013,10,1,0.01,[15.746862471437453]
F92013,10,1,0.1,[17.26394042084496]
F92013,10,1,0.2,[16.232749123985286]
F92013,10,1,0.3,[16.00500312558563]
F92013,10,1,0.4,[19.160307595063387]
F92013,10,1,0.5,[17.677915568554795]
F92013,10,1,0.6,[19.14029465820704]
F92013,10,1,0.7,[18.268072176687838]
F92013,10,1,0.8,[18.817325052281717]
F92013,10,1,0.9,[21.211727351231616]
F92013,10,1,1.0,[18.52645685540142]
F92013,10,2,0.01,[21.453655416785296]
F92013,10,2,0.1,[19.778494334520815]
F92013,10,2,0.2,[19.05648637574336]
F92013,10,2,0.3,[19.739782953481722]
F92013,10,2,0.4,[20.437500571856617]
F92013,10,2,0.5,[19.19627818747881]
F92013,10,2,0.6,[20.369563477891006]
F92013,10,2,0.7,[20.995976623654997]
F92013,10,2,0.8,[22.056152427146912]
F92013,10,2,0.9,[22.755901962969915]
F92013,10,2,1.0,[21.568193140575204]
F92013,10,3,0.01,[16.49765230217065]
F92013,10,3,0.1,[17.38120613738249]
F92013,10,3,0.2,[16.37341105577775]
F92013,10,3,0.3,[15.870036578433087]
F92013,10,3,0.4,[15.94855068776269]
F92013,10,3,0.5,[17.148478621701315]
F92013,10,3,0.6,[18.724164908752527]
F92013,10,3,0.7,[18.455159263425685]
F92013,10,3,0.8,[18.33386361396674]
F92013,10,3,0.9,[18.708456448427455]
F92013,10,3,1.0,[17.90701883123836]
F92013,10,4,0.01,[21.538586438587004]
F92013,10,4,0.1,[21.51358026719049]
F92013,10,4,0.2,[21.518690496312388]
F92013,10,4,0.3,[23.182656347748548]
F92013,10,4,0.4,[22.791967392165475]
F92013,10,4,0.5,[22.94667467453712]
F92013,10,4,0.6,[22.6435608924495]
F92013,10,4,0.7,[20.305681449037706]
F92013,10,4,0.8,[19.35732729011397]
F92013,10,4,0.9,[18.063672750251044]
F92013,10,4,1.0,[17.101257036563425]
F92013,10,5,0.01,[24.254754473247772]
F92013,10,5,0.1,[22.622844480699314]
F92013,10,5,0.2,[21.439053489314006]
