function,dimensions,checkpoint,mean,std,median,max,min
F42013,10,0.01,1669471120.0915394,2825919566.29748,287556900.65549445,15646218052.192228,14277.191382971982
F42013,10,0.1,266277.84981490806,1549124.77023035,44304.269215108376,11219510.631460814,13965.393320032334
F42013,10,0.2,45664.55252868103,18226.66746424426,43974.75392969998,94177.42161576895,11904.43263738158
F42013,10,0.3,42833.05796413587,17196.627658379348,40603.1088775448,89237.17041115767,11603.650225863845
F42013,10,0.4,40613.24850781023,17375.23852456879,38912.5256123352,103118.75897161032,11222.403428442676
F42013,10,0.5,38665.11034298029,16041.172851953153,38481.79080381046,80912.78951082363,10857.832235474909
F42013,10,0.6,36751.70337015808,14866.403023976076,36336.618731910035,77287.29512875114,10517.22220798135
F42013,10,0.7,35524.21863541521,14199.639032863874,34885.20978664063,73937.42735888608,10111.661612866266
F42013,10,0.8,34866.35822220993,16210.365184494618,31712.413202843956,88736.37224041804,9708.154661254366
F42013,10,0.9,32702.457322883834,13334.025066328339,31188.678687405514,67707.11997731909,9350.191173393703
F42013,10,1.0,31807.365942687346,14188.165695475755,29407.103427364866,73227.0443148856,9039.00119120555
F42013,30,0.01,760733483.1445247,1268407524.9924884,67551285.73013566,5641756225.980224,117095.13072583142
F42013,30,0.1,174690.17561383644,39982.00504244383,168715.27787025194,252366.06103804917,89615.9593090504
F42013,30,0.2,165078.52428488553,37810.531335447355,163260.58993024222,232580.11915399795,83715.03148368087
F42013,30,0.3,156459.10675046124,37018.02548626697,153866.4560779677,225158.03290574427,76123.75708695072
F42013,30,0.4,147081.77555455672,34882.004774225985,142984.8106424374,215683.36309176643,70585.76867704434
F42013,30,0.5,138452.24766591087,32613.16086736123,133209.45418727185,204783.33671789363,66153.4674446145
F42013,30,0.6,134796.9058673162,31905.89861423959,127281.90500393377,193281.29127895282,64681.140325442
F42013,30,0.7,127190.33346540056,30695.202382493655,121282.01199163235,190919.38731467447,59187.02598539747
F42013,30,0.8,120946.26167528791,28932.735807316276,117236.78542431993,170505.131845845,60454.16428767731
F42013,30,0.9,116466.30836929372,28442.511739315225,112251.65578557769,174287.29989758792,53967.286042087886
F42013,30,1.0,111982.82460065062,27643.504074063978,107234.95308422197,169727.41416021145,51754.169520141324
F42013,50,0.01,431368667.5195843,795865420.0503027,32993648.379560813,3606548844.0776505,157169.39200194582
F42013,50,0.1,257386.85833560416,44415.94896736963,255709.86765654894,398348.94090665295,150405.35042624606
F42013,50,0.2,241821.84666335536,42075.99286842201,241096.61098574862,366548.7081494939,140726.5366100343
F42013,50,0.3,226694.31403339896,39157.20811597748,225893.00044428813,340927.8296433924,132490.6366879934
F42013,50,0.4,213577.90614339203,37703.64957160534,212662.61449466678,320490.61822993483,125321.84991391539
F42013,50,0.5,202567.94364377682,34437.29640975574,202062.70653928164,301924.77668481064,120294.0031968974
F42013,50,0.6,192705.95042786916,33097.917052141085,194720.9465076865,285901.87257966533,112618.50281912916
F42013,50,0.7,184344.21697152453,32518.941687405844,184039.18581713294,271690.3083811046,107023.42186591987
F42013,50,0.8,179576.42466535952,37472.89969863968,178708.85302409928,309468.2951512081,102156.98748251448
F42013,50,0.9,167672.3893355389,29163.46812394613,170132.1812294817,247486.51030602868,97959.2801032852
F42013,50,1.0,166011.41926750014,36812.03350352465,165616.04298151727,321355.8312164104,99117.5153298671
