function,dimension,run,checkpoint,error
F32013,10,0,0.01,[5.777647396627273e+20]
F32013,10,0,0.1,[5.218472828484007e+18]
F32013,10,0,0.2,[5.910034563839139e+16]
F32013,10,0,0.3,[930175244433920.1]
F32013,10,0,0.4,[40250173942055.87]
F32013,10,0,0.5,[320203084853.9523]
F32013,10,0,0.6,[14751848717.174147]
F32013,10,0,0.7,[45559006.434552915]
F32013,10,0,0.8,[869.524169601829]
F32013,10,0,0.9,[15395.844994544981]
F32013,10,0,1.0,[9107.057605858807]
F32013,10,1,0.01,[5.949570603367013e+26]
F32013,10,1,0.1,[3.3378387929838265e+24]
F32013,10,1,0.2,[2.992681718541809e+22]
F32013,10,1,0.3,[2.632848537672775e+20]
F32013,10,1,0.4,[2.280466425806689e+18]
F32013,10,1,0.5,[4.121990500138557e+16]
F32013,10,1,0.6,[450828032262087.44]
F32013,10,1,0.7,[4559746838261.101]
F32013,10,1,0.8,[71900784527.95467]
F32013,10,1,0.9,[19485941931.083218]
F32013,10,1,1.0,[70054251.80351035]
F32013,10,2,0.01,[5.326504884327179e+22]
F32013,10,2,0.1,[2.250358714456682e+20]
F32013,10,2,0.2,[1.8931976732690977e+18]
F32013,10,2,0.3,[1.5497589752389812e+16]
F32013,10,2,0.4,[196040336439016.16]
F32013,10,2,0.5,[5202464775674.633]
F32013,10,2,0.6,[191955182973.58334]
F32013,10,2,0.7,[40368242157.22176]
F32013,10,2,0.8,[785166.8778288991]
F32013,10,2,0.9,[16.555751218989826]
F32013,10,2,1.0,[212513.0056237164]
F32013,10,3,0.01,[1.675832721152213e+27]
F32013,10,3,0.1,[7.754623443161896e+24]
F32013,10,3,0.2,[6.9216314443601755e+22]
F32013,10,3,0.3,[6.148917350998956e+20]
F32013,10,3,0.4,[5.336262787827086e+18]
F32013,10,3,0.5,[4.8151673944857864e+16]
F32013,10,3,0.6,[391535930242786.06]
F32013,10,3,0.7,[6396255572734.169]
F32013,10,3,0.8,[154507283195.88055]
F32013,10,3,0.9,[49454569296.18445]
F32013,10,3,1.0,[1438204476.583766]
F32013,10,4,0.01,[1950287965253400.5]
F32013,10,4,0.1,[6641726837181.284]
F32013,10,4,0.2,[72987539979.1966]
F32013,10,4,0.3,[23306644456.58224]
F32013,10,4,0.4,[12918721.184346905]
F32013,10,4,0.5,[6325.289305231856]
F32013,10,4,0.6,[116825.51015821092]
F32013,10,4,0.7,[52191.80717472079]
F32013,10,4,0.8,[33088.33139996389]
F32013,10,4,0.9,[17901.221847153603]
F32013,10,4,1.0,[29734.219980934402]
F32013,10,5,0.01,[2062947754043276.0]
F32013,10,5,0.1,[50772846742163.92]
F32013,10,5,0.2,[2332234027167.073]
F32013,10,5,0.3,[38105351742.93297]
F32013,10,5,0.4,[2469404131.395872]
F32013,10,5,0.5,[66017446.050348036]
F32013,10,5,0.6,[9637.471552939365]
F32013,10,5,0.7,[27842.83835162462]
F32013,10,5,0.8,[39839.71122781389]
F32013,10,5,0.9,[22387.66653907233]
F32013,10,5,1.0,[108975.98155819045]
F32013,10,6,0.01,[1.1057204773573644e+27]
F32013,10,6,0.1,[4.940128867070513e+24]
F32013,10,6,0.2,[5.041657740901306e+22]
F32013,10,6,0.3,[4.622089331068802e+20]
F32013,10,6,0.4,[4.560777941876735e+18]
F32013,10,6,0.5,[3.962444556799646e+16]
F32013,10,6,0.6,[1006220506863778.1]
F32013,10,6,0.7,[10042942332546.338]
F32013,10,6,0.8,[130241038069.53313]
F32013,10,6,0.9,[23471207012.018803]
F32013,10,6,1.0,[282556312.40641165]
F32013,10,7,0.01,[26579213950.41205]
F32013,10,7,0.1,[13244885636.578358]
F32013,10,7,0.2,[162095.18109002814]
F32013,10,7,0.3,[6380.337376702708]
F32013,10,7,0.4,[26497.45532925564]
F32013,10,7,0.5,[18691.120927430253]
F32013,10,7,0.6,[44223.827890133674]
F32013,10,7,0.7,[27043.88860369997]
F32013,10,7,0.8,[29718.089244145223]
F32013,10,7,0.9,[36096.1528904321]
F32013,10,7,1.0,[13006.337175834764]
F32013,10,8,0.01,[530693748101.7831]
F32013,10,8,0.1,[30910863742.311142]
F32013,10,8,0.2,[7650212552.115582]
F32013,10,8,0.3,[6333.863222114637]
F32013,10,8,0.4,[20070.333942834735]
F32013,10,8,0.5,[14208.27033149013]
F32013,10,8,0.6,[50099.92405876343]
F32013,10,8,0.7,[72335.06102500886]
F32013,10,8,0.8,[74585.93074767018]
F32013,10,8,0.9,[59958.73114968105]
F32013,10,8,1.0,[37209.72514631152]
F32013,10,9,0.01,[5.005859358766267e+17]
F32013,10,9,0.1,[5847914657119393.0]
F32013,10,9,0.2,[35031410901143.17]
F32013,10,9,0.3,[1114532430409.235]
F32013,10,9,0.4,[24051627844.84267]
F32013,10,9,0.5,[3253874873.054787]
F32013,10,9,0.6,[576.5503410940973]
F32013,10,9,0.7,[5162.951585680506]
F32013,10,9,0.8,[37265.233450059655]
F32013,10,9,0.9,[11814.569119365413]
F32013,10,9,1.0,[35361.9401347908]
F32013,10,10,0.01,[542334790521.4112]
F32013,10,10,0.1,[28397146269.78767]
F32013,10,10,0.2,[322666921.1490217]
F32013,10,10,0.3,[66291312.02792821]
F32013,10,10,0.4,[43594.925423947876]
F32013,10,10,0.5,[25431.360978834913]
F32013,10,10,0.6,[42852.02882374559]
F32013,10,10,0.7,[58132.67575314507]
F32013,10,10,0.8,[73872.67012264315]
F32013,10,10,0.9,[39801.04825293156]
F32013,10,10,1.0,[39405.87719057304]
F32013,10,11,0.01,[8248181321468173.0]
F32013,10,11,0.1,[40399169740896.88]
F32013,10,11,0.2,[2629215098134.204]
F32013,10,11,0.3,[62929900858.88667]
F32013,10,11,0.4,[16628132106.671383]
F32013,10,11,0.5,[3458.4756814950297]
F32013,10,11,0.6,[3868.9410888037974]
F32013,10,11,0.7,[14362.201575282332]
F32013,10,11,0.8,[34646.03504588092]
F32013,10,11,0.9,[20075.378786450594]
F32013,10,11,1.0,[61167.031975017235]
F32013,10,12,0.01,[2.5519699455847736e+21]
F32013,10,12,0.1,[9.989254018133293e+18]
F32013,10,12,0.2,[8.198347815597675e+16]
F32013,10,12,0.3,[617153035570424.6]
F32013,10,12,0.4,[4141444867734.9146]
F32013,10,12,0.5,[48390588001.54428]
F32013,10,12,0.6,[9462448982.730312]
F32013,10,12,0.7,[15823.907423701865]
F32013,10,12,0.8,[3157.9098937685826]
F32013,10,12,0.9,[19698.150874506722]
F32013,10,12,1.0,[20777.255527873356]
F32013,10,13,0.01,[1.315490926348413e+19]
F32013,10,13,0.1,[8.104169876789789e+16]
F32013,10,13,0.2,[767408236553562.5]
F32013,10,13,0.3,[5421052663927.012]
F32013,10,13,0.4,[94526723848.06158]
F32013,10,13,0.5,[30990533783.3323]
F32013,10,13,0.6,[155084072.47933272]
F32013,10,13,0.7,[5050.075484513633]
F32013,10,13,0.8,[15518.529278149883]
F32013,10,13,0.9,[8668.096942111722]
F32013,10,13,1.0,[6360.915387935507]
F32013,10,14,0.01,[9350016413254.217]
F32013,10,14,0.1,[246547259353.1371]
F32013,10,14,0.2,[24723723815.185513]
F32013,10,14,0.3,[1888433.1878361306]
F32013,10,14,0.4,[6316.248827946915]
F32013,10,14,0.5,[42609.9656227804]
F32013,10,14,0.6,[141944.06528852019]
F32013,10,14,0.7,[79306.08199129571]
F32013,10,14,0.8,[33667.60819834713]
F32013,10,14,0.9,[13215.502864600456]
F32013,10,14,1.0,[18712.52182281]
F32013,10,15,0.01,[3.9644827554108355e+21]
F32013,10,15,0.1,[1.9263861704526873e+19]
F32013,10,15,0.2,[1.6130637680719616e+17]
F32013,10,15,0.3,[1424605758123957.2]
F32013,10,15,0.4,[12060185962942.367]
F32013,10,15,0.5,[160407015852.40167]
F32013,10,15,0.6,[41704904932.0348]
F32013,10,15,0.7,[8902159126.658634]
F32013,10,15,0.8,[1921.843652129678]
F32013,10,15,0.9,[25233.394212311934]
F32013,10,15,1.0,[90723.73388172346]
F32013,10,16,0.01,[6.411585939476721e+23]
F32013,10,16,0.1,[3.864045815604401e+21]
F32013,10,16,0.2,[3.3413746080567063e+19]
F32013,10,16,0.3,[3.0273209120649766e+17]
F32013,10,16,0.4,[2710431114476564.5]
F32013,10,16,0.5,[20718057668124.69]
F32013,10,16,0.6,[167620664984.18185]
F32013,10,16,0.7,[19753531723.801918]
F32013,10,16,0.8,[4074713862.3117056]
F32013,10,16,0.9,[66799351.718818754]
F32013,10,16,1.0,[74482.26332126121]
F32013,10,17,0.01,[9.162967642402807e+22]
F32013,10,17,0.1,[4.176378023118513e+20]
F32013,10,17,0.2,[4.309146413831945e+18]
F32013,10,17,0.3,[3.620056090666397e+16]
F32013,10,17,0.4,[303959640357778.44]
F32013,10,17,0.5,[3427326009172.683]
F32013,10,17,0.6,[107590721353.88219]
F32013,10,17,0.7,[62551834645.92335]
F32013,10,17,0.8,[252423419.30534723]
F32013,10,17,0.9,[2307.5518858531423]
F32013,10,17,1.0,[11324.682700679428]
F32013,10,18,0.01,[1.3146761687349527e+22]
F32013,10,18,0.1,[7.739190326814161e+19]
F32013,10,18,0.2,[7.492931054492841e+17]
F32013,10,18,0.3,[6092159913758643.0]
F32013,10,18,0.4,[63092562803067.875]
F32013,10,18,0.5,[1892749745713.4702]
F32013,10,18,0.6,[76269288742.43661]
F32013,10,18,0.7,[20440181929.998966]
F32013,10,18,0.8,[57635001.94530784]
F32013,10,18,0.9,[5782.704214581642]
F32013,10,18,1.0,[49755.86098819927]
F32013,10,19,0.01,[3.0688981858156626e+18]
F32013,10,19,0.1,[1.443319601555324e+16]
F32013,10,19,0.2,[125796947588887.67]
F32013,10,19,0.3,[1523871735803.9094]
F32013,10,19,0.4,[139412013108.63626]
F32013,10,19,0.5,[14810159342.274532]
F32013,10,19,0.6,[69665299.14295106]
F32013,10,19,0.7,[67899212.18411103]
F32013,10,19,0.8,[67928619.64426233]
F32013,10,19,0.9,[67886919.59961157]
F32013,10,19,1.0,[67935573.88423777]
F32013,10,20,0.01,[1.4157727689358942e+17]
F32013,10,20,0.1,[444222315508846.06]
F32013,10,20,0.2,[3491003173163.8584]
F32013,10,20,0.3,[248956147504.90823]
F32013,10,20,0.4,[10554526848.58496]
F32013,10,20,0.5,[40956477.380922645]
F32013,10,20,0.6,[3754.643559901698]
F32013,10,20,0.7,[9121.968415306023]
F32013,10,20,0.8,[10898.29500112667]
F32013,10,20,0.9,[32721.902189575583]
F32013,10,20,1.0,[14898.13382496886]
F32013,10,21,0.01,[12316705342393.38]
F32013,10,21,0.1,[452733767695.0851]
F32013,10,21,0.2,[48595171668.494446]
F32013,10,21,0.3,[9668879936.18165]
F32013,10,21,0.4,[751.2922062139992]
F32013,10,21,0.5,[52327.08518884818]
F32013,10,21,0.6,[2382.02712070118]
F32013,10,21,0.7,[43339.62566248355]
F32013,10,21,0.8,[28817.86993779134]
F32013,10,21,0.9,[5096.78693930758]
F32013,10,21,1.0,[23237.569128194842]
F32013,10,22,0.01,[1.6113767350898554e+20]
F32013,10,22,0.1,[8.764615638722029e+17]
F32013,10,22,0.2,[6856101468189180.0]
F32013,10,22,0.3,[49508804708467.15]
F32013,10,22,0.4,[1114175905352.3208]
F32013,10,22,0.5,[75461192607.47685]
F32013,10,22,0.6,[18929675343.025738]
F32013,10,22,0.7,[13.384555873336694]
F32013,10,22,0.8,[0.37559062859918413]
F32013,10,22,0.9,[194.4816298577872]
F32013,10,22,1.0,[20769.976113204826]
F32013,10,23,0.01,[6.403226040713547e+18]
F32013,10,23,0.1,[3.545040177644745e+16]
F32013,10,23,0.2,[359815328347244.94]
F32013,10,23,0.3,[2704606287349.655]
F32013,10,23,0.4,[63689860959.34272]
F32013,10,23,0.5,[23592465089.844936]
F32013,10,23,0.6,[70659821.93109722]
