function,dimensions,checkpoint,mean,std,median,max,min
F22013,10,0.01,134761434.63177672,216759189.18981665,63588152.0238941,1152915115.7741282,6002757.9207606325
F22013,10,0.1,6973641.571932347,7718997.739635906,4145549.0253413892,41033720.59938223,211812.89366008638
F22013,10,0.2,2507522.7798005417,4245044.725329117,795883.5045849498,25958930.612838913,53106.95404982498
F22013,10,0.3,1057263.349887233,2172969.511846956,201641.23771983865,13983798.22856775,13634.752341769994
F22013,10,0.4,469466.2931509543,909175.1401379582,123596.10880473781,5468941.9424180435,5721.46355050518
F22013,10,0.5,333254.5099803364,893107.742107323,64102.65078172861,6185818.957859403,4226.8701073112925
F22013,10,0.6,148056.6754992368,297655.61160621705,41369.92070999563,1943573.7368588601,3240.4053096115863
F22013,10,0.7,58182.32166165766,82006.67201670377,28214.738017209074,491324.0007440117,2704.8766600306785
F22013,10,0.8,39652.55054928087,54754.79116952713,20273.443195277105,267493.67065310094,2373.4985064341695
F22013,10,0.9,112293.75850219511,655049.0122219127,11268.724671115335,4741642.339547194,1505.2051133342943
F22013,10,1.0,38213.002501733135,154076.96455910936,11659.647723197937,1122734.96209592,1125.364498471464
F22013,30,0.01,453593531.12321347,338160072.1375205,361864013.8504359,1953182238.5954587,43016795.02275142
F22013,30,0.1,17197808.32334634,13843671.890001101,12045096.66872954,56248226.52060391,931211.465800026
F22013,30,0.2,4259196.17195684,2994043.7632340235,3374290.201805637,11947759.188099045,97393.79602551687
F22013,30,0.3,1593648.454307329,1182540.4744005578,1374210.1102492327,5219462.28572383,53367.218864712486
F22013,30,0.4,719177.8984861651,534061.6495068651,622482.7152559451,2434609.986093336,47017.76282019455
F22013,30,0.5,348420.37427116156,245910.94691580234,269328.7642028894,1035689.9127669976,40889.34138220967
F22013,30,0.6,189417.10407920685,124161.0750644135,162729.1902655014,504486.57642644277,25489.73253733951
F22013,30,0.7,134772.77765811264,187625.84296909344,100609.06724340776,1374953.3120751786,19537.81597379032
F22013,30,0.8,132198.4551315957,440502.16290838935,65145.30963185105,3234104.9822701705,11506.143572439276
F22013,30,0.9,197758.71634058128,1073684.905016436,40504.54727634936,7786990.862617586,9040.79403378413
F22013,30,1.0,236480.85228771306,1167985.235783122,30953.066070127832,8272374.6663585,6427.399060607592
F22013,50,0.01,433274995.80178064,244097366.4271703,381024229.2765711,1427120097.880032,134987233.73066425
F22013,50,0.1,13868533.466928538,6581098.91513269,13590396.790875914,30752223.86232005,3031735.7710612807
F22013,50,0.2,3712382.1615557033,1925516.107974476,3448934.5266570924,9420603.58643026,1363118.978856387
F22013,50,0.3,1634879.280198161,788589.5154964894,1471209.5619438859,3881797.6285467274,665218.2032318955
F22013,50,0.4,868218.031921179,401426.70361658226,727742.5666064625,1823210.035909003,344836.0927910801
F22013,50,0.5,573363.3179258878,472377.31840015895,448237.8202850118,3489802.533140478,187997.5475140321
F22013,50,0.6,322611.76318630535,140314.37103517773,277023.48199453804,720673.5295313443,112277.31504315845
F22013,50,0.7,256848.5168510297,340017.4588776094,195441.03102712563,2573575.5938509274,81384.5751615319
F22013,50,0.8,238322.4525392803,625283.576815318,138218.45757931023,4631174.277073056,55636.27519470521
F22013,50,0.9,332964.6117116077,1141265.7478503103,97854.6322379938,7843005.329809453,32565.262196995394
F22013,50,1.0,109974.65466190252,209282.9049888464,74679.63130853513,1561714.8321352557,25674.20658698736
