function,dimension,run,checkpoint,error
F22013,10,0,0.01,[297958633.7928996]
F22013,10,0,0.1,[11854159.364776343]
F22013,10,0,0.2,[4983611.026762241]
F22013,10,0,0.3,[3071749.497022285]
F22013,10,0,0.4,[1937481.1413033546]
F22013,10,0,0.5,[1346631.7120992078]
F22013,10,0,0.6,[834350.1403859871]
F22013,10,0,0.7,[491324.0007440117]
F22013,10,0,0.8,[261573.8606143217]
F22013,10,0,0.9,[118076.24197198017]
F22013,10,0,1.0,[53688.2481859643]
F22013,10,1,0.01,[12577746.955730934]
F22013,10,1,0.1,[2225092.703673892]
F22013,10,1,0.2,[681314.8386095987]
F22013,10,1,0.3,[218182.8357271421]
F22013,10,1,0.4,[134113.20156084173]
F22013,10,1,0.5,[109694.12829631698]
F22013,10,1,0.6,[90026.97608431999]
F22013,10,1,0.7,[70388.60635030661]
F22013,10,1,0.8,[51289.21024249064]
F22013,10,1,0.9,[33447.502766558035]
F22013,10,1,1.0,[19107.564087981485]
F22013,10,2,0.01,[23778643.607498195]
F22013,10,2,0.1,[347773.5977129528]
F22013,10,2,0.2,[57054.23731147029]
F22013,10,2,0.3,[47193.15485198898]
F22013,10,2,0.4,[44387.36097301911]
F22013,10,2,0.5,[40977.2824144884]
F22013,10,2,0.6,[36625.41170294798]
F22013,10,2,0.7,[31248.80644332957]
F22013,10,2,0.8,[267493.67065310094]
F22013,10,2,0.9,[21435.7414519728]
F22013,10,2,1.0,[17965.616945120368]
F22013,10,3,0.01,[14919867.313976493]
F22013,10,3,0.1,[1160307.514751679]
F22013,10,3,0.2,[179554.55184517172]
F22013,10,3,0.3,[57880.91298783159]
F22013,10,3,0.4,[36623.888278673345]
F22013,10,3,0.5,[24895.830235816935]
F22013,10,3,0.6,[17400.725897658413]
F22013,10,3,0.7,[12328.789721301197]
F22013,10,3,0.8,[20732.933919116786]
F22013,10,3,0.9,[8442.235792851006]
F22013,10,3,1.0,[7558.4802733754805]
F22013,10,4,0.01,[15713104.763252065]
F22013,10,4,0.1,[1044085.0703687862]
F22013,10,4,0.2,[310805.3620456369]
F22013,10,4,0.3,[200210.23635232105]
F22013,10,4,0.4,[145756.57850000283]
F22013,10,4,0.5,[95512.28617657395]
F22013,10,4,0.6,[53186.139395244354]
F22013,10,4,0.7,[25023.51269368852]
F22013,10,4,0.8,[13902.451387432826]
F22013,10,4,0.9,[10960.626330313617]
F22013,10,4,1.0,[33093.87523396607]
F22013,10,5,0.01,[360817327.95744836]
F22013,10,5,0.1,[31100058.149284676]
F22013,10,5,0.2,[10823224.939610822]
F22013,10,5,0.3,[3862085.52391966]
F22013,10,5,0.4,[2044000.4763636438]
F22013,10,5,0.5,[1025688.6045709348]
F22013,10,5,0.6,[443300.17788459046]
F22013,10,5,0.7,[185636.57270131572]
F22013,10,5,0.8,[62029.260922769616]
F22013,10,5,0.9,[25789.555371832295]
F22013,10,5,1.0,[19501.257653025663]
F22013,10,6,0.01,[80431445.11244006]
F22013,10,6,0.1,[1600262.6723463798]
F22013,10,6,0.2,[400991.48437311954]
F22013,10,6,0.3,[132977.21674824296]
F22013,10,6,0.4,[38806.34342663553]
F22013,10,6,0.5,[16641.46360425662]
F22013,10,6,0.6,[348033.6873410495]
F22013,10,6,0.7,[8936.990652143742]
F22013,10,6,0.8,[7572.6840909177145]
F22013,10,6,0.9,[6103.443219149314]
F22013,10,6,1.0,[35720.51763506141]
F22013,10,7,0.01,[41339537.87872399]
F22013,10,7,0.1,[9926922.80346219]
F22013,10,7,0.2,[5614659.542525508]
F22013,10,7,0.3,[2551779.740752116]
F22013,10,7,0.4,[1073633.0720426152]
F22013,10,7,0.5,[582207.6857397202]
F22013,10,7,0.6,[365380.79573384754]
F22013,10,7,0.7,[201868.3945271273]
F22013,10,7,0.8,[94768.23500391084]
F22013,10,7,0.9,[44755.7351083107]
F22013,10,7,1.0,[26077.414013473342]
F22013,10,8,0.01,[16720357.072014775]
F22013,10,8,0.1,[385229.5554232297]
F22013,10,8,0.2,[181927.76259501584]
F22013,10,8,0.3,[104870.63937576747]
F22013,10,8,0.4,[56545.43660476715]
F22013,10,8,0.5,[27727.595745128394]
F22013,10,8,0.6,[1943573.7368588601]
F22013,10,8,0.7,[9098.009117578707]
F22013,10,8,0.8,[6119.532234106467]
F22013,10,8,0.9,[3933.3277685237335]
F22013,10,8,1.0,[3047.0265107842515]
F22013,10,9,0.01,[26185631.476271592]
F22013,10,9,0.1,[977768.0182770249]
F22013,10,9,0.2,[79923.88669753842]
F22013,10,9,0.3,[15700.120772712238]
F22013,10,9,0.4,[10680.338638497658]
F22013,10,9,0.5,[9178.872410545835]
F22013,10,9,0.6,[25796.09074151906]
F22013,10,9,0.7,[6896.772132057403]
F22013,10,9,0.8,[6410.683647844136]
F22013,10,9,0.9,[5754.2387066033525]
F22013,10,9,1.0,[5443.831380624627]
F22013,10,10,0.01,[71751437.06921446]
F22013,10,10,0.1,[1204991.2725211882]
F22013,10,10,0.2,[53106.95404982498]
F22013,10,10,0.3,[13634.752341769994]
F22013,10,10,0.4,[5721.46355050518]
F22013,10,10,0.5,[4226.8701073112925]
F22013,10,10,0.6,[3240.4053096115863]
F22013,10,10,0.7,[2704.8766600306785]
F22013,10,10,0.8,[2373.4985064341695]
F22013,10,10,0.9,[1969.769245974247]
F22013,10,10,1.0,[1656.7165254028262]
F22013,10,11,0.01,[91401877.4736423]
F22013,10,11,0.1,[1804493.8687342189]
F22013,10,11,0.2,[426487.3884067524]
F22013,10,11,0.3,[201641.23771983865]
F22013,10,11,0.4,[123596.10880473781]
F22013,10,11,0.5,[78423.80025817358]
F22013,10,11,0.6,[49308.88563716575]
F22013,10,11,0.7,[28604.915740585147]
F22013,10,11,0.8,[15001.183328488865]
F22013,10,11,0.9,[9838.320980700259]
F22013,10,11,1.0,[7460.036121209155]
F22013,10,12,0.01,[61864667.11474091]
F22013,10,12,0.1,[4123495.596433618]
F22013,10,12,0.2,[1014394.0391569288]
F22013,10,12,0.3,[379957.20519742277]
F22013,10,12,0.4,[255201.224978518]
F22013,10,12,0.5,[183422.08732427587]
F22013,10,12,0.6,[123652.97225294585]
F22013,10,12,0.7,[80852.91386297024]
F22013,10,12,0.8,[51641.45445433283]
F22013,10,12,0.9,[29311.466048037364]
F22013,10,12,1.0,[12836.519383224231]
F22013,10,13,0.01,[94437704.47593807]
F22013,10,13,0.1,[6795947.709787191]
F22013,10,13,0.2,[1167828.6923370368]
F22013,10,13,0.3,[80451.86970409803]
F22013,10,13,0.4,[16590.17058941267]
F22013,10,13,0.5,[9360.510092491522]
F22013,10,13,0.6,[5394.790415360541]
F22013,10,13,0.7,[3819.8810622656156]
F22013,10,13,0.8,[3239.189850011086]
F22013,10,13,0.9,[3294.433200058185]
F22013,10,13,1.0,[6567.050618954747]
F22013,10,14,0.01,[198537360.8762081]
F22013,10,14,0.1,[12298054.982069993]
F22013,10,14,0.2,[4894595.905852746]
F22013,10,14,0.3,[2713907.5837040315]
F22013,10,14,0.4,[1237509.4527677782]
F22013,10,14,0.5,[491347.13926535205]
F22013,10,14,0.6,[193198.61344743235]
F22013,10,14,0.7,[51908.14958073968]
F22013,10,14,0.8,[9691.420999210988]
F22013,10,14,0.9,[3795.4686901170317]
F22013,10,14,1.0,[67179.85723878087]
F22013,10,15,0.01,[21005923.252459463]
F22013,10,15,0.1,[5734080.76446461]
F22013,10,15,0.2,[2922656.768602776]
F22013,10,15,0.3,[1815731.7253833509]
F22013,10,15,0.4,[981358.9234650027]
F22013,10,15,0.5,[488216.3303467075]
F22013,10,15,0.6,[227455.76828813748]
F22013,10,15,0.7,[89200.50739909097]
F22013,10,15,0.8,[39093.81596895056]
F22013,10,15,0.9,[21748.4734357188]
F22013,10,15,1.0,[12196.600425961493]
F22013,10,16,0.01,[342832539.9599013]
F22013,10,16,0.1,[9309444.12881452]
F22013,10,16,0.2,[3188919.539051671]
F22013,10,16,0.3,[882338.7573293919]
F22013,10,16,0.4,[422437.77769322897]
F22013,10,16,0.5,[243253.25688306245]
F22013,10,16,0.6,[132635.5438369134]
F22013,10,16,0.7,[70949.75309230204]
F22013,10,16,0.8,[43433.95536409484]
F22013,10,16,0.9,[29251.30962950979]
F22013,10,16,1.0,[20071.809390052673]
F22013,10,17,0.01,[39261867.521890044]
F22013,10,17,0.1,[1250984.103610221]
F22013,10,17,0.2,[690369.9617881647]
F22013,10,17,0.3,[349334.6741880599]
F22013,10,17,0.4,[134143.3149974438]
F22013,10,17,0.5,[46250.6157393598]
F22013,10,17,0.6,[24137.885511345674]
F22013,10,17,0.7,[164652.50774990983]
F22013,10,17,0.8,[13093.961641546972]
F22013,10,17,0.9,[9373.17418936674]
F22013,10,17,1.0,[7374.541421188175]
F22013,10,18,0.01,[37969430.77385101]
F22013,10,18,0.1,[3247989.243244064]
F22013,10,18,0.2,[762884.1380310226]
F22013,10,18,0.3,[193003.40553848867]
F22013,10,18,0.4,[104790.29194079344]
F22013,10,18,0.5,[67789.5047482765]
F22013,10,18,0.6,[50329.45545619419]
F22013,10,18,0.7,[41855.466421619545]
F22013,10,18,0.8,[34404.825173064055]
F22013,10,18,0.9,[27732.22698208921]
F22013,10,18,1.0,[24133.340867927833]
F22013,10,19,0.01,[38313562.12667612]
F22013,10,19,0.1,[13181557.863499839]
F22013,10,19,0.2,[3823772.0247603375]
F22013,10,19,0.3,[1865831.4210562953]
F22013,10,19,0.4,[1111237.0359320256]
F22013,10,19,0.5,[571145.3279402419]
F22013,10,19,0.6,[282029.7750498684]
F22013,10,19,0.7,[121377.86774907059]
F22013,10,19,0.8,[50179.633662342385]
F22013,10,19,0.9,[31101.091166099282]
F22013,10,19,1.0,[26261.721023405673]
F22013,10,20,0.01,[97136879.39208753]
F22013,10,20,0.1,[6744611.402434454]
F22013,10,20,0.2,[1035548.6771036981]
F22013,10,20,0.3,[89626.47346637519]
F22013,10,20,0.4,[48571.47865182916]
F22013,10,20,0.5,[44845.789297636366]
F22013,10,20,0.6,[40519.734979046545]
F22013,10,20,0.7,[35325.557894399404]
F22013,10,20,0.8,[29360.650900293258]
F22013,10,20,0.9,[22883.519506517823]
F22013,10,20,1.0,[16553.896237809982]
F22013,10,21,0.01,[1088746802.3420568]
F22013,10,21,0.1,[15739985.33496198]
F22013,10,21,0.2,[10410656.154445969]
F22013,10,21,0.3,[5666070.635495162]
F22013,10,21,0.4,[2573495.9452031804]
F22013,10,21,0.5,[950191.6459270624]
F22013,10,21,0.6,[338028.31078259705]
F22013,10,21,0.7,[182765.44492271892]
F22013,10,21,0.8,[124743.6813241308]
F22013,10,21,0.9,[82643.6153388526]
F22013,10,21,1.0,[54329.63900681153]
F22013,10,22,0.01,[103802211.34297304]
F22013,10,22,0.1,[7761357.525995566]
F22013,10,22,0.2,[1753206.034194325]
F22013,10,22,0.3,[447584.8593039646]
F22013,10,22,0.4,[162725.8621772839]
F22013,10,22,0.5,[60329.7069813046]
F22013,10,22,0.6,[23743.992826472248]
F22013,10,22,0.7,[15586.581121783218]
F22013,10,22,0.8,[12528.889873540456]
F22013,10,22,0.9,[9815.824095590124]
F22013,10,22,1.0,[21046.489218537674]
F22013,10,23,0.01,[54318734.48175997]
F22013,10,23,0.1,[339067.46390339]
F22013,10,23,0.2,[134626.6863770018]
F22013,10,23,0.3,[44205.75590248759]
F22013,10,23,0.4,[15430.151465061572]
F22013,10,23,0.5,[10963.864761588324]
F22013,10,23,0.6,[9950.021886718863]
F22013,10,23,0.7,[9079.465431686962]
F22013,10,23,0.8,[8466.122102973619]
F22013,10,23,0.9,[7889.348967613267]
F22013,10,23,1.0,[7522.00275688903]
F22013,10,24,0.01,[86005494.59709275]
F22013,10,24,0.1,[1378731.2432345503]
F22013,10,24,0.2,[530124.8064255995]
F22013,10,24,0.3,[182684.1612693974]
F22013,10,24,0.4,[68272.82660564443]
F22013,10,24,0.5,[35308.138109173306]
F22013,10,24,0.6,[22577.120377487303]
F22013,10,24,0.7,[17386.048866716643]
F22013,10,24,0.8,[13998.888714258288]
F22013,10,24,0.9,[10967.945181627743]
F22013,10,24,1.0,[9383.348445391202]
F22013,10,25,0.01,[217565909.59912515]
F22013,10,25,0.1,[911579.4278550129]
F22013,10,25,0.2,[259288.2660454242]
F22013,10,25,0.3,[120040.72700649423]
F22013,10,25,0.4,[52792.929702832414]
F22013,10,25,0.5,[21574.564741067836]
F22013,10,25,0.6,[11974.427063751742]
F22013,10,25,0.7,[8974.031523931582]
F22013,10,25,0.8,[7798.1132225077]
F22013,10,25,0.9,[7199.7620998166285]
F22013,10,25,1.0,[6500.5893126288265]
F22013,10,26,0.01,[6002757.9207606325]
F22013,10,26,0.1,[670870.274224223]
F22013,10,26,0.2,[154030.45752730026]
F22013,10,26,0.3,[69108.32320929183]
F22013,10,26,0.4,[38151.085566485504]
F22013,10,26,0.5,[6185818.957859403]
F22013,10,26,0.6,[13957.620694385665]
F22013,10,26,0.7,[8942.460268555384]
F22013,10,26,0.8,[6653.483724682717]
F22013,10,26,0.9,[4861.182489434908]
F22013,10,26,1.0,[4270.431751584872]
F22013,10,27,0.01,[1152915115.7741282]
F22013,10,27,0.1,[41033720.59938223]
F22013,10,27,0.2,[25958930.612838913]
F22013,10,27,0.3,[13983798.22856775]
F22013,10,27,0.4,[5468941.9424180435]
F22013,10,27,0.5,[1430309.5648185837]
F22013,10,27,0.6,[325464.2398026751]
F22013,10,27,0.7,[152381.10556017168]
F22013,10,27,0.8,[96772.55133528014]
F22013,10,27,0.9,[56752.1796219149]
F22013,10,27,1.0,[33999.07401353385]
F22013,10,28,0.01,[24214246.652310092]
F22013,10,28,0.1,[2330596.9914505943]
F22013,10,28,0.2,[298842.8699181499]
F22013,10,28,0.3,[123194.3587256105]
F22013,10,28,0.4,[51905.79033674554]
F22013,10,28,0.5,[23882.883267239224]
F22013,10,28,0.6,[10296.609168670955]
F22013,10,28,0.7,[5125.661537583022]
F22013,10,28,0.8,[2904.20201252819]
F22013,10,28,0.9,[1505.2051133342943]
F22013,10,28,1.0,[1125.364498471464]
F22013,10,29,0.01,[123444158.71049756]
F22013,10,29,0.1,[12605833.621088639]
F22013,10,29,0.2,[853331.8865266655]
F22013,10,29,0.3,[54203.22430185006]
F22013,10,29,0.4,[34662.45667230742]
F22013,10,29,0.5,[32238.687356640356]
F22013,10,29,0.6,[29218.91332520142]
F22013,10,29,0.7,[25690.486476959773]
F22013,10,29,0.8,[21944.477938974116]
F22013,10,29,0.9,[18699.04218864685]
F22013,10,29,1.0,[17311.78045613157]
F22013,10,30,0.01,[57988223.02765121]
F22013,10,30,0.1,[10505060.835519804]
F22013,10,30,0.2,[1778641.9820850692]
F22013,10,30,0.3,[419709.6186969101]
F22013,10,30,0.4,[170853.39656553484]
F22013,10,30,0.5,[86900.87320689335]
F22013,10,30,0.6,[47853.40167691233]
F22013,10,30,0.7,[29565.29825887252]
F22013,10,30,0.8,[22682.29799477218]
F22013,10,30,0.9,[18756.503312777182]
F22013,10,30,1.0,[14754.227504150045]
F22013,10,31,0.01,[87889721.00109206]
F22013,10,31,0.1,[4927049.168649584]
F22013,10,31,0.2,[777354.3576839691]
F22013,10,31,0.3,[198444.83242573257]
F22013,10,31,0.4,[104859.98332652725]
F22013,10,31,0.5,[64102.65078172861]
F22013,10,31,0.6,[41369.92070999563]
F22013,10,31,0.7,[25526.16448712393]
F22013,10,31,0.8,[89579.56642491421]
F22013,10,31,0.9,[13228.587833569001]
F22013,10,31,1.0,[11243.492904501152]
F22013,10,32,0.01,[55946319.0598138]
F22013,10,32,0.1,[7544047.951811011]
F22013,10,32,0.2,[1660054.0229610926]
F22013,10,32,0.3,[582005.5588899819]
F22013,10,32,0.4,[235738.6341112487]
F22013,10,32,0.5,[91375.65298731494]
F22013,10,32,0.6,[44256.69363213084]
F22013,10,32,0.7,[28214.738017209074]
F22013,10,32,0.8,[110977.51890822923]
F22013,10,32,0.9,[17011.729518263506]
F22013,10,32,1.0,[14953.344110624274]
F22013,10,33,0.01,[47006496.40540935]
F22013,10,33,0.1,[1605781.9747674097]
F22013,10,33,0.2,[217775.75838442598]
F22013,10,33,0.3,[94901.9456580429]
F22013,10,33,0.4,[49207.59730311474]
F22013,10,33,0.5,[27015.730986513154]
F22013,10,33,0.6,[14222.741878609386]
F22013,10,33,0.7,[8645.77621685554]
F22013,10,33,0.8,[6160.732988194999]
F22013,10,33,0.9,[4843.742758049049]
F22013,10,33,1.0,[4233.836569982642]
F22013,10,34,0.01,[184162788.97334307]
F22013,10,34,0.1,[10575923.867331965]
F22013,10,34,0.2,[3831208.9678321523]
F22013,10,34,0.3,[1754066.7617258793]
F22013,10,34,0.4,[651505.4301218437]
F22013,10,34,0.5,[246947.9344218376]
F22013,10,34,0.6,[88152.2596402507]
