function,dimension,run,checkpoint,error
F72013,10,0,0.01,[4684606.167698772]
F72013,10,0,0.1,[6590671.612163445]
F72013,10,0,0.2,[6590671.612163445]
F72013,10,0,0.3,[6590671.612163445]
F72013,10,0,0.4,[6590671.612163445]
F72013,10,0,0.5,[6590671.612163445]
F72013,10,0,0.6,[6590671.612163445]
F72013,10,0,0.7,[6590671.612163445]
F72013,10,0,0.8,[6590671.612163445]
F72013,10,0,0.9,[6590671.612163445]
F72013,10,0,1.0,[6590671.612163445]
F72013,10,1,0.01,[7384291748150.406]
F72013,10,1,0.1,[7384291748150.406]
F72013,10,1,0.2,[7384291748150.406]
F72013,10,1,0.3,[7384291748150.406]
F72013,10,1,0.4,[7384291748150.406]
F72013,10,1,0.5,[7384291748150.406]
F72013,10,1,0.6,[7384291748150.406]
F72013,10,1,0.7,[7384291748150.406]
F72013,10,1,0.8,[7384291748150.406]
F72013,10,1,0.9,[7384291748150.406]
F72013,10,1,1.0,[7384291748150.406]
F72013,10,2,0.01,[28690.537193841603]
F72013,10,2,0.1,[18710.504888883657]
F72013,10,2,0.2,[18710.504888883657]
F72013,10,2,0.3,[18710.504888883657]
F72013,10,2,0.4,[18710.504888883657]
F72013,10,2,0.5,[18710.504888883657]
F72013,10,2,0.6,[18710.504888883657]
F72013,10,2,0.7,[18710.504888883657]
F72013,10,2,0.8,[18710.504888883657]
F72013,10,2,0.9,[18710.504888883657]
F72013,10,2,1.0,[18710.504888883657]
F72013,10,3,0.01,[6560244.587013532]
F72013,10,3,0.1,[6560244.587013628]
F72013,10,3,0.2,[6560244.587013628]
F72013,10,3,0.3,[6560244.587013628]
F72013,10,3,0.4,[6560244.587013628]
F72013,10,3,0.5,[6560244.587013628]
F72013,10,3,0.6,[6560244.587013628]
F72013,10,3,0.7,[6560244.587013628]
F72013,10,3,0.8,[6560244.587013628]
F72013,10,3,0.9,[6560244.587013628]
F72013,10,3,1.0,[6560244.587013628]
F72013,10,4,0.01,[25219216.89406137]
F72013,10,4,0.1,[25219216.894060183]
F72013,10,4,0.2,[25219216.894060183]
F72013,10,4,0.3,[25219216.894060183]
F72013,10,4,0.4,[25219216.894060183]
F72013,10,4,0.5,[25219216.894060183]
F72013,10,4,0.6,[25219216.894060183]
F72013,10,4,0.7,[25219216.894060183]
F72013,10,4,0.8,[25219216.894060183]
F72013,10,4,0.9,[25219216.894060183]
F72013,10,4,1.0,[25219216.894060183]
F72013,10,5,0.01,[18536.673866341145]
F72013,10,5,0.1,[18674.280170164784]
F72013,10,5,0.2,[18674.280170164784]
F72013,10,5,0.3,[18674.280170164784]
F72013,10,5,0.4,[18674.280170164784]
F72013,10,5,0.5,[18674.280170164784]
F72013,10,5,0.6,[18674.280170164784]
F72013,10,5,0.7,[18674.280170164784]
F72013,10,5,0.8,[18674.280170164784]
F72013,10,5,0.9,[18674.280170164784]
F72013,10,5,1.0,[18674.280170164784]
F72013,10,6,0.01,[201266971.79839596]
F72013,10,6,0.1,[136542688.00373098]
F72013,10,6,0.2,[136542688.00373098]
F72013,10,6,0.3,[136542688.00373098]
F72013,10,6,0.4,[136542688.00373098]
F72013,10,6,0.5,[136542688.00373098]
F72013,10,6,0.6,[136542688.00373098]
F72013,10,6,0.7,[136542688.00373098]
F72013,10,6,0.8,[136542688.00373098]
F72013,10,6,0.9,[136542688.00373098]
F72013,10,6,1.0,[136542688.00373098]
F72013,10,7,0.01,[15187969.97514413]
F72013,10,7,0.1,[15187969.97514413]
F72013,10,7,0.2,[15187969.97514413]
F72013,10,7,0.3,[15187969.97514413]
F72013,10,7,0.4,[15187969.97514413]
F72013,10,7,0.5,[15187969.97514413]
F72013,10,7,0.6,[15187969.97514413]
F72013,10,7,0.7,[15187969.97514413]
F72013,10,7,0.8,[15187969.97514413]
F72013,10,7,0.9,[15187969.97514413]
F72013,10,7,1.0,[15187969.97514413]
F72013,10,8,0.01,[460988936.78763616]
F72013,10,8,0.1,[460988936.78763616]
F72013,10,8,0.2,[460988936.78763616]
F72013,10,8,0.3,[460988936.78763616]
F72013,10,8,0.4,[460988936.78763616]
F72013,10,8,0.5,[460988936.78763616]
F72013,10,8,0.6,[460988936.78763616]
F72013,10,8,0.7,[460988936.78763616]
F72013,10,8,0.8,[460988936.78763616]
F72013,10,8,0.9,[460988936.78763616]
F72013,10,8,1.0,[460988936.78763616]
F72013,10,9,0.01,[1163384416297.2266]
F72013,10,9,0.1,[1163384416297.2266]
F72013,10,9,0.2,[1163384416297.2266]
F72013,10,9,0.3,[1163384416297.2266]
F72013,10,9,0.4,[1163384416297.2266]
F72013,10,9,0.5,[1163384416297.2266]
F72013,10,9,0.6,[1163384416297.2266]
F72013,10,9,0.7,[1163384416297.2266]
F72013,10,9,0.8,[1163384416297.2266]
F72013,10,9,0.9,[1163384416297.2266]
F72013,10,9,1.0,[1163384416297.2266]
F72013,10,10,0.01,[83342504.3223623]
F72013,10,10,0.1,[83342504.3223623]
F72013,10,10,0.2,[83342504.3223623]
F72013,10,10,0.3,[83342504.3223623]
F72013,10,10,0.4,[83342504.3223623]
