function,dimensions,checkpoint,mean,std,median,max,min
F12013,10,0.01,7.561733329174447e-05,0.0002814286223222796,2.6590851121000014e-07,0.0014685003368413163,0
F12013,10,0.1,0,0,0,0,0
F12013,10,0.2,0,0,0,0,0
F12013,10,0.3,0,0,0,0,0
F12013,10,0.4,0,0,0,0,0
F12013,10,0.5,0,0,0,0,0
F12013,10,0.6,0,0,0,0,0
F12013,10,0.7,0,0,0,0,0
F12013,10,0.8,0,0,0,0,0
F12013,10,0.9,0,0,0,0,0
F12013,10,1.0,0,0,0,0,0
F12013,30,0.01,0.00021568117077264354,0.0009842952243101957,1.647779754421208e-06,0.006666327194125188,8.484016689180862e-08
F12013,30,0.1,0,0,0,3.404511517146602e-08,0
F12013,30,0.2,0,0,0,3.404511517146602e-08,0
F12013,30,0.3,0,0,0,3.404511517146602e-08,0
F12013,30,0.4,0,0,0,3.404511517146602e-08,0
F12013,30,0.5,0,0,0,3.404511517146602e-08,0
F12013,30,0.6,0,0,0,3.404511517146602e-08,0
F12013,30,0.7,0,0,0,3.404511517146602e-08,0
F12013,30,0.8,0,0,0,3.404511517146602e-08,0
F12013,30,0.9,0,0,0,3.404511517146602e-08,0
F12013,30,1.0,0,0,0,3.404511517146602e-08,0
F12013,50,0.01,9.23939274914529e-05,0.0003609491840029557,1.772682026057737e-06,0.002500162724800248,1.4779993762203958e-07
F12013,50,0.1,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.2,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.3,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.4,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.5,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.6,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.7,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.8,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,0.9,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
F12013,50,1.0,1.7078509343121492e-08,2.4532400772602335e-08,1.4420720617636107e-08,1.5981709111656528e-07,0
