function,dimension,run,checkpoint,error
F82013,10,0,0.01,[21.369824377136524]
F82013,10,0,0.1,[21.369824377136524]
F82013,10,0,0.2,[21.369824377136524]
F82013,10,0,0.3,[21.369824377136524]
F82013,10,0,0.4,[21.369824377136524]
F82013,10,0,0.5,[21.369824377136524]
F82013,10,0,0.6,[21.369824377136524]
F82013,10,0,0.7,[21.369824377136524]
F82013,10,0,0.8,[21.369824377136524]
F82013,10,0,0.9,[21.369824377136524]
F82013,10,0,1.0,[21.369824377136524]
F82013,10,1,0.01,[21.42037525149476]
F82013,10,1,0.1,[21.42037525149476]
F82013,10,1,0.2,[21.42037525149476]
F82013,10,1,0.3,[21.42037525149476]
F82013,10,1,0.4,[21.42037525149476]
F82013,10,1,0.5,[21.42037525149476]
F82013,10,1,0.6,[21.42037525149476]
F82013,10,1,0.7,[21.42037525149476]
F82013,10,1,0.8,[21.42037525149476]
F82013,10,1,0.9,[21.42037525149476]
F82013,10,1,1.0,[21.42037525149476]
F82013,10,2,0.01,[21.410455464645565]
F82013,10,2,0.1,[21.410455464645565]
F82013,10,2,0.2,[21.410455464645565]
F82013,10,2,0.3,[21.410455464645565]
F82013,10,2,0.4,[21.410455464645565]
F82013,10,2,0.5,[21.410455464645565]
F82013,10,2,0.6,[21.410455464645565]
F82013,10,2,0.7,[21.410455464645565]
F82013,10,2,0.8,[21.410455464645565]
F82013,10,2,0.9,[21.410455464645565]
F82013,10,2,1.0,[21.410455464645565]
F82013,10,3,0.01,[21.459745806971796]
F82013,10,3,0.1,[21.459745806971796]
F82013,10,3,0.2,[21.459745806971796]
F82013,10,3,0.3,[21.459745806971796]
F82013,10,3,0.4,[21.459745806971796]
F82013,10,3,0.5,[21.459745806971796]
F82013,10,3,0.6,[21.459745806971796]
F82013,10,3,0.7,[21.459745806971796]
F82013,10,3,0.8,[21.459745806971796]
F82013,10,3,0.9,[21.459745806971796]
F82013,10,3,1.0,[21.459745806971796]
F82013,10,4,0.01,[21.218081924067974]
F82013,10,4,0.1,[21.218081924067974]
F82013,10,4,0.2,[21.218081924067974]
F82013,10,4,0.3,[21.218081924067974]
F82013,10,4,0.4,[21.218081924067974]
F82013,10,4,0.5,[21.218081924067974]
F82013,10,4,0.6,[21.218081924067974]
F82013,10,4,0.7,[21.218081924067974]
F82013,10,4,0.8,[21.218081924067974]
F82013,10,4,0.9,[21.218081924067974]
F82013,10,4,1.0,[21.218081924067974]
F82013,10,5,0.01,[21.55324406505747]
F82013,10,5,0.1,[21.55324406505747]
F82013,10,5,0.2,[21.55324406505747]
F82013,10,5,0.3,[21.55324406505747]
F82013,10,5,0.4,[21.55324406505747]
F82013,10,5,0.5,[21.55324406505747]
F82013,10,5,0.6,[21.55324406505747]
F82013,10,5,0.7,[21.55324406505747]
F82013,10,5,0.8,[21.55324406505747]
F82013,10,5,0.9,[21.55324406505747]
F82013,10,5,1.0,[21.55324406505747]
F82013,10,6,0.01,[21.0815072420221]
F82013,10,6,0.1,[21.0815072420221]
F82013,10,6,0.2,[21.0815072420221]
F82013,10,6,0.3,[21.0815072420221]
F82013,10,6,0.4,[21.0815072420221]
F82013,10,6,0.5,[21.0815072420221]
F82013,10,6,0.6,[21.0815072420221]
F82013,10,6,0.7,[21.0815072420221]
F82013,10,6,0.8,[21.0815072420221]
F82013,10,6,0.9,[21.0815072420221]
F82013,10,6,1.0,[21.0815072420221]
F82013,10,7,0.01,[21.507683034094953]
F82013,10,7,0.1,[21.507683034094953]
F82013,10,7,0.2,[21.507683034094953]
F82013,10,7,0.3,[21.507683034094953]
F82013,10,7,0.4,[21.507683034094953]
F82013,10,7,0.5,[21.507683034094953]
F82013,10,7,0.6,[21.507683034094953]
F82013,10,7,0.7,[21.507683034094953]
F82013,10,7,0.8,[21.507683034094953]
F82013,10,7,0.9,[21.507683034094953]
F82013,10,7,1.0,[21.507683034094953]
F82013,10,8,0.01,[20.886070501238464]
F82013,10,8,0.1,[20.886070501238464]
F82013,10,8,0.2,[20.886070501238464]
F82013,10,8,0.3,[20.886070501238464]
F82013,10,8,0.4,[20.886070501238464]
F82013,10,8,0.5,[20.886070501238464]
F82013,10,8,0.6,[20.886070501238464]
F82013,10,8,0.7,[20.886070501238464]
F82013,10,8,0.8,[20.886070501238464]
F82013,10,8,0.9,[20.886070501238464]
F82013,10,8,1.0,[20.886070501238464]
F82013,10,9,0.01,[21.281047071541366]
F82013,10,9,0.1,[21.281047071541366]
F82013,10,9,0.2,[21.281047071541366]
F82013,10,9,0.3,[21.281047071541366]
F82013,10,9,0.4,[21.281047071541366]
F82013,10,9,0.5,[21.281047071541366]
F82013,10,9,0.6,[21.281047071541366]
F82013,10,9,0.7,[21.281047071541366]
F82013,10,9,0.8,[21.281047071541366]
F82013,10,9,0.9,[21.281047071541366]
F82013,10,9,1.0,[21.281047071541366]
F82013,10,10,0.01,[21.37207121081599]
F82013,10,10,0.1,[21.37207121081599]
F82013,10,10,0.2,[21.37207121081599]
F82013,10,10,0.3,[21.37207121081599]
F82013,10,10,0.4,[21.37207121081599]
