function,dimension,run,checkpoint,error
F62013,10,0,0.01,[73.27489962684115]
F62013,10,0,0.1,[73.27489962684115]
F62013,10,0,0.2,[73.27489962684115]
F62013,10,0,0.3,[73.27489962684115]
F62013,10,0,0.4,[73.27489962684115]
F62013,10,0,0.5,[73.27489962684115]
F62013,10,0,0.6,[73.27489962684115]
F62013,10,0,0.7,[73.27489962684115]
F62013,10,0,0.8,[73.27489962684115]
F62013,10,0,0.9,[73.27489962684115]
F62013,10,0,1.0,[73.27489962684115]
F62013,10,1,0.01,[66.86675275747348]
F62013,10,1,0.1,[66.86675275747348]
F62013,10,1,0.2,[66.86675275747348]
F62013,10,1,0.3,[66.86675275747348]
F62013,10,1,0.4,[66.86675275747348]
F62013,10,1,0.5,[66.86675275747348]
F62013,10,1,0.6,[66.86675275747348]
F62013,10,1,0.7,[66.86675275747348]
F62013,10,1,0.8,[66.86675275747348]
F62013,10,1,0.9,[66.86675275747348]
F62013,10,1,1.0,[66.86675275747348]
F62013,10,2,0.01,[86.71789103502238]
F62013,10,2,0.1,[86.71789103502238]
F62013,10,2,0.2,[86.71789103502238]
F62013,10,2,0.3,[86.71789103502238]
F62013,10,2,0.4,[86.71789103502238]
F62013,10,2,0.5,[86.71789103502238]
F62013,10,2,0.6,[86.71789103502238]
F62013,10,2,0.7,[86.71789103502238]
F62013,10,2,0.8,[86.71789103502238]
F62013,10,2,0.9,[86.71789103502238]
F62013,10,2,1.0,[86.71789103502238]
F62013,10,3,0.01,[26.646813701335873]
F62013,10,3,0.1,[26.646813701335873]
F62013,10,3,0.2,[26.646813701335873]
F62013,10,3,0.3,[26.646813701335873]
F62013,10,3,0.4,[26.646813701335873]
F62013,10,3,0.5,[26.646813701335873]
F62013,10,3,0.6,[26.646813701335873]
F62013,10,3,0.7,[26.646813701335873]
F62013,10,3,0.8,[26.646813701335873]
F62013,10,3,0.9,[26.646813701335873]
F62013,10,3,1.0,[26.646813701335873]
F62013,10,4,0.01,[17.369079616891668]
F62013,10,4,0.1,[17.369079616891668]
F62013,10,4,0.2,[17.369079616891668]
F62013,10,4,0.3,[17.369079616891668]
F62013,10,4,0.4,[17.369079616891668]
F62013,10,4,0.5,[17.369079616891668]
F62013,10,4,0.6,[17.369079616891668]
F62013,10,4,0.7,[17.369079616891668]
F62013,10,4,0.8,[17.369079616891668]
F62013,10,4,0.9,[17.369079616891668]
F62013,10,4,1.0,[17.369079616891668]
F62013,10,5,0.01,[12.433243540359399]
F62013,10,5,0.1,[12.433243540359399]
F62013,10,5,0.2,[12.433243540359399]
F62013,10,5,0.3,[12.433243540359399]
F62013,10,5,0.4,[12.433243540359399]
F62013,10,5,0.5,[12.433243540359399]
F62013,10,5,0.6,[12.433243540359399]
