function,dimension,run,checkpoint,error
F32013,10,0,0.01,[1872.0707292801303]
F32013,10,0,0.1,[8.693700692674611e-08]
F32013,10,0,0.2,[8.693700692674611e-08]
F32013,10,0,0.3,[8.693700692674611e-08]
F32013,10,0,0.4,[8.693700692674611e-08]
F32013,10,0,0.5,[8.693700692674611e-08]
F32013,10,0,0.6,[8.693700692674611e-08]
F32013,10,0,0.7,[8.693700692674611e-08]
F32013,10,0,0.8,[8.693700692674611e-08]
F32013,10,0,0.9,[8.693700692674611e-08]
F32013,10,0,1.0,[8.693700692674611e-08]
F32013,10,1,0.01,[23058.52003082594]
F32013,10,1,0.1,[4.979247250957997e-06]
F32013,10,1,0.2,[4.979247250957997e-06]
F32013,10,1,0.3,[4.979247250957997e-06]
F32013,10,1,0.4,[4.979247250957997e-06]
F32013,10,1,0.5,[4.979247250957997e-06]
F32013,10,1,0.6,[4.979247250957997e-06]
F32013,10,1,0.7,[4.979247250957997e-06]
F32013,10,1,0.8,[4.979247250957997e-06]
F32013,10,1,0.9,[4.979247250957997e-06]
F32013,10,1,1.0,[4.979247250957997e-06]
F32013,10,2,0.01,[149.149242948371]
F32013,10,2,0.1,[1.7526758711028378e-07]
F32013,10,2,0.2,[1.7526758711028378e-07]
F32013,10,2,0.3,[1.7526758711028378e-07]
F32013,10,2,0.4,[1.7526758711028378e-07]
F32013,10,2,0.5,[1.7526758711028378e-07]
F32013,10,2,0.6,[1.7526758711028378e-07]
F32013,10,2,0.7,[1.7526758711028378e-07]
F32013,10,2,0.8,[1.7526758711028378e-07]
F32013,10,2,0.9,[1.7526758711028378e-07]
F32013,10,2,1.0,[1.7526758711028378e-07]
F32013,10,3,0.01,[1774.8140910521142]
F32013,10,3,0.1,[0.014545643864721569]
F32013,10,3,0.2,[0.014545643864721569]
F32013,10,3,0.3,[0.014545643864721569]
F32013,10,3,0.4,[0.014545643864721569]
F32013,10,3,0.5,[0.014545643864721569]
F32013,10,3,0.6,[0.014545643864721569]
F32013,10,3,0.7,[0.014545643864721569]
F32013,10,3,0.8,[0.014545643864721569]
F32013,10,3,0.9,[0.014545643864721569]
F32013,10,3,1.0,[0.014545643864721569]
F32013,10,4,0.01,[2924.4309031341895]
F32013,10,4,0.1,[1.6230660548899323e-07]
