function,dimensions,checkpoint,mean,std,median,max,min
F42013,10,0.01,35685.63102209285,16934.297562668296,33931.42328655005,80011.29334321327,7184.594579286604
F42013,10,0.1,0,5.524780362456818e-08,0,3.9847418520366773e-07,0
F42013,10,0.2,0,0,0,0,0
F42013,10,0.3,0,0,0,0,0
F42013,10,0.4,0,0,0,0,0
F42013,10,0.5,0,0,0,0,0
F42013,10,0.6,0,0,0,0,0
F42013,10,0.7,0,0,0,0,0
F42013,10,0.8,0,0,0,0,0
F42013,10,0.9,0,0,0,0,0
F42013,10,1.0,0,0,0,0,0
F42013,30,0.01,105600.58877670822,19077.069416083657,103027.82889524504,142089.31470197905,63631.80534678536
F42013,30,0.1,0.00011816199218860585,0.00043591833175404517,2.141648360520776e-05,0.003067287550720721,2.680299076018855e-07
F42013,30,0.2,0,0,0,0,0
F42013,30,0.3,0,0,0,0,0
F42013,30,0.4,0,0,0,0,0
F42013,30,0.5,0,0,0,0,0
F42013,30,0.6,0,0,0,0,0
F42013,30,0.7,0,0,0,0,0
F42013,30,0.8,0,0,0,0,0
F42013,30,0.9,0,0,0,0,0
F42013,30,1.0,0,0,0,0,0
F42013,50,0.01,139207.03616405453,18347.510490783872,136011.99814067516,179655.66976057173,94755.27072057087
F42013,50,0.1,0.8000032303858488,0.837921139701787,0.43896111962840223,3.1294357086712807,0.005720091317698461
F42013,50,0.2,0,0,0,0,0
F42013,50,0.3,0,0,0,0,0
F42013,50,0.4,0,0,0,0,0
F42013,50,0.5,0,0,0,0,0
F42013,50,0.6,0,0,0,0,0
F42013,50,0.7,0,0,0,0,0
F42013,50,0.8,0,0,0,0,0
F42013,50,0.9,0,0,0,0,0
F42013,50,1.0,0,0,0,0,0
