function,dimensions,checkpoint,mean,std,median,max,min
F22013,10,0.01,8610647.924774239,6736204.747457776,7125847.932797044,26846821.39149739,226505.18870557362
F22013,10,0.1,1780.1044760632922,4012.4430704015163,455.17613955719685,25215.19727202899,1.2075815902790055e-08
F22013,10,0.2,180.07696033017177,939.3565932897955,0,6131.56323277293,0
F22013,10,0.3,24.149013099208,170.7576614816392,0,1231.5880167774374,0
F22013,10,0.4,0,0,0,0,0
F22013,10,0.5,0,0,0,0,0
F22013,10,0.6,0,0,0,0,0
F22013,10,0.7,0,0,0,0,0
F22013,10,0.8,0,0,0,0,0
F22013,10,0.9,0,0,0,0,0
F22013,10,1.0,0,0,0,0,0
F22013,30,0.01,46967366.35066376,19662328.412954267,45812544.723748945,96669072.35939449,17171488.794566404
F22013,30,0.1,422826.573281436,187614.99217565992,403038.6314795637,1062734.5875928183,150917.7723571084
F22013,30,0.2,19084.220983350788,16307.74204700513,16168.23451677679,83378.09992743563,2235.564395810242
F22013,30,0.3,1568.7635778615506,2755.960835415431,510.10108168293414,16100.279886749047,1.81053407078889
F22013,30,0.4,80.09773183294125,284.8337272020016,0.5280482967189073,1774.8990467347598,0
F22013,30,0.5,0.6685427295537296,4.7273078619692095,0,34.095657189099256,0
F22013,30,0.6,0,0,0,0,0
F22013,30,0.7,0,0,0,0,0
F22013,30,0.8,0,0,0,0,0
F22013,30,0.9,0,0,0,0,0
F22013,30,1.0,0,0,0,0,0
F22013,50,0.01,75152705.21988611,27666612.142954636,72685697.99770136,149702452.1234233,28606371.769721694
F22013,50,0.1,3848819.401156392,1521042.4847008912,3594746.04596037,10543515.365614908,1889811.578256641
F22013,50,0.2,762468.9548973887,261106.3739217918,731574.901201256,1640373.8352234312,316298.1902528964
F22013,50,0.3,178567.6098194274,105558.6092479984,158854.97801125835,555266.0014659581,49897.318305118024
F22013,50,0.4,40769.52278119347,36313.33418512616,29066.75803410887,202160.940830735,4671.161222208974
F22013,50,0.5,8086.873394493624,12223.643939852971,4640.510947515148,69099.59342935524,387.4739807371302
F22013,50,0.6,1322.6581216063316,2655.079338118554,528.0223554718788,17327.577326161645,10.022155106995115
F22013,50,0.7,162.05398593551578,324.5416519134448,25.215056107002965,1685.998164122478,0.09599199182866869
F22013,50,0.8,13.084087496417482,38.73569110651315,1.0090579562931907,199.14652192497283,2.6425595933687873e-08
F22013,50,0.9,0.425989715805189,2.2255172809180475,5.23196715676022e-05,15.794655702794898,0
F22013,50,1.0,0.0056332673635712555,0.03973351644368334,0,0.2865912970653426,0
