function,dimension,run,checkpoint,error
F52013,10,0,0.01,84.7001360093875
F52013,10,0,0.1,0.0021577199878493047
F52013,10,0,0.2,7.991176289579016e-07
F52013,10,0,0.3,0
F52013,10,0,0.4,0
F52013,10,0,0.5,0
F52013,10,0,0.6,0
F52013,10,0,0.7,0
F52013,10,0,0.8,0
F52013,10,0,0.9,0
F52013,10,0,1.0,0
F52013,10,1,0.01,203.29211601570626
F52013,10,1,0.1,0.03478655349078963
F52013,10,1,0.2,1.7227534954145085e-07
F52013,10,1,0.3,0
F52013,10,1,0.4,0
F52013,10,1,0.5,0
F52013,10,1,0.6,0
F52013,10,1,0.7,0
F52013,10,1,0.8,0
F52013,10,1,0.9,0
F52013,10,1,1.0,0
F52013,10,2,0.01,81.51832627605052
F52013,10,2,0.1,0.012632555538175438
F52013,10,2,0.2,3.90945160688716e-07
F52013,10,2,0.3,0
F52013,10,2,0.4,0
F52013,10,2,0.5,0
F52013,10,2,0.6,0
F52013,10,2,0.7,0
F52013,10,2,0.8,0
F52013,10,2,0.9,0
F52013,10,2,1.0,0
F52013,10,3,0.01,183.8907958656398
F52013,10,3,0.1,2.772661208392492
F52013,10,3,0.2,0.009756129872926067
F52013,10,3,0.3,2.5900021682900842e-08
F52013,10,3,0.4,0
F52013,10,3,0.5,0
F52013,10,3,0.6,0
F52013,10,3,0.7,0
F52013,10,3,0.8,0
F52013,10,3,0.9,0
F52013,10,3,1.0,0
F52013,10,4,0.01,403.58573802247827
F52013,10,4,0.1,0.013285018384294744
F52013,10,4,0.2,3.227396518923342e-07
F52013,10,4,0.3,0
F52013,10,4,0.4,0
F52013,10,4,0.5,0
F52013,10,4,0.6,0
F52013,10,4,0.7,0
F52013,10,4,0.8,0
F52013,10,4,0.9,0
F52013,10,4,1.0,0
F52013,10,5,0.01,44.77045969970766
F52013,10,5,0.1,0.001617506854131534
F52013,10,5,0.2,7.945141078380402e-08
F52013,10,5,0.3,0
F52013,10,5,0.4,0
F52013,10,5,0.5,0
F52013,10,5,0.6,0
F52013,10,5,0.7,0
F52013,10,5,0.8,0
F52013,10,5,0.9,0
F52013,10,5,1.0,0
F52013,10,6,0.01,158.2891191652352
F52013,10,6,0.1,0.23443005958699814
F52013,10,6,0.2,2.1482640022441046e-07
F52013,10,6,0.3,0
F52013,10,6,0.4,0
F52013,10,6,0.5,0
F52013,10,6,0.6,0
F52013,10,6,0.7,0
F52013,10,6,0.8,0
F52013,10,6,0.9,0
F52013,10,6,1.0,0
F52013,10,7,0.01,24.42435870753559
F52013,10,7,0.1,6.371504218805057e-05
F52013,10,7,0.2,3.1346019113698276e-07
F52013,10,7,0.3,0
F52013,10,7,0.4,0
F52013,10,7,0.5,0
F52013,10,7,0.6,0
F52013,10,7,0.7,0
F52013,10,7,0.8,0
F52013,10,7,0.9,0
F52013,10,7,1.0,0
F52013,10,8,0.01,87.87677487918108
F52013,10,8,0.1,0.0007465868467306791
F52013,10,8,0.2,0
F52013,10,8,0.3,0
F52013,10,8,0.4,0
F52013,10,8,0.5,0
F52013,10,8,0.6,0
F52013,10,8,0.7,0
F52013,10,8,0.8,0
F52013,10,8,0.9,0
F52013,10,8,1.0,0
F52013,10,9,0.01,217.9614734384545
F52013,10,9,0.1,0.28925407799704317
F52013,10,9,0.2,0.0039106304507186
F52013,10,9,0.3,0
F52013,10,9,0.4,0
F52013,10,9,0.5,0
F52013,10,9,0.6,0
F52013,10,9,0.7,0
F52013,10,9,0.8,0
F52013,10,9,0.9,0
F52013,10,9,1.0,0
F52013,10,10,0.01,221.68683157178532
F52013,10,10,0.1,0.07394847282091632
F52013,10,10,0.2,1.8053889107250143e-05
F52013,10,10,0.3,0
F52013,10,10,0.4,0
F52013,10,10,0.5,0
F52013,10,10,0.6,0
F52013,10,10,0.7,0
F52013,10,10,0.8,0
F52013,10,10,0.9,0
F52013,10,10,1.0,0
F52013,10,11,0.01,45.85802806989909
F52013,10,11,0.1,0.0016731480861835735
F52013,10,11,0.2,1.8025809822574956e-07
F52013,10,11,0.3,0
F52013,10,11,0.4,0
F52013,10,11,0.5,0
F52013,10,11,0.6,0
F52013,10,11,0.7,0
F52013,10,11,0.8,0
F52013,10,11,0.9,0
F52013,10,11,1.0,0
F52013,10,12,0.01,12.101799195918716
F52013,10,12,0.1,0.00035142863907822175
F52013,10,12,0.2,0
F52013,10,12,0.3,0
F52013,10,12,0.4,0
F52013,10,12,0.5,0
F52013,10,12,0.6,0
F52013,10,12,0.7,0
F52013,10,12,0.8,0
F52013,10,12,0.9,0
F52013,10,12,1.0,0
F52013,10,13,0.01,17.546186169786097
F52013,10,13,0.1,0.0010849664556644711
F52013,10,13,0.2,4.563687298286823e-06
F52013,10,13,0.3,0
F52013,10,13,0.4,0
F52013,10,13,0.5,0
F52013,10,13,0.6,0
F52013,10,13,0.7,0
F52013,10,13,0.8,0
F52013,10,13,0.9,0
F52013,10,13,1.0,0
F52013,10,14,0.01,95.76465465085607
F52013,10,14,0.1,0.0005077850886436863
F52013,10,14,0.2,0
F52013,10,14,0.3,0
F52013,10,14,0.4,0
F52013,10,14,0.5,0
F52013,10,14,0.6,0
F52013,10,14,0.7,0
F52013,10,14,0.8,0
F52013,10,14,0.9,0
F52013,10,14,1.0,0
F52013,10,15,0.01,207.0923231440064
F52013,10,15,0.1,0.00038155303820985864
F52013,10,15,0.2,1.1168879154865863e-07
F52013,10,15,0.3,0
F52013,10,15,0.4,0
F52013,10,15,0.5,0
F52013,10,15,0.6,0
F52013,10,15,0.7,0
F52013,10,15,0.8,0
F52013,10,15,0.9,0
F52013,10,15,1.0,0
F52013,10,16,0.01,130.8395553322739
F52013,10,16,0.1,0.05479512895738026
F52013,10,16,0.2,8.241363502747845e-07
F52013,10,16,0.3,0
F52013,10,16,0.4,0
F52013,10,16,0.5,0
F52013,10,16,0.6,0
F52013,10,16,0.7,0
F52013,10,16,0.8,0
F52013,10,16,0.9,0
F52013,10,16,1.0,0
F52013,10,17,0.01,353.70393716247145
F52013,10,17,0.1,0.000817633779888638
F52013,10,17,0.2,3.640354862000095e-08
F52013,10,17,0.3,0
F52013,10,17,0.4,0
F52013,10,17,0.5,0
F52013,10,17,0.6,0
F52013,10,17,0.7,0
F52013,10,17,0.8,0
F52013,10,17,0.9,0
F52013,10,17,1.0,0
F52013,10,18,0.01,130.64862359865378
F52013,10,18,0.1,0.0017208072389394147
F52013,10,18,0.2,3.776826815737877e-07
F52013,10,18,0.3,0
F52013,10,18,0.4,0
F52013,10,18,0.5,0
F52013,10,18,0.6,0
F52013,10,18,0.7,0
F52013,10,18,0.8,0
F52013,10,18,0.9,0
F52013,10,18,1.0,0
F52013,10,19,0.01,333.81671777674444
F52013,10,19,0.1,0.004724814495602914
F52013,10,19,0.2,7.162158226492465e-07
F52013,10,19,0.3,0
F52013,10,19,0.4,0
F52013,10,19,0.5,0
F52013,10,19,0.6,0
F52013,10,19,0.7,0
F52013,10,19,0.8,0
F52013,10,19,0.9,0
F52013,10,19,1.0,0
F52013,10,20,0.01,84.18162260731003
