function,dimensions,checkpoint,mean,std,median,max,min
F92013,10,0.01,4.22136981486081,1.5576591829279707,3.914767816788867,8.419393870565045,1.224968132157528
F92013,10,0.1,4.220711121135231,1.5576429825005775,3.913441313433964,8.418752942690844,1.2242129082189876
F92013,10,0.2,4.22071111227254,1.5576429706196542,3.91344131337587,8.418752942695164,1.2242129080832456
F92013,10,0.3,4.2207111121784715,1.5576429705300825,3.913441313385647,8.418752942689366,1.2242129080767654
F92013,10,0.4,4.220711112177054,1.557642970530196,3.913441313402245,8.418752942691185,1.2242129080860877
F92013,10,0.5,4.220711112175647,1.5576429705324186,3.9134413133508588,8.418752942694482,1.2242129080736959
F92013,10,0.6,4.220711112173751,1.5576429705314776,3.9134413133582484,8.418752942691071,1.2242129080769928
F92013,10,0.7,4.220711112172201,1.55764297053195,3.913441313349267,8.418752942689366,1.2242129080766517
F92013,10,0.8,4.220711112177123,1.5576429705301422,3.9134413133559747,8.418752942693573,1.2242129080872246
F92013,10,0.9,4.220711112167627,1.5576429705289023,3.91344131333949,8.418752942690276,1.2242129080702853
F92013,10,1.0,4.220711112169555,1.5576429705314137,3.9134413133393764,8.418752942696642,1.2242129080806308
F92013,30,0.01,19.27515120440863,3.158744469359891,19.659424559550075,26.55145529090396,12.414068173854389
F92013,30,0.1,19.275139357942454,3.1587454513561983,19.659415374139485,26.551442622151853,12.414050794732589
F92013,30,0.2,19.275138800612456,3.158745919050089,19.65941533878265,26.55144260353245,12.414050791269574
F92013,30,0.3,19.27513861868578,3.1587461673657833,19.659415336662278,26.551442603152623,12.414050791010709
F92013,30,0.4,19.275138602547877,3.1587461897174123,19.65941533669843,26.551442603123633,12.414050790947385
F92013,30,0.5,19.275138602506896,3.158746189741672,19.65941533660589,26.551442603086002,12.414050790912597
F92013,30,0.6,19.27513860249153,3.1587461897252425,19.659415336565075,26.55144260306679,12.41405079092192
F92013,30,0.7,19.27513860248199,3.1587461897281495,19.659415336594407,26.551442603047917,12.414050790900092
F92013,30,0.8,19.27513860247317,3.1587461897292104,19.659415336552343,26.551442603051782,12.414050790915326
F92013,30,0.9,19.275138602465972,3.1587461897243085,19.65941533654882,26.55144260302643,12.414050790900319
F92013,30,1.0,19.275138602458167,3.158746189725809,19.659415336576103,26.551442603024384,12.414050790919987
F92013,50,0.01,35.95406797377487,5.177909636607431,35.70647725005233,50.03819195593803,25.18344844172941
F92013,50,0.1,35.954053623545825,5.177909860111003,35.70646592536775,50.03817939503267,25.183436098825723
F92013,50,0.2,35.9540524728702,5.177910114046492,35.70646589944931,50.038179343779575,25.183436097860636
F92013,50,0.3,35.95405185868092,5.177910622009092,35.70646589928117,50.03817934075869,25.18343609331646
F92013,50,0.4,35.95405165044237,5.177910580405329,35.706465898256965,50.03817934047072,25.18343609315798
F92013,50,0.5,35.95405164667224,5.177910581955758,35.70646589829403,50.03817934037829,25.183436093125238
F92013,50,0.6,35.95405164620618,5.17791058203794,35.70646589800526,50.03817934036829,25.183436093236878
F92013,50,0.7,35.95405164582825,5.177910581550105,35.7064658981144,50.038179340288934,25.183436092964598
F92013,50,0.8,35.954051645764025,5.17791058156095,35.706465898250826,50.038179340245506,25.183436092910142
F92013,50,0.9,35.95405164573796,5.177910581557219,35.70646589797411,50.0381793401757,25.183436092880356
F92013,50,1.0,35.954051645692964,5.177910581580008,35.706465897922385,50.038179340184,25.18343609286967
