function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,47959.400992018825,75117.48351509284,21032.133564727046,412369.18837572215,4817.146036234041
F32013,10,0.1,0,0,0,0,0
F32013,10,0.2,0,0,0,0,0
F32013,10,0.3,0,0,0,0,0
F32013,10,0.4,0,0,0,0,0
F32013,10,0.5,0,0,0,0,0
F32013,10,0.6,0,0,0,0,0
F32013,10,0.7,0,0,0,0,0
F32013,10,0.8,0,0,0,0,0
F32013,10,0.9,0,0,0,0,0
F32013,10,1.0,0,0,0,0,0
F32013,30,0.01,845818.0637766506,1493180.969436266,467650.9650819329,10449995.791056864,40394.08165552587
F32013,30,0.1,0.09598710222880803,0.28513874531457667,1.5682994671806227e-05,1.638315890315198,0
F32013,30,0.2,0,0,0,0,0
F32013,30,0.3,0,0,0,0,0
F32013,30,0.4,0,0,0,0,0
F32013,30,0.5,0,0,0,0,0
F32013,30,0.6,0,0,0,0,0
F32013,30,0.7,0,0,0,0,0
F32013,30,0.8,0,0,0,0,0
F32013,30,0.9,0,0,0,0,0
F32013,30,1.0,0,0,0,0,0
F32013,50,0.01,1732867.8135584686,3880409.098513811,552936.0286333777,25911664.919676803,51213.99965008844
F32013,50,0.1,2.659685306674111,10.99585270709603,0.0035703850567188056,74.50601287022982,0
F32013,50,0.2,0.0003109861608360613,0.0021813672571298856,0,0.01573509405443474,0
F32013,50,0.3,0,0,0,0,0
F32013,50,0.4,0,0,0,0,0
F32013,50,0.5,0,0,0,0,0
F32013,50,0.6,0,0,0,0,0
F32013,50,0.7,0,0,0,0,0
F32013,50,0.8,0,0,0,0,0
F32013,50,0.9,0,0,0,0,0
F32013,50,1.0,0,0,0,0,0
