function,dimension,run,checkpoint,error
F82013,10,0,0.01,[20.706590506816383]
F82013,10,0,0.1,[0]
F82013,10,0,0.2,[0]
F82013,10,0,0.3,[0]
F82013,10,0,0.4,[0]
F82013,10,0,0.5,[0]
F82013,10,0,0.6,[0]
F82013,10,0,0.7,[0]
F82013,10,0,0.8,[0]
F82013,10,0,0.9,[0]
F82013,10,0,1.0,[0]
F82013,10,1,0.01,[20.849288162604466]
F82013,10,1,0.1,[0]
F82013,10,1,0.2,[0]
F82013,10,1,0.3,[0]
F82013,10,1,0.4,[0]
F82013,10,1,0.5,[0]
F82013,10,1,0.6,[0]
F82013,10,1,0.7,[0]
F82013,10,1,0.8,[0]
F82013,10,1,0.9,[0]
F82013,10,1,1.0,[0]
F82013,10,2,0.01,[20.779061867792052]
F82013,10,2,0.1,[0]
F82013,10,2,0.2,[0]
F82013,10,2,0.3,[0]
F82013,10,2,0.4,[0]
F82013,10,2,0.5,[0]
F82013,10,2,0.6,[0]
F82013,10,2,0.7,[0]
F82013,10,2,0.8,[0]
F82013,10,2,0.9,[0]
F82013,10,2,1.0,[0]
F82013,10,3,0.01,[20.945375337231212]
F82013,10,3,0.1,[0]
F82013,10,3,0.2,[0]
F82013,10,3,0.3,[0]
F82013,10,3,0.4,[0]
F82013,10,3,0.5,[0]
F82013,10,3,0.6,[0]
F82013,10,3,0.7,[0]
F82013,10,3,0.8,[0]
F82013,10,3,0.9,[0]
F82013,10,3,1.0,[0]
F82013,10,4,0.01,[20.824474605750083]
F82013,10,4,0.1,[0]
F82013,10,4,0.2,[0]
F82013,10,4,0.3,[0]
F82013,10,4,0.4,[0]
F82013,10,4,0.5,[0]
F82013,10,4,0.6,[0]
F82013,10,4,0.7,[0]
F82013,10,4,0.8,[0]
F82013,10,4,0.9,[0]
F82013,10,4,1.0,[0]
F82013,10,5,0.01,[20.790509764792546]
F82013,10,5,0.1,[0]
F82013,10,5,0.2,[0]
F82013,10,5,0.3,[0]
F82013,10,5,0.4,[0]
F82013,10,5,0.5,[0]
F82013,10,5,0.6,[0]
F82013,10,5,0.7,[0]
F82013,10,5,0.8,[0]
F82013,10,5,0.9,[0]
F82013,10,5,1.0,[0]
F82013,10,6,0.01,[20.77824252809978]
F82013,10,6,0.1,[20.383687372227087]
F82013,10,6,0.2,[0]
F82013,10,6,0.3,[0]
F82013,10,6,0.4,[0]
F82013,10,6,0.5,[0]
F82013,10,6,0.6,[0]
F82013,10,6,0.7,[0]
F82013,10,6,0.8,[0]
F82013,10,6,0.9,[0]
F82013,10,6,1.0,[0]
F82013,10,7,0.01,[20.9039858822307]
F82013,10,7,0.1,[20.53107864625781]
F82013,10,7,0.2,[0]
F82013,10,7,0.3,[0]
F82013,10,7,0.4,[0]
F82013,10,7,0.5,[0]
F82013,10,7,0.6,[0]
F82013,10,7,0.7,[0]
F82013,10,7,0.8,[0]
F82013,10,7,0.9,[0]
F82013,10,7,1.0,[0]
F82013,10,8,0.01,[20.7046359410798]
F82013,10,8,0.1,[0]
F82013,10,8,0.2,[0]
F82013,10,8,0.3,[0]
F82013,10,8,0.4,[0]
F82013,10,8,0.5,[0]
F82013,10,8,0.6,[0]
F82013,10,8,0.7,[0]
F82013,10,8,0.8,[0]
F82013,10,8,0.9,[0]
F82013,10,8,1.0,[0]
F82013,10,9,0.01,[20.821869296275054]
F82013,10,9,0.1,[0]
F82013,10,9,0.2,[0]
F82013,10,9,0.3,[0]
F82013,10,9,0.4,[0]
F82013,10,9,0.5,[0]
F82013,10,9,0.6,[0]
F82013,10,9,0.7,[0]
F82013,10,9,0.8,[0]
F82013,10,9,0.9,[0]
F82013,10,9,1.0,[0]
F82013,10,10,0.01,[20.670386710210437]
F82013,10,10,0.1,[0]
F82013,10,10,0.2,[0]
F82013,10,10,0.3,[0]
F82013,10,10,0.4,[0]
F82013,10,10,0.5,[0]
F82013,10,10,0.6,[0]
F82013,10,10,0.7,[0]
F82013,10,10,0.8,[0]
F82013,10,10,0.9,[0]
F82013,10,10,1.0,[0]
F82013,10,11,0.01,[20.70943493877826]
F82013,10,11,0.1,[0]
F82013,10,11,0.2,[0]
F82013,10,11,0.3,[0]
F82013,10,11,0.4,[0]
F82013,10,11,0.5,[0]
F82013,10,11,0.6,[0]
F82013,10,11,0.7,[0]
F82013,10,11,0.8,[0]
F82013,10,11,0.9,[0]
F82013,10,11,1.0,[0]
F82013,10,12,0.01,[20.74926357198808]
F82013,10,12,0.1,[20.494468572646042]
F82013,10,12,0.2,[0]
F82013,10,12,0.3,[0]
F82013,10,12,0.4,[0]
F82013,10,12,0.5,[0]
F82013,10,12,0.6,[0]
F82013,10,12,0.7,[0]
F82013,10,12,0.8,[0]
F82013,10,12,0.9,[0]
F82013,10,12,1.0,[0]
F82013,10,13,0.01,[20.785539482735885]
F82013,10,13,0.1,[0]
F82013,10,13,0.2,[0]
F82013,10,13,0.3,[0]
F82013,10,13,0.4,[0]
F82013,10,13,0.5,[0]
F82013,10,13,0.6,[0]
F82013,10,13,0.7,[0]
F82013,10,13,0.8,[0]
F82013,10,13,0.9,[0]
F82013,10,13,1.0,[0]
F82013,10,14,0.01,[20.783300900379572]
F82013,10,14,0.1,[0]
F82013,10,14,0.2,[0]
F82013,10,14,0.3,[0]
F82013,10,14,0.4,[0]
F82013,10,14,0.5,[0]
F82013,10,14,0.6,[0]
F82013,10,14,0.7,[0]
F82013,10,14,0.8,[0]
F82013,10,14,0.9,[0]
F82013,10,14,1.0,[0]
F82013,10,15,0.01,[20.90281961308665]
F82013,10,15,0.1,[0]
F82013,10,15,0.2,[0]
F82013,10,15,0.3,[0]
F82013,10,15,0.4,[0]
F82013,10,15,0.5,[0]
F82013,10,15,0.6,[0]
F82013,10,15,0.7,[0]
F82013,10,15,0.8,[0]
F82013,10,15,0.9,[0]
F82013,10,15,1.0,[0]
F82013,10,16,0.01,[20.619555029391904]
F82013,10,16,0.1,[0]
F82013,10,16,0.2,[0]
F82013,10,16,0.3,[0]
F82013,10,16,0.4,[0]
F82013,10,16,0.5,[0]
F82013,10,16,0.6,[0]
F82013,10,16,0.7,[0]
F82013,10,16,0.8,[0]
F82013,10,16,0.9,[0]
F82013,10,16,1.0,[0]
F82013,10,17,0.01,[20.756052457667693]
F82013,10,17,0.1,[0]
F82013,10,17,0.2,[0]
F82013,10,17,0.3,[0]
F82013,10,17,0.4,[0]
F82013,10,17,0.5,[0]
F82013,10,17,0.6,[0]
F82013,10,17,0.7,[0]
F82013,10,17,0.8,[0]
F82013,10,17,0.9,[0]
F82013,10,17,1.0,[0]
F82013,10,18,0.01,[20.59157525431408]
F82013,10,18,0.1,[0]
F82013,10,18,0.2,[0]
F82013,10,18,0.3,[0]
F82013,10,18,0.4,[0]
F82013,10,18,0.5,[0]
F82013,10,18,0.6,[0]
F82013,10,18,0.7,[0]
F82013,10,18,0.8,[0]
F82013,10,18,0.9,[0]
F82013,10,18,1.0,[0]
F82013,10,19,0.01,[20.783862990096964]
F82013,10,19,0.1,[0]
F82013,10,19,0.2,[0]
F82013,10,19,0.3,[0]
F82013,10,19,0.4,[0]
F82013,10,19,0.5,[0]
F82013,10,19,0.6,[0]
F82013,10,19,0.7,[0]
F82013,10,19,0.8,[0]
F82013,10,19,0.9,[0]
F82013,10,19,1.0,[0]
F82013,10,20,0.01,[20.69497328657019]
F82013,10,20,0.1,[0]
F82013,10,20,0.2,[0]
F82013,10,20,0.3,[0]
F82013,10,20,0.4,[0]
F82013,10,20,0.5,[0]
F82013,10,20,0.6,[0]
F82013,10,20,0.7,[0]
F82013,10,20,0.8,[0]
F82013,10,20,0.9,[0]
F82013,10,20,1.0,[0]
F82013,10,21,0.01,[20.6598252037586]
F82013,10,21,0.1,[0]
F82013,10,21,0.2,[0]
F82013,10,21,0.3,[0]
F82013,10,21,0.4,[0]
F82013,10,21,0.5,[0]
F82013,10,21,0.6,[0]
F82013,10,21,0.7,[0]
F82013,10,21,0.8,[0]
F82013,10,21,0.9,[0]
F82013,10,21,1.0,[0]
F82013,10,22,0.01,[20.681748717707592]
F82013,10,22,0.1,[0]
F82013,10,22,0.2,[0]
F82013,10,22,0.3,[0]
F82013,10,22,0.4,[0]
F82013,10,22,0.5,[0]
