function,dimension,run,checkpoint,error
F52013,10,0,0.01,[124239.156383693]
F52013,10,0,0.1,[105763.35303311802]
F52013,10,0,0.2,[95756.47497220452]
F52013,10,0,0.3,[88644.90047090703]
F52013,10,0,0.4,[83005.81378543962]
F52013,10,0,0.5,[78306.28697352228]
F52013,10,0,0.6,[74260.3431536039]
F52013,10,0,0.7,[70699.3447049609]
F52013,10,0,0.8,[67525.03031924524]
F52013,10,0,0.9,[64659.144374061]
F52013,10,0,1.0,[62045.28787882129]
F52013,10,1,0.01,[467712.7052257862]
F52013,10,1,0.1,[402275.34140634513]
F52013,10,1,0.2,[366797.91137997364]
F52013,10,1,0.3,[341559.0004096716]
F52013,10,1,0.4,[321524.5810936157]
F52013,10,1,0.5,[304809.9234775454]
F52013,10,1,0.6,[290403.7106068137]
F52013,10,1,0.7,[277709.679628719]
F52013,10,1,0.8,[266380.83348406473]
F52013,10,1,0.9,[256140.55556805767]
F52013,10,1,1.0,[246789.484995513]
F52013,10,2,0.01,[2003133.8106619935]
F52013,10,2,0.1,[1843836.2904312923]
F52013,10,2,0.2,[1753545.7573486622]
F52013,10,2,0.3,[1687308.0016751573]
F52013,10,2,0.4,[1633384.6850769287]
F52013,10,2,0.5,[1587387.3441744652]
F52013,10,2,0.6,[1546936.45865523]
F52013,10,2,0.7,[1510622.1516452576]
F52013,10,2,0.8,[1477641.2442556997]
F52013,10,2,0.9,[1447331.7099386542]
F52013,10,2,1.0,[1419213.430350379]
F52013,10,3,0.01,[254640.81444788407]
F52013,10,3,0.1,[211590.53414535773]
F52013,10,3,0.2,[188790.0550692541]
F52013,10,3,0.3,[172829.9673503625]
F52013,10,3,0.4,[160328.48736977775]
F52013,10,3,0.5,[150019.9273343048]
F52013,10,3,0.6,[141229.03210657323]
F52013,10,3,0.7,[133558.9169305362]
F52013,10,3,0.8,[126776.73928235508]
F52013,10,3,0.9,[120699.72872005403]
F52013,10,3,1.0,[115196.63733137428]
F52013,10,4,0.01,[2127394.581696853]
F52013,10,4,0.1,[1956170.861368022]
F52013,10,4,0.2,[1859017.4601740662]
F52013,10,4,0.3,[1787704.1926295683]
F52013,10,4,0.4,[1729626.8192961412]
F52013,10,4,0.5,[1680072.4851937245]
F52013,10,4,0.6,[1636484.8068101068]
F52013,10,4,0.7,[1597348.7453854755]
F52013,10,4,0.8,[1561801.3511795397]
F52013,10,4,0.9,[1529130.8519443898]
F52013,10,4,1.0,[1498820.9349955379]
F52013,10,5,0.01,[288269.5596091557]
F52013,10,5,0.1,[255262.20661172166]
F52013,10,5,0.2,[236957.75926408026]
F52013,10,5,0.3,[223718.3619903856]
F52013,10,5,0.4,[213062.32579350137]
F52013,10,5,0.5,[204062.31052785652]
F52013,10,5,0.6,[196218.3535422902]
F52013,10,5,0.7,[189235.04523091798]
F52013,10,5,0.8,[182942.40874321017]
F52013,10,5,0.9,[177202.5447137864]
F52013,10,5,1.0,[171915.7358265664]
F52013,10,6,0.01,[472928.19423016376]
F52013,10,6,0.1,[428366.69815452344]
F52013,10,6,0.2,[403137.16964992334]
F52013,10,6,0.3,[384654.35324829654]
F52013,10,6,0.4,[369630.2268906653]
F52013,10,6,0.5,[356834.47628689033]
F52013,10,6,0.6,[345599.81298014853]
F52013,10,6,0.7,[335530.7011431]
F52013,10,6,0.8,[326401.27866010397]
F52013,10,6,0.9,[318025.68201902666]
F52013,10,6,1.0,[310269.10109676985]
F52013,10,7,0.01,[142534.89695760453]
F52013,10,7,0.1,[121681.77325388478]
F52013,10,7,0.2,[111004.26325766295]
F52013,10,7,0.3,[103654.84992870923]
F52013,10,7,0.4,[97956.28421979169]
F52013,10,7,0.5,[93287.16301629448]
F52013,10,7,0.6,[89320.63936178795]
F52013,10,7,0.7,[85866.61104242287]
F52013,10,7,0.8,[82814.05908642124]
F52013,10,7,0.9,[80077.20841099767]
F52013,10,7,1.0,[77594.97312420004]
F52013,10,8,0.01,[624959.1704081645]
F52013,10,8,0.1,[544953.442456476]
F52013,10,8,0.2,[501045.77519249305]
F52013,10,8,0.3,[469550.3523429172]
F52013,10,8,0.4,[444381.5904828575]
F52013,10,8,0.5,[423260.86328408174]
F52013,10,8,0.6,[404961.7545329898]
F52013,10,8,0.7,[388760.01620112313]
F52013,10,8,0.8,[374236.10954647243]
F52013,10,8,0.9,[361052.7574135833]
F52013,10,8,1.0,[348966.4422146526]
F52013,10,9,0.01,[447384.008717925]
F52013,10,9,0.1,[397743.2278391445]
F52013,10,9,0.2,[370491.9946955748]
F52013,10,9,0.3,[350891.923737725]
F52013,10,9,0.4,[335174.95188261755]
F52013,10,9,0.5,[321935.2502626365]
F52013,10,9,0.6,[310417.8304451687]
F52013,10,9,0.7,[300177.80416543386]
F52013,10,9,0.8,[290959.0523543022]
F52013,10,9,0.9,[282555.1075421213]
F52013,10,9,1.0,[274817.0507531395]
F52013,10,10,0.01,[459189.20648273913]
F52013,10,10,0.1,[394255.6036563414]
F52013,10,10,0.2,[359012.22615220625]
F52013,10,10,0.3,[333923.92185906647]
F52013,10,10,0.4,[314000.24803338107]
F52013,10,10,0.5,[297372.49457392556]
F52013,10,10,0.6,[283037.5644760565]
F52013,10,10,0.7,[270403.8957911671]
F52013,10,10,0.8,[259127.2663601827]
F52013,10,10,0.9,[248933.09228686697]
F52013,10,10,1.0,[239623.44247890246]
F52013,10,11,0.01,[69803.28513838226]
F52013,10,11,0.1,[55757.611508724985]
F52013,10,11,0.2,[48853.80711741362]
F52013,10,11,0.3,[44224.729440437804]
F52013,10,11,0.4,[40707.197384739615]
F52013,10,11,0.5,[37873.11002032489]
F52013,10,11,0.6,[35500.24452302413]
F52013,10,11,0.7,[33460.54978496224]
F52013,10,11,0.8,[31679.009263293818]
F52013,10,11,0.9,[30098.938954763504]
F52013,10,11,1.0,[28680.313182766997]
F52013,10,12,0.01,[73282.23522619855]
F52013,10,12,0.1,[61299.77283098391]
F52013,10,12,0.2,[55262.92775879469]
F52013,10,12,0.3,[51156.956340972174]
F52013,10,12,0.4,[48007.37602370202]
F52013,10,12,0.5,[45453.06881130975]
F52013,10,12,0.6,[43304.47665125799]
F52013,10,12,0.7,[41451.36000270757]
F52013,10,12,0.8,[39828.81709022257]
F52013,10,12,0.9,[38387.14499423683]
F52013,10,12,1.0,[37090.97015494412]
F52013,10,13,0.01,[71769.0744761855]
F52013,10,13,0.1,[60374.31096736274]
F52013,10,13,0.2,[54482.64505194404]
F52013,10,13,0.3,[50425.17710596122]
F52013,10,13,0.4,[47288.163883573056]
F52013,10,13,0.5,[44729.85736944087]
F52013,10,13,0.6,[42568.98524163296]
F52013,10,13,0.7,[40699.3621710321]
F52013,10,13,0.8,[39058.32376858642]
F52013,10,13,0.9,[37597.398034532634]
F52013,10,13,1.0,[36281.922225111164]
F52013,10,14,0.01,[146371.18372689476]
F52013,10,14,0.1,[117082.42420694491]
F52013,10,14,0.2,[102007.12916245933]
F52013,10,14,0.3,[91659.14821686612]
F52013,10,14,0.4,[83682.37115904213]
F52013,10,14,0.5,[77196.43409883825]
F52013,10,14,0.6,[71735.12363657865]
F52013,10,14,0.7,[67025.63239994878]
F52013,10,14,0.8,[62906.76910862141]
F52013,10,14,0.9,[59254.16852929916]
F52013,10,14,1.0,[55978.94604525372]
F52013,10,15,0.01,[793145.8508810769]
F52013,10,15,0.1,[728393.8967263242]
F52013,10,15,0.2,[691583.1980061306]
F52013,10,15,0.3,[664508.4203152915]
F52013,10,15,0.4,[642416.8264180097]
F52013,10,15,0.5,[623533.8004937756]
F52013,10,15,0.6,[606896.9533373727]
F52013,10,15,0.7,[591936.1600704264]
F52013,10,15,0.8,[578327.5972263118]
F52013,10,15,0.9,[565803.4675827813]
F52013,10,15,1.0,[554169.4945856635]
F52013,10,16,0.01,[225999.74824032024]
F52013,10,16,0.1,[198748.27665425386]
F52013,10,16,0.2,[183675.12558107104]
F52013,10,16,0.3,[172806.84204263226]
F52013,10,16,0.4,[164085.7669580233]
F52013,10,16,0.5,[156741.34595578816]
F52013,10,16,0.6,[150357.9856384386]
F52013,10,16,0.7,[144689.98786200574]
F52013,10,16,0.8,[139595.43938828417]
F52013,10,16,0.9,[134959.62511455707]
F52013,10,16,1.0,[130699.616466476]
F52013,10,17,0.01,[1444076.9014732894]
F52013,10,17,0.1,[1348191.7983931042]
F52013,10,17,0.2,[1293083.574687565]
F52013,10,17,0.3,[1252253.5903990378]
F52013,10,17,0.4,[1218741.0124800773]
F52013,10,17,0.5,[1189947.9876789183]
F52013,10,17,0.6,[1164461.9151004492]
F52013,10,17,0.7,[1141444.997895822]
F52013,10,17,0.8,[1120424.3805373288]
F52013,10,17,0.9,[1101005.478143962]
F52013,10,17,1.0,[1082901.604356268]
F52013,10,18,0.01,[192878.01006276062]
F52013,10,18,0.1,[164990.86993642786]
