function,dimensions,checkpoint,mean,std,median,max,min
F62013,10,0.01,7981.713013656617,7747.5534006022335,6460.559033924143,39568.28159433104,6.3468520994324535
F62013,10,0.1,1694.2581399348967,2121.158573436278,776.9169201460429,11112.812378059198,84.02675709399978
F62013,10,0.2,816.6632493225748,982.3028151544283,578.7501114078875,5221.165602958129,3.5442382092960543
F62013,10,0.3,612.7912184339133,530.390012952262,478.47484468512545,2903.2330428949404,29.90726823864054
F62013,10,0.4,570.1347548755497,329.8055444983678,541.1557518277177,1727.9567698180158,34.38122312014434
F62013,10,0.5,579.8549988488691,238.34123087197025,583.970541545526,1049.512732931077,44.54666744065196
F62013,10,0.6,593.4294042212435,225.936499085544,636.0683376474631,889.3778933527566,7.766521161696346
F62013,10,0.7,616.4980848323199,216.68739285093463,678.4916833160801,890.1874153683099,54.605072195339744
F62013,10,0.8,638.0118276672778,213.6930562727929,708.4426345842951,890.5708221579835,42.75694170495001
F62013,10,0.9,657.5644089977772,210.46636684952097,730.2317300081586,890.758600514044,7.5013502820305575
F62013,10,1.0,680.7845334231365,185.825269132459,741.3416344686959,890.85328901467,100.43120615365035
F62013,30,0.01,35119.16583611846,15873.91819967136,34645.26014233299,77166.71914422562,3818.933459895263
F62013,30,0.1,8175.0474527627175,4475.58363712835,7929.490285850339,21311.521965098986,2.1769668673904334
F62013,30,0.2,3848.077863896453,2325.322186252772,3678.338427717722,11131.021374067866,31.466707442641678
F62013,30,0.3,2219.303860878536,1468.5240598283883,2169.162635775928,7114.184806739047,113.19324330862355
F62013,30,0.4,1390.9829125537292,1030.4749900396307,1190.801571347798,4994.015334439733,2.0287497202526765
F62013,30,0.5,921.2006975685772,749.037844430517,700.8728507818307,3692.307804970529,40.30733109307255
F62013,30,0.6,635.721114911313,559.0132045983655,614.3754922511746,2821.9507228097273,9.19175144828273
F62013,30,0.7,469.03316315561545,418.0431700564855,395.5307726852549,2203.7621832567247,3.644908352347443
F62013,30,0.8,384.3913168105788,309.8880020387981,303.06837074067073,1746.7347442472837,20.439020210249964
F62013,30,0.9,331.2571960254738,258.86214163617876,262.0284130997452,1396.994722054491,1.718050450014971
F62013,30,1.0,316.5133365646316,229.5410645755323,300.96011308646723,1122.9561667081985,11.399456136338586
F62013,50,0.01,35165.523325428505,15291.774119484407,32104.440892311133,81365.62323467131,7640.473007192193
F62013,50,0.1,7359.445922972854,3772.0306206233563,6740.157225347064,18311.886932814574,645.9885846542352
F62013,50,0.2,3292.078640072895,1902.6727177725445,2888.9649056993017,8489.628031407256,30.293416810714803
F62013,50,0.3,1834.2560747199586,1177.9389581785292,1516.1836339450074,4987.109530781098,288.2432127700637
F62013,50,0.4,1106.079792110421,819.6906023090036,887.2439675044352,3261.1188348092437,37.64584515452361
F62013,50,0.5,690.0590702467443,604.8601179464599,497.18060795681436,2262.1748254241948,15.786512606629572
F62013,50,0.6,462.47222843250495,435.2079786494006,313.2935363607053,1622.52733220257,4.272709018111414
F62013,50,0.7,345.71156707996994,304.07968906155514,213.86446361377944,1185.2705570962103,2.5936584817666244
F62013,50,0.8,292.1492182371611,212.60451483250404,269.9250313183866,870.3930253342592,13.816879578434737
F62013,50,0.9,270.6853552364933,166.84206582837737,264.83118029561217,635.3197546940034,4.095566535890271
F62013,50,1.0,269.46563705908017,155.9108974197253,258.7297035028032,632.4831377511396,15.243385908317123
