function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,6.0852026119904e+27,2.5944576531753493e+28,1.411556471984761e+19,1.5828799277547109e+29,12668128345.968134
F32013,10,0.1,1.7345869499964965e+27,7.344261714458371e+27,3.0593862928511877e+18,4.445894412022313e+28,12256975373.494854
F32013,10,0.2,9.588103640109199e+26,4.05391845297451e+27,2.5857566935119017e+18,2.450609040335583e+28,11854277892.940996
F32013,10,0.3,6.602701392021676e+26,2.7900059503352627e+27,1.9251636249297792e+18,1.6856693645419713e+28,11498437458.858385
F32013,10,0.4,5.0245193093399235e+26,2.122401400404578e+27,1.4467241332086246e+18,1.2819618659441745e+28,11180746546.33211
F32013,10,0.5,4.0516526214483514e+26,1.711053849998596e+27,1.1563215167212165e+18,1.0333310568233273e+28,10895208643.634754
F32013,10,0.6,3.39182920780987e+26,1.4321568494406135e+27,9.614768811821946e+17,8.648069219734557e+27,10635954924.104345
F32013,10,0.7,2.914708506426305e+26,1.2305331162863924e+27,8.217263645686597e+17,7.430000041830466e+27,10398280945.192535
F32013,10,0.8,2.5545651763979502e+26,1.0783702628912801e+27,7.169185785081775e+17,6.510874190819166e+27,10179157529.683048
F32013,10,0.9,2.2728974109291903e+26,9.593734862326764e+26,6.353779558864671e+17,5.792167458597234e+27,9975366074.149746
F32013,10,1.0,2.0464091331559516e+26,8.636894867165796e+26,5.700987151093611e+17,5.21431676412899e+27,9784307331.137415
F32013,30,0.01,4.312949950798361e+37,3.0496829092976802e+38,2.1201865649577951e+24,2.1995809650180082e+39,7.656546376033854e+16
F32013,30,0.1,3.3559094310226706e+37,2.372958356710291e+38,4.471914793100156e+23,1.7114940397014817e+39,2.1057748536369616e+16
F32013,30,0.2,2.690572253937428e+37,1.902498134065633e+38,4.100255991721655e+23,1.3721750542312248e+39,1.268471836629802e+16
F32013,30,0.3,2.243800544932668e+37,1.586585946175939e+38,2.848430463888548e+23,1.1443236868344601e+39,9086358256944262.0
F32013,30,0.4,1.9238219667343542e+37,1.3603293207060555e+38,2.2311657783960497e+23,9.811363069024404e+38,7072575717829687.0
F32013,30,0.5,1.682998870862712e+37,1.1900435802717544e+38,1.8629988107924676e+23,8.583178741501579e+38,5782007626136136.0
F32013,30,0.6,1.4955963982810229e+37,1.057531566290594e+38,1.6166362641013924e+23,7.627437057554797e+38,4886193397257399.0
F32013,30,0.7,1.345356150068771e+37,9.512969494811715e+37,1.4375847307401258e+23,6.861220853357625e+38,4227129623549297.0
F32013,30,0.8,1.2224801239244498e+37,8.644115558890423e+37,1.3000925293523465e+23,6.234560740836985e+38,3723105267572463.5
F32013,30,0.9,1.1199298057752874e+37,7.918984512119477e+37,1.189822857870429e+23,5.711560628640376e+38,3324577431830533.0
F32013,30,1.0,1.0332280260206861e+37,7.305918287948057e+37,1.0988607845306253e+23,5.2693871662712346e+38,3002301983639348.0
F32013,50,0.01,1.8974340022837761e+28,8.147595286802468e+28,1.5420966737578146e+22,4.784710152976494e+29,4396897835352828.0
F32013,50,0.1,1.896089863735005e+28,8.142172610478627e+28,4.4847582139715237e+21,4.781283695272642e+29,694213868929157.9
F32013,50,0.2,1.8947241640480975e+28,8.136120861975957e+28,2.5126920348003677e+21,4.777478693379898e+29,401905174158999.44
F32013,50,0.3,1.8933637141734543e+28,8.130083981004069e+28,2.0366587539978647e+21,4.7736836203207555e+29,286800123467418.44
F32013,50,0.4,1.8920046977385058e+28,8.12404961179964e+28,2.0354168174685496e+21,4.76989056403549e+29,223193396029434.2
F32013,50,0.5,1.8906495893073551e+28,8.118030360396097e+28,2.0341777572298435e+21,4.7661073963387155e+29,182606287673819.12
F32013,50,0.6,1.8892954029149815e+28,8.1120137169632e+28,2.0329389917065002e+21,4.762326229856807e+29,154355575679038.4
F32013,50,0.7,1.8879448535114492e+28,8.106012192047527e+28,2.0317030927196427e+21,4.758554911454036e+29,133592539727754.86
F32013,50,0.8,1.8865950630522706e+28,8.100013290448568e+28,2.030467484878497e+21,4.754785578901584e+29,117664861838285.81
F32013,50,0.9,1.8852487897702922e+28,8.094029473961711e+28,2.0292347339375216e+21,4.751026054735468e+29,105089274360190.58
F32013,50,1.0,1.8839031960569747e+28,8.088048277080798e+28,2.0280022716553188e+21,4.747268501275644e+29,94894395088015.44
