function,dimension,run,checkpoint,error
F52013,10,0,0.01,[983.2675008786467]
F52013,10,0,0.1,[987.6586745829745]
F52013,10,0,0.2,[985.284977645791]
F52013,10,0,0.3,[988.6023142013388]
F52013,10,0,0.4,[988.9063107561653]
F52013,10,0,0.5,[989.0644330481448]
F52013,10,0,0.6,[989.1816061056418]
F52013,10,0,0.7,[989.2599494762715]
F52013,10,0,0.8,[989.3171825110988]
F52013,10,0,0.9,[989.3664921278809]
F52013,10,0,1.0,[989.4049730660047]
F52013,10,1,0.01,[982.8245096913552]
F52013,10,1,0.1,[988.2220712123578]
F52013,10,1,0.2,[988.7588588380418]
F52013,10,1,0.3,[988.9909306624902]
F52013,10,1,0.4,[989.1279236224698]
F52013,10,1,0.5,[989.2214715917532]
F52013,10,1,0.6,[989.2895567977763]
F52013,10,1,0.7,[989.3427038565982]
F52013,10,1,0.8,[989.3856818816347]
F52013,10,1,0.9,[989.4208851796213]
F52013,10,1,1.0,[989.4509117936419]
F52013,10,2,0.01,[984.133230899865]
F52013,10,2,0.1,[988.2527440474249]
F52013,10,2,0.2,[988.7665670019948]
F52013,10,2,0.3,[986.760671368154]
F52013,10,2,0.4,[988.5976481017552]
F52013,10,2,0.5,[988.9340836550213]
F52013,10,2,0.6,[989.1013629158278]
F52013,10,2,0.7,[989.2026420562181]
F52013,10,2,0.8,[989.2699950562435]
F52013,10,2,0.9,[989.3318745506506]
F52013,10,2,1.0,[989.3767553503181]
F52013,10,3,0.01,[956.9318468939838]
F52013,10,3,0.1,[988.0928330978837]
F52013,10,3,0.2,[988.7165534617942]
F52013,10,3,0.3,[988.968539495473]
F52013,10,3,0.4,[989.1139146276645]
F52013,10,3,0.5,[989.2110283733113]
F52013,10,3,0.6,[989.2818741937557]
F52013,10,3,0.7,[989.3366964158521]
F52013,10,3,0.8,[989.3804110020842]
F52013,10,3,0.9,[989.4168083135893]
F52013,10,3,1.0,[989.4472427346628]
F52013,10,4,0.01,[983.0347584509344]
F52013,10,4,0.1,[987.8737703952153]
F52013,10,4,0.2,[987.1851968530015]
F52013,10,4,0.3,[988.6788317334389]
F52013,10,4,0.4,[988.94220359582]
F52013,10,4,0.5,[989.0853067531547]
F52013,10,4,0.6,[989.1966564323794]
F52013,10,4,0.7,[989.2708330800684]
F52013,10,4,0.8,[989.3258981695267]
F52013,10,4,0.9,[989.3732189939965]
F52013,10,4,1.0,[989.4105859485314]
F52013,10,5,0.01,[977.138402376081]
F52013,10,5,0.1,[988.122806331356]
F52013,10,5,0.2,[983.0856398768292]
F52013,10,5,0.3,[988.6631192533603]
F52013,10,5,0.4,[988.9193169914528]
F52013,10,5,0.5,[989.0817694737374]
F52013,10,5,0.6,[989.1889741028572]
F52013,10,5,0.7,[989.2654409123003]
F52013,10,5,0.8,[989.3238222579654]
F52013,10,5,0.9,[989.3698294720756]
F52013,10,5,1.0,[989.4079974931424]
F52013,10,6,0.01,[979.0132944909161]
F52013,10,6,0.1,[988.01981125029]
F52013,10,6,0.2,[988.6937641705666]
F52013,10,6,0.3,[979.3704467933021]
F52013,10,6,0.4,[988.6179863573212]
F52013,10,6,0.5,[989.0262542244436]
F52013,10,6,0.6,[989.1361143210448]
F52013,10,6,0.7,[989.2285132124128]
F52013,10,6,0.8,[989.2960367383663]
F52013,10,6,0.9,[989.3475852103786]
F52013,10,6,1.0,[989.3893931193606]
F52013,10,7,0.01,[977.5818578489045]
F52013,10,7,0.1,[988.1410533979579]
F52013,10,7,0.2,[980.5090701447608]
F52013,10,7,0.3,[988.6266867618372]
