function,dimension,run,checkpoint,error
F52013,10,0,0.01,"[13999.205542735035, 0.02776360511779785]"
F52013,10,0,0.1,"[57.29796723444667, 0.27222347259521484]"
F52013,10,0,0.2,"[7.750060847159261, 0.5434074401855469]"
F52013,10,0,0.3,"[2.3486186912614357, 0.8124346733093262]"
F52013,10,0,0.4,"[1.0043525769348207, 1.082925796508789]"
F52013,10,0,0.5,"[0.5244928253645185, 1.350829839706421]"
F52013,10,0,0.6,"[0.31378371753248757, 1.6182911396026611]"
F52013,10,0,0.7,"[0.2079754000195635, 1.887075662612915]"
F52013,10,0,0.8,"[0.14951207957278712, 2.1562559604644775]"
F52013,10,0,0.9,"[0.1144828663257158, 2.4247663021087646]"
F52013,10,0,1.0,"[0.09201865807176546, 2.6937835216522217]"
F52013,10,1,0.01,"[58221.48799579677, 0.027605772018432617]"
F52013,10,1,0.1,"[452.78223120968926, 0.2721858024597168]"
F52013,10,1,0.2,"[53.613713618193174, 0.543527364730835]"
F52013,10,1,0.3,"[14.224684940251223, 0.8127579689025879]"
F52013,10,1,0.4,"[5.412634247507185, 1.0827643871307373]"
F52013,10,1,0.5,"[2.5355898539538657, 1.350348949432373]"
F52013,10,1,0.6,"[1.359192852980641, 1.6183888912200928]"
F52013,10,1,0.7,"[0.8023922091183522, 1.8874733448028564]"
F52013,10,1,0.8,"[0.5099426631327333, 2.157235622406006]"
F52013,10,1,0.9,"[0.34435674117958115, 2.4266397953033447]"
F52013,10,1,1.0,"[0.2449009030584648, 2.696042060852051]"
F52013,10,2,0.01,"[10147.571892896216, 0.027466297149658203]"
F52013,10,2,0.1,"[24.690471614149487, 0.2695343494415283]"
F52013,10,2,0.2,"[2.494314218075715, 0.5385603904724121]"
F52013,10,2,0.3,"[0.6683757345565482, 0.8067679405212402]"
F52013,10,2,0.4,"[0.2813370696551374, 1.0760838985443115]"
F52013,10,2,0.5,"[0.15847599620485653, 1.3414673805236816]"
F52013,10,2,0.6,"[0.10732710218258035, 1.6073012351989746]"
F52013,10,2,0.7,"[0.08131004499182382, 1.873453140258789]"
F52013,10,2,0.8,"[0.06606914447161216, 2.1386144161224365]"
F52013,10,2,0.9,"[0.03900784801874124, 2.403582811355591]"
F52013,10,2,1.0,"[0.03900784801874124, 2.6687934398651123]"
F52013,10,3,0.01,"[24481.15545054502, 0.02740478515625]"
F52013,10,3,0.1,"[112.5906209988882, 0.26936864852905273]"
F52013,10,3,0.2,"[12.142624071030127, 0.5371580123901367]"
F52013,10,3,0.3,"[3.1129042840044576, 0.8044509887695312]"
F52013,10,3,0.4,"[1.1689321752542128, 1.075127363204956]"
F52013,10,3,0.5,"[0.5508863608122283, 1.3436155319213867]"
F52013,10,3,0.6,"[0.30504194635693693, 1.6122212409973145]"
F52013,10,3,0.7,"[0.19195731056038312, 1.8814218044281006]"
F52013,10,3,0.8,"[0.13395445052822197, 2.1493310928344727]"
F52013,10,3,0.9,"[0.10114309074299399, 2.4171340465545654]"
F52013,10,3,1.0,"[0.08093841874062946, 2.6869211196899414]"
F52013,10,4,0.01,"[76482.37274426779, 0.027860164642333984]"
F52013,10,4,0.1,"[605.8670490049712, 0.2725338935852051]"
F52013,10,4,0.2,"[89.3390459003549, 0.5437400341033936]"
F52013,10,4,0.3,"[27.926612016368267, 0.8132867813110352]"
F52013,10,4,0.4,"[12.076374417371767, 1.0855133533477783]"
F52013,10,4,0.5,"[6.275532924726463, 1.355254888534546]"
F52013,10,4,0.6,"[3.666516799585679, 1.6239709854125977]"
F52013,10,4,0.7,"[2.323471387649306, 1.8929460048675537]"
F52013,10,4,0.8,"[1.5649057917248683, 2.1618404388427734]"
F52013,10,4,0.9,"[1.104239628747905, 2.431335210800171]"
F52013,10,4,1.0,"[0.8084048803422093, 2.7010436058044434]"
F52013,10,5,0.01,"[88502.23479868556, 0.027574777603149414]"
F52013,10,5,0.1,"[792.4102988327486, 0.2704651355743408]"
F52013,10,5,0.2,"[120.47824874135256, 0.5401639938354492]"
F52013,10,5,0.3,"[38.218269559588066, 0.8088929653167725]"
F52013,10,5,0.4,"[16.678039963074525, 1.0799758434295654]"
F52013,10,5,0.5,"[8.72271237876464, 1.3485262393951416]"
F52013,10,5,0.6,"[5.12044772050433, 1.6168384552001953]"
F52013,10,5,0.7,"[3.2566055994863063, 1.8892314434051514]"
F52013,10,5,0.8,"[2.199380307801789, 2.157888412475586]"
F52013,10,5,0.9,"[1.5550271361606747, 2.4311459064483643]"
F52013,10,5,1.0,"[1.139837503298395, 2.6991655826568604]"
F52013,10,6,0.01,"[959.0674170144947, 0.027530670166015625]"
F52013,10,6,0.1,"[0.4715813712829231, 0.269397497177124]"
F52013,10,6,0.2,"[0.11630619394759378, 0.537785530090332]"
F52013,10,6,0.3,"[0.07382515754181895, 0.8058457374572754]"
F52013,10,6,0.4,"[0.05734448959879046, 1.0757472515106201]"
F52013,10,6,0.5,"[0.04827739830898281, 1.3437535762786865]"
F52013,10,6,0.6,"[0.04239828344680063, 1.611647129058838]"
F52013,10,6,0.7,"[0.03820546004305925, 1.8797593116760254]"
F52013,10,6,0.8,"[0.035035050530154876, 2.1481826305389404]"
F52013,10,6,0.9,"[0.03253272328640833, 2.416234254837036]"
F52013,10,6,1.0,"[0.030490394592106895, 2.684272050857544]"
F52013,10,7,0.01,"[1004.0343400849796, 0.027420520782470703]"
F52013,10,7,0.1,"[0.32405392644557196, 0.2699310779571533]"
F52013,10,7,0.2,"[0.09904437203829275, 0.5383138656616211]"
F52013,10,7,0.3,"[0.06710010057304316, 0.8064723014831543]"
F52013,10,7,0.4,"[0.0535550796712414, 1.0775861740112305]"
F52013,10,7,0.5,"[0.045762978888660655, 1.346632480621338]"
F52013,10,7,0.6,"[0.04056742334478258, 1.6145713329315186]"
F52013,10,7,0.7,"[0.03679400036332936, 1.8827450275421143]"
F52013,10,7,0.8,"[0.03390383179134915, 2.150874137878418]"
F52013,10,7,0.9,"[0.03159574535743559, 2.4183847904205322]"
F52013,10,7,1.0,"[0.029698154296283974, 2.68613338470459]"
F52013,10,8,0.01,"[6233.508849430371, 0.03288745880126953]"
F52013,10,8,0.1,"[9.046398231055832, 0.32433080673217773]"
F52013,10,8,0.2,"[0.5757261680697638, 0.6471667289733887]"
F52013,10,8,0.3,"[0.16197883586971784, 0.9695358276367188]"
F52013,10,8,0.4,"[0.0921235223659096, 1.2937402725219727]"
F52013,10,8,0.5,"[0.06731829580303383, 1.616459608078003]"
F52013,10,8,0.6,"[0.05467773808845777, 1.939352035522461]"
F52013,10,8,0.7,"[0.046915905652099354, 2.2628064155578613]"
F52013,10,8,0.8,"[0.04161229804003597, 2.585286855697632]"
F52013,10,8,0.9,"[0.03771908765270382, 2.9066848754882812]"
F52013,10,8,1.0,"[0.0347115360028738, 3.2283082008361816]"
F52013,10,9,0.01,"[1221.4233654140874, 0.027525901794433594]"
F52013,10,9,0.1,"[1.7944980425286303, 0.27067136764526367]"
F52013,10,9,0.2,"[0.2601948367167779, 0.5407779216766357]"
F52013,10,9,0.3,"[0.1144976895320724, 0.8097200393676758]"
F52013,10,9,0.4,"[0.08408459813347235, 1.0798695087432861]"
F52013,10,9,0.5,"[0.06422985368783429, 1.348127841949463]"
F52013,10,9,0.6,"[0.05328740072354776, 1.615945816040039]"
F52013,10,9,0.7,"[0.04624490415517357, 1.8840281963348389]"
F52013,10,9,0.8,"[0.041291431121749156, 2.1522216796875]"
F52013,10,9,0.9,"[0.03758128019342166, 2.4204607009887695]"
F52013,10,9,1.0,"[0.034678305909892515, 2.687908411026001]"
F52013,10,10,0.01,"[117345.23944940753, 0.02761054039001465]"
F52013,10,10,0.1,"[1467.4959344649074, 0.27141237258911133]"
F52013,10,10,0.2,"[191.39270455755968, 0.5414330959320068]"
F52013,10,10,0.3,"[52.781801365036245, 0.810906171798706]"
F52013,10,10,0.4,"[20.5051342513716, 1.081543207168579]"
F52013,10,10,0.5,"[9.725906175796922, 1.349555253982544]"
F52013,10,10,0.6,"[5.249964873529393, 1.6184563636779785]"
F52013,10,10,0.7,"[3.102612545742545, 1.8892016410827637]"
F52013,10,10,0.8,"[1.9637355647670347, 2.1582071781158447]"
F52013,10,10,0.9,"[1.3101864960832472, 2.4264538288116455]"
F52013,10,10,1.0,"[0.9116115422983739, 2.6955299377441406]"
F52013,10,11,0.01,"[10872.803707846104, 0.027597427368164062]"
F52013,10,11,0.1,"[30.66655350354165, 0.2702450752258301]"
F52013,10,11,0.2,"[3.459172435250707, 0.5397450923919678]"
F52013,10,11,0.3,"[0.9712736554440653, 0.8083019256591797]"
F52013,10,11,0.4,"[0.4079993618466915, 1.0793938636779785]"
F52013,10,11,0.5,"[0.22064876643128173, 1.3488962650299072]"
F52013,10,11,0.6,"[0.14202363653748762, 1.6176655292510986]"
F52013,10,11,0.7,"[0.1028639972774954, 1.887430191040039]"
F52013,10,11,0.8,"[0.0806529992880769, 2.15694522857666]"
F52013,10,11,0.9,"[0.06669110331358752, 2.426053285598755]"
F52013,10,11,1.0,"[0.05720852644401475, 2.696608066558838]"
F52013,10,12,0.01,"[999.6169383111945, 0.02736210823059082]"
F52013,10,12,0.1,"[0.1345472200561062, 0.2699911594390869]"
F52013,10,12,0.2,"[0.07288282788897504, 0.5403048992156982]"
F52013,10,12,0.3,"[0.05577385343121932, 0.811741828918457]"
F52013,10,12,0.4,"[0.046886966375723205, 1.0844173431396484]"
F52013,10,12,0.5,"[0.04123316255095233, 1.353196382522583]"
F52013,10,12,0.6,"[0.0391196137334191, 1.6215531826019287]"
F52013,10,12,0.7,"[0.03495548265289017, 1.889080286026001]"
F52013,10,12,0.8,"[0.03495548265289017, 2.157691240310669]"
F52013,10,12,0.9,"[0.03240177774512176, 2.4255683422088623]"
F52013,10,12,1.0,"[0.03032003213218104, 2.692877769470215]"
F52013,10,13,0.01,"[591.8704244975628, 0.027461767196655273]"
F52013,10,13,0.1,"[0.1862264851542932, 0.27121996879577637]"
F52013,10,13,0.2,"[0.09029749156354683, 0.5411956310272217]"
F52013,10,13,0.3,"[0.0632073682754708, 0.8118743896484375]"
F52013,10,13,0.4,"[0.05125288794477001, 1.0851287841796875]"
F52013,10,13,0.5,"[0.04419444400730299, 1.3547887802124023]"
F52013,10,13,0.6,"[0.03941126900338077, 1.6217539310455322]"
F52013,10,13,0.7,"[0.03589451383754749, 1.889314889907837]"
F52013,10,13,0.8,"[0.03317535758355916, 2.1567344665527344]"
F52013,10,13,0.9,"[0.030992556282058104, 2.423471450805664]"
F52013,10,13,1.0,"[0.029186685077661423, 2.6899497509002686]"
F52013,10,14,0.01,"[32657.198739182328, 0.02748394012451172]"
F52013,10,14,0.1,"[158.7293736725926, 0.2707240581512451]"
F52013,10,14,0.2,"[20.407272300384875, 0.5409061908721924]"
F52013,10,14,0.3,"[5.955917530282932, 0.8090400695800781]"
F52013,10,14,0.4,"[2.4695446065740043, 1.0779969692230225]"
F52013,10,14,0.5,"[1.246296926024911, 1.3453733921051025]"
