function,dimensions,checkpoint,mean,std,median,max,min
F222013,10,0.01,5004.534569810779,585.2893838307774,4932.842639037785,6387.5064279872895,3847.023488118315
F222013,10,0.1,4691.496742045581,643.281384358785,4770.86435410287,5867.973532566556,3432.954003176281
F222013,10,0.2,4623.568331065207,672.9953314530687,4745.574614318163,5807.631946614678,3126.8599555433443
F222013,10,0.3,4614.200159946609,682.2729875649566,4717.523905782657,5837.1436767268015,3007.306508558065
F222013,10,0.4,4610.93585191998,682.2965003997621,4716.322111432585,5848.903567063062,3051.744676420269
F222013,10,0.5,4606.396876157569,683.4546958344736,4714.846058889426,5838.810337428804,3020.3816584674205
F222013,10,0.6,4604.522341006407,684.7288131084171,4716.068803007266,5823.164340771553,2998.2439543258374
F222013,10,0.7,4601.700214711908,685.9798302339957,4715.5481322582145,5836.070355615151,2990.251004021727
F222013,10,0.8,4599.758370799471,684.7030076593462,4715.409609433392,5803.52551863645,2987.074126716581
F222013,10,0.9,4598.144137603767,685.7143928281865,4715.3167924525,5834.936265760473,2987.242204657286
F222013,10,1.0,4597.398677839284,684.9029939668875,4715.146893087376,5812.212823392686,2983.525725077532
F222013,30,0.01,12722.795032405918,671.367673451971,12730.833489127777,14406.23094005637,11282.790553316121
F222013,30,0.1,11697.324376607272,778.7891030476559,11708.127356139523,13094.086907301778,9983.260761375854
F222013,30,0.2,11399.459075838948,782.7189761110078,11511.432012556164,12756.321817870306,9275.852744875769
F222013,30,0.3,11311.877253928275,810.9890989668107,11411.389408374935,12751.45635235819,9197.271057165732
F222013,30,0.4,11258.118300637116,818.6365296436195,11334.556273626366,12698.26884582519,9125.454586871865
F222013,30,0.5,11218.638964868176,823.8733993638464,11322.309958710153,12628.049461549179,9073.98466362249
F222013,30,0.6,11205.952477482786,824.1790478403583,11301.303110949499,12597.363613924366,9057.014561534828
F222013,30,0.7,11197.006661430416,825.8288044858523,11285.603053728244,12572.673295015582,9053.029072800839
F222013,30,0.8,11193.828880178771,827.6214912432495,11295.893849393613,12589.880923865712,9052.30995811595
F222013,30,0.9,11188.093200249716,827.2794236762563,11294.713476505673,12571.524121544042,9048.72050787537
F222013,30,1.0,11186.656686796037,827.3772778073583,11288.355830012957,12574.260011576416,9057.237553421843
F222013,50,0.01,19941.723584836553,860.6283585260896,19882.9806023535,22343.483887581107,18136.32458130478
F222013,50,0.1,18074.681279984827,561.2967426277474,18046.52615323535,19247.480270280987,17063.449967771485
F222013,50,0.2,17748.28757036266,616.7943129959084,17696.211517799864,19216.77748241931,16449.3189107589
F222013,50,0.3,17638.076154652073,635.0160259016201,17540.605551954533,19192.349491743797,16348.83263989861
F222013,50,0.4,17585.279928504886,646.7674581403191,17496.48693410573,19179.785482682684,16269.317383539317
F222013,50,0.5,17561.124594428176,649.7994761581521,17494.730460951483,19164.014125131394,16306.832815709975
F222013,50,0.6,17541.447687206586,652.9503298457556,17498.372845261012,19148.128853733095,16267.349184031795
F222013,50,0.7,17530.230974451883,655.8244327814049,17486.17728028254,19145.85744580287,16221.904292322295
F222013,50,0.8,17523.411068204936,653.7177411859307,17482.167440882833,19139.981352802813,16275.310718650915
F222013,50,0.9,17517.450681423055,654.5301686199924,17490.14782795846,19142.422660422286,16255.734743960995
F222013,50,1.0,17515.88621291137,657.2239714226481,17470.811662925313,19143.97876509379,16248.010993989039
