function,dimension,run,checkpoint,error
F242013,10,0,0.01,"[241.4215369275771, 0.569040060043335]"
F242013,10,0,0.1,"[232.4824665885369, 5.680336236953735]"
F242013,10,0,0.2,"[199.54164541418072, 11.328698873519897]"
F242013,10,0,0.3,"[154.1509997494545, 16.95423984527588]"
F242013,10,0,0.4,"[130.6382315957951, 22.595019340515137]"
F242013,10,0,0.5,"[114.87110030644135, 28.217729330062866]"
F242013,10,0,0.6,"[110.81429285457557, 33.86616587638855]"
F242013,10,0,0.7,"[108.41687731493516, 39.48702263832092]"
F242013,10,0,0.8,"[106.25757974758722, 45.10602355003357]"
F242013,10,0,0.9,"[104.9302121462481, 50.714017152786255]"
F242013,10,0,1.0,"[105.55474320431335, 56.32734251022339]"
F242013,10,1,0.01,"[335.8047461256713, 0.5731747150421143]"
F242013,10,1,0.1,"[244.1062989928546, 5.704726219177246]"
F242013,10,1,0.2,"[219.19214255196357, 11.35448670387268]"
F242013,10,1,0.3,"[161.14833636184312, 16.99752950668335]"
F242013,10,1,0.4,"[132.672761772287, 22.646857261657715]"
F242013,10,1,0.5,"[122.16541427256948, 28.282419443130493]"
F242013,10,1,0.6,"[114.59840834092938, 33.92738199234009]"
F242013,10,1,0.7,"[113.06906748910865, 39.56144690513611]"
F242013,10,1,0.8,"[111.34346948522148, 45.19005060195923]"
F242013,10,1,0.9,"[110.3163188099411, 50.82723546028137]"
F242013,10,1,1.0,"[109.93471470153236, 56.4660370349884]"
F242013,10,2,0.01,"[1225.6811582105188, 0.5722758769989014]"
F242013,10,2,0.1,"[343.68285766078816, 5.673112869262695]"
F242013,10,2,0.2,"[286.40961397025194, 11.328847408294678]"
F242013,10,2,0.3,"[273.45723112679934, 16.979063034057617]"
F242013,10,2,0.4,"[273.21283999547836, 22.63756036758423]"
F242013,10,2,0.5,"[275.98006358176076, 28.28555202484131]"
F242013,10,2,0.6,"[272.007049367327, 33.94256043434143]"
F242013,10,2,0.7,"[276.2164748555813, 39.602917432785034]"
F242013,10,2,0.8,"[283.29387786664324, 45.252623558044434]"
F242013,10,2,0.9,"[278.4879920665319, 50.91559958457947]"
