function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,7.971743785472921e+38,5.636869181536422e+39,4.5664778256013466e+20,4.0655858607791713e+40,35783523469560.46
F32013,10,0.1,6.307811949116066e+38,4.460292826527145e+39,3.553712901010544e+20,3.21698142320515e+40,27376900918883.746
F32013,10,0.2,5.521133238920353e+38,3.9040274950481416e+39,3.221944111192472e+20,2.815775648075567e+40,23532818845012.145
F32013,10,0.3,5.004740454286317e+38,3.538882990291238e+39,2.9946373502179574e+20,2.5524155648027185e+40,21061926801664.336
F32013,10,0.4,4.618948830753558e+38,3.2660873643076354e+39,2.8192739437320444e+20,2.3556620115564296e+40,19245643758795.875
F32013,10,0.5,4.311785908199854e+38,3.0488905736032545e+39,2.675935064620187e+20,2.1990090587719277e+40,17819010064853.465
F32013,10,0.6,4.057548850946075e+38,2.869117986196528e+39,2.5546039233409093e+20,2.0693482725726893e+40,16652027746699.62
F32013,10,0.7,3.84147867812108e+38,2.7163334365682533e+39,2.4494407812360965e+20,1.9591525797417933e+40,15670590750132.021
F32013,10,0.8,3.65426309521125e+38,2.5839521443520623e+39,2.3567087913437944e+20,1.8636727144844224e+40,14828256998491.031
F32013,10,0.9,3.489628802907984e+38,2.467538221241651e+39,2.240485560571783e+20,1.7797092971055179e+40,14093939737571.078
F32013,10,1.0,3.3431403118409083e+38,2.363955305562006e+39,2.134052261049793e+20,1.7050002301027214e+40,13445791621891.244
F32013,30,0.01,4.201905134737487e+32,1.1231394817096798e+33,3.6556286769468747e+27,5.004228742870131e+33,5.924111290048178e+21
F32013,30,0.1,2.8553596953812257e+32,7.614891201186002e+32,2.838103685396329e+27,3.210285893431914e+33,3.9298619911574263e+21
F32013,30,0.2,2.3159436171403564e+32,6.17736864131244e+32,2.4589915293720378e+27,2.617135153532134e+33,3.1666798972841634e+21
F32013,30,0.3,1.9935592237403535e+32,5.320656351576305e+32,2.2132991032067265e+27,2.3046118985291003e+33,2.719217846008052e+21
F32013,30,0.4,1.768453050599253e+32,4.723349289685441e+32,2.0316531436364385e+27,2.0795666016471095e+33,2.4102892386278756e+21
F32013,30,0.5,1.5982625584261756e+32,4.27209262117222e+32,1.8879882001396491e+27,1.9052987907521287e+33,2.1783587316982442e+21
F32013,30,0.6,1.4634662316039145e+32,3.91479750404802e+32,1.7698685547386926e+27,1.7645394803721197e+33,1.995499091296275e+21
F32013,30,0.7,1.3531839833071329e+32,3.622431528845279e+32,1.6700662825987387e+27,1.6474192990737205e+33,1.8463009140909817e+21
F32013,30,0.8,1.2608461901145579e+32,3.3775676934047654e+32,1.5841242828381392e+27,1.547918543133936e+33,1.7215975617192143e+21
F32013,30,0.9,1.1819045722837757e+32,3.1681961921834896e+32,1.5088211504411558e+27,1.4617827547528912e+33,1.6151288648820686e+21
F32013,30,1.0,1.1134936608261692e+32,2.9867115095000467e+32,1.442766266567674e+27,1.386301133324623e+33,1.5229382412559814e+21
F32013,50,0.01,1.4574982572326574e+37,8.738619200871146e+37,1.127885967073861e+27,6.272437057836514e+38,6.86136546755362e+18
F32013,50,0.1,8.467062234745501e+36,5.075968257342104e+37,6.417996322404294e+26,3.643837798187731e+38,4.190173983522181e+18
F32013,50,0.2,6.374226738209089e+36,3.8209258525269144e+37,4.784161362925439e+26,2.7430198030564236e+38,3.3446639577810104e+18
F32013,50,0.3,5.223871918386932e+36,3.13110044609327e+37,3.895263837174024e+26,2.2478633944516524e+38,2.8785813426526664e+18
F32013,50,0.4,4.467509702321339e+36,2.6775603591250746e+37,3.3149858879503185e+26,1.922300240811964e+38,2.56541340889926e+18
F32013,50,0.5,3.922155829684608e+36,2.3505646636924405e+37,2.8989124679043958e+26,1.687567424460363e+38,2.3333040313269883e+18
F32013,50,0.6,3.505846990746618e+36,2.1009571422296865e+37,2.5827351714543182e+26,1.5083834682456087e+38,2.1508857180804436e+18
F32013,50,0.7,3.176201309625014e+36,1.903319867933585e+37,2.3333382403576716e+26,1.3665044186536275e+38,2.0022098314390177e+18
F32013,50,0.8,2.9071059100930557e+36,1.7419923815363538e+37,2.1304280063771946e+26,1.2506895001360118e+38,1.8774111008026284e+18
F32013,50,0.9,2.683045921911849e+36,1.6076700744198473e+37,1.9619708683950593e+26,1.1542599665900155e+38,1.7706989227765059e+18
F32013,50,1.0,2.4930026467296072e+36,1.4937450275894892e+37,1.8194615089634435e+26,1.0724726056933312e+38,1.6778813810192218e+18
