function,dimension,run,checkpoint,error
F32013,10,0,0.01,[1.1252415614883614e+30]
F32013,10,0,0.1,[8.434393874613353e+29]
F32013,10,0,0.2,[7.174742186001067e+29]
F32013,10,0,0.3,[6.374790417205069e+29]
F32013,10,0,0.4,[5.791623985202046e+29]
F32013,10,0,0.5,[5.336434537033585e+29]
F32013,10,0,0.6,[4.965951598862981e+29]
F32013,10,0,0.7,[4.655655381545707e+29]
F32013,10,0,0.8,[4.3902599403461484e+29]
F32013,10,0,0.9,[4.159581171382594e+29]
F32013,10,0,1.0,[3.956492111862015e+29]
F32013,10,1,0.01,[5.862695816065057e+24]
F32013,10,1,0.1,[4.209877590841231e+24]
F32013,10,1,0.2,[3.539769929745794e+24]
F32013,10,1,0.3,[3.124854766348424e+24]
F32013,10,1,0.4,[2.8242298600938435e+24]
F32013,10,1,0.5,[2.590872746191605e+24]
F32013,10,1,0.6,[2.4018769364951607e+24]
F32013,10,1,0.7,[2.244284334426674e+24]
F32013,10,1,0.8,[2.1100351165334614e+24]
F32013,10,1,0.9,[1.9937728945641847e+24]
F32013,10,1,1.0,[1.8917587933070826e+24]
F32013,10,2,0.01,[3.679450117730023e+18]
F32013,10,2,0.1,[2.622734640592804e+18]
F32013,10,2,0.2,[2.1729906210723843e+18]
F32013,10,2,0.3,[1.8954505384024696e+18]
F32013,10,2,0.4,[1.6973552998938235e+18]
F32013,10,2,0.5,[1.545347081276098e+18]
F32013,10,2,0.6,[1.4233946772089057e+18]
F32013,10,2,0.7,[1.3225228994990477e+18]
F32013,10,2,0.8,[1.237196987822151e+18]
F32013,10,2,0.9,[1.1637658891790802e+18]
F32013,10,2,1.0,[1.0996978221999085e+18]
F32013,10,3,0.01,[1.503736373138177e+19]
F32013,10,3,0.1,[1.2813997053218222e+19]
F32013,10,3,0.2,[1.1688699396897946e+19]
F32013,10,3,0.3,[1.09120268449791e+19]
F32013,10,3,0.4,[1.0309204271637092e+19]
F32013,10,3,0.5,[9.814081127697537e+18]
F32013,10,3,0.6,[9.393272443118893e+18]
F32013,10,3,0.7,[9.02724567234783e+18]
F32013,10,3,0.8,[8.703464680853742e+18]
F32013,10,3,0.9,[8.413350691822586e+18]
F32013,10,3,1.0,[8.150748781908769e+18]
F32013,10,4,0.01,[1.5450429887840453e+32]
F32013,10,4,0.1,[1.17392316549211e+32]
F32013,10,4,0.2,[1.0056950121174033e+32]
F32013,10,4,0.3,[8.979827430257759e+31]
F32013,10,4,0.4,[8.189856720421404e+31]
F32013,10,4,0.5,[7.570244544044793e+31]
F32013,10,4,0.6,[7.063866494400656e+31]
F32013,10,4,0.7,[6.638242345786626e+31]
F32013,10,4,0.8,[6.273061477999604e+31]
F32013,10,4,0.9,[5.954754256210616e+31]
F32013,10,4,1.0,[5.673799906621462e+31]
F32013,10,5,0.01,[6.777808651389828e+27]
F32013,10,5,0.1,[4.998957180533144e+27]
F32013,10,5,0.2,[4.216916146753241e+27]
F32013,10,5,0.3,[3.725044325129225e+27]
F32013,10,5,0.4,[3.3689982750738084e+27]
F32013,10,5,0.5,[3.0926637062664276e+27]
F32013,10,5,0.6,[2.868826154668526e+27]
F32013,10,5,0.7,[2.6821270278704123e+27]
F32013,10,5,0.8,[2.5230265289102e+27]
