function,dimensions,checkpoint,mean,std,median,max,min
F12013,10,0.01,51729.08591623351,7752.124418661782,53667.11702089896,53667.11702089896,20720.58824158638
F12013,10,0.1,42241.51246603459,6682.075618522895,43912.03137066531,43912.03137066531,15513.209991943007
F12013,10,0.2,33313.20474014869,5503.893321773946,34689.178070592185,34689.178070592185,11297.631453052914
F12013,10,0.3,25834.35773407483,4402.885644204742,26935.079145126016,26935.079145126016,8222.815157255865
F12013,10,0.4,19590.740205017206,3415.1906469379533,20444.537866751692,20444.537866751692,5929.97761726539
F12013,10,0.5,14422.633293127972,2546.5819062599867,15059.278769692968,15059.278769692968,4236.3056680880245
F12013,10,0.6,10207.33067861307,1798.1629042251752,10656.871404669366,10656.871404669366,3014.679061712372
F12013,10,0.7,6899.438331517044,1216.3791716721094,7203.53312443507,7203.53312443507,2033.9216448286052
F12013,10,0.8,4385.021461702007,784.0683171309286,4581.0385409847395,4581.0385409847395,1248.748193178293
F12013,10,0.9,2588.4224118194265,482.6260712647258,2709.078929635608,2709.078929635608,657.918126760523
F12013,10,1.0,1396.1435551721743,284.2285956435394,1467.2007040830592,1467.2007040830592,259.22917259801693
F12013,30,0.01,186789.13072416748,21169.283355136573,181496.80988538338,271466.2641447138,181496.80988538338
F12013,30,0.1,103095.09700264948,14175.380131961265,99551.25196965915,159796.61753049452,99551.25196965915
F12013,30,0.2,44704.2465333396,8271.35316449186,42636.40824221664,77789.65919130704,42636.40824221664
F12013,30,0.3,14148.963557606914,3911.3002629021184,13171.138491881387,29794.16460921539,13171.138491881387
F12013,30,0.4,2391.6890706210565,1365.3122744930047,2050.3610019978055,7852.938168593076,2050.3610019978055
F12013,30,0.5,73.22440327008144,161.38390421881834,32.87842721537686,718.7600201453548,32.87842721537686
F12013,30,0.6,0,0,0,0,0
F12013,30,0.7,0,0,0,0,0
F12013,30,0.8,0,0,0,0,0
F12013,30,0.9,0,0,0,0,0
F12013,30,1.0,0,0,0,0,0
F12013,50,0.01,250369.66839123075,1470.860861068386,250737.38360649784,250737.38360649784,244486.2249469572
F12013,50,0.1,73724.37876149821,403.9467091531534,73825.3654387865,73825.3654387865,72108.5919248856
F12013,50,0.2,8798.092630790214,48.69850049853738,8810.267255914847,8810.267255914847,8603.298628796063
F12013,50,0.3,31.031956406195633,7.3858882656785525,32.87842847261527,32.87842847261527,1.4884033434814228
F12013,50,0.4,7.696873099656145e-08,0,7.58222995500546e-08,9.531163414067123e-08,7.58222995500546e-08
F12013,50,0.5,1.2617026774986536e-07,2.2319267479949357e-08,1.3175008461985271e-07,1.3175008461985271e-07,3.689319783006795e-08
F12013,50,0.6,1.803471952692181e-07,2.4948937660904932e-08,1.8658442968444433e-07,1.8658442968444433e-07,8.055144462559838e-08
F12013,50,0.7,4.7964583834126484e-08,0,4.831827027373947e-08,4.831827027373947e-08,4.2305600800318643e-08
F12013,50,0.8,2.7902254206470818e-08,0,2.7855321604874916e-08,2.8653175832005218e-08,2.7855321604874916e-08
F12013,50,0.9,3.834065864793956e-08,0,4.0736949813435785e-08,4.0736949813435785e-08,0
F12013,50,1.0,3.514801124658655e-08,0,3.7344761949498206e-08,3.7344761949498206e-08,0
