function,dimension,run,checkpoint,error
F12013,10,0,0.01,[53667.11702089896]
F12013,10,0,0.1,[43912.03137066531]
F12013,10,0,0.2,[34689.178070592185]
F12013,10,0,0.3,[26935.079145126016]
F12013,10,0,0.4,[20444.537866751692]
F12013,10,0,0.5,[15059.278769692968]
F12013,10,0,0.6,[10656.871404669366]
F12013,10,0,0.7,[7203.53312443507]
F12013,10,0,0.8,[4581.0385409847395]
F12013,10,0,0.9,[2709.078929635608]
F12013,10,0,1.0,[1467.2007040830592]
F12013,10,1,0.01,[53667.11702089896]
F12013,10,1,0.1,[43912.03137066531]
F12013,10,1,0.2,[34689.178070592185]
F12013,10,1,0.3,[26935.079145126016]
F12013,10,1,0.4,[20444.537866751692]
F12013,10,1,0.5,[15059.278769692968]
F12013,10,1,0.6,[10656.871404669366]
F12013,10,1,0.7,[7203.53312443507]
F12013,10,1,0.8,[4581.0385409847395]
F12013,10,1,0.9,[2709.078929635608]
F12013,10,1,1.0,[1467.2007040830592]
F12013,10,2,0.01,[53667.11702089896]
F12013,10,2,0.1,[43912.03137066531]
F12013,10,2,0.2,[34689.178070592185]
F12013,10,2,0.3,[26935.079145126016]
F12013,10,2,0.4,[20444.537866751692]
F12013,10,2,0.5,[15059.278769692968]
F12013,10,2,0.6,[10656.871404669366]
F12013,10,2,0.7,[7203.53312443507]
F12013,10,2,0.8,[4581.0385409847395]
F12013,10,2,0.9,[2709.078929635608]
F12013,10,2,1.0,[1467.2007040830592]
F12013,10,3,0.01,[53667.11702089896]
F12013,10,3,0.1,[43912.03137066531]
F12013,10,3,0.2,[34689.178070592185]
F12013,10,3,0.3,[26935.079145126016]
F12013,10,3,0.4,[20444.537866751692]
F12013,10,3,0.5,[15059.278769692968]
F12013,10,3,0.6,[10656.871404669366]
F12013,10,3,0.7,[7203.53312443507]
F12013,10,3,0.8,[4581.0385409847395]
F12013,10,3,0.9,[2709.078929635608]
F12013,10,3,1.0,[1467.2007040830592]
F12013,10,4,0.01,[53667.11702089896]
F12013,10,4,0.1,[43912.03137066531]
F12013,10,4,0.2,[34689.178070592185]
F12013,10,4,0.3,[26935.079145126016]
F12013,10,4,0.4,[20444.537866751692]
F12013,10,4,0.5,[15059.278769692968]
F12013,10,4,0.6,[10656.871404669366]
F12013,10,4,0.7,[7203.53312443507]
F12013,10,4,0.8,[4581.0385409847395]
F12013,10,4,0.9,[2709.078929635608]
F12013,10,4,1.0,[1467.2007040830592]
F12013,10,5,0.01,[53667.11702089896]
F12013,10,5,0.1,[43912.03137066531]
F12013,10,5,0.2,[34689.178070592185]
F12013,10,5,0.3,[26935.079145126016]
F12013,10,5,0.4,[20444.537866751692]
F12013,10,5,0.5,[15059.278769692968]
F12013,10,5,0.6,[10656.871404669366]
F12013,10,5,0.7,[7203.53312443507]
F12013,10,5,0.8,[4581.0385409847395]
F12013,10,5,0.9,[2709.078929635608]
F12013,10,5,1.0,[1467.2007040830592]
F12013,10,6,0.01,[53667.11702089896]
F12013,10,6,0.1,[43912.03137066531]
F12013,10,6,0.2,[34689.178070592185]
F12013,10,6,0.3,[26935.079145126016]
F12013,10,6,0.4,[20444.537866751692]
F12013,10,6,0.5,[15059.278769692968]
F12013,10,6,0.6,[10656.871404669366]
F12013,10,6,0.7,[7203.53312443507]
F12013,10,6,0.8,[4581.0385409847395]
F12013,10,6,0.9,[2709.078929635608]
F12013,10,6,1.0,[1467.2007040830592]
F12013,10,7,0.01,[53667.11702089896]
F12013,10,7,0.1,[43912.03137066531]
F12013,10,7,0.2,[34689.178070592185]
F12013,10,7,0.3,[26935.079145126016]
F12013,10,7,0.4,[20444.537866751692]
F12013,10,7,0.5,[15059.278769692968]
F12013,10,7,0.6,[10656.871404669366]
F12013,10,7,0.7,[7203.53312443507]
F12013,10,7,0.8,[4581.0385409847395]
F12013,10,7,0.9,[2709.078929635608]
F12013,10,7,1.0,[1467.2007040830592]
F12013,10,8,0.01,[53667.11702089896]
F12013,10,8,0.1,[43912.03137066531]
F12013,10,8,0.2,[34689.178070592185]
F12013,10,8,0.3,[26935.079145126016]
F12013,10,8,0.4,[20444.537866751692]
F12013,10,8,0.5,[15059.278769692968]
F12013,10,8,0.6,[10656.871404669366]
F12013,10,8,0.7,[7203.53312443507]
F12013,10,8,0.8,[4581.0385409847395]
F12013,10,8,0.9,[2709.078929635608]
F12013,10,8,1.0,[1467.2007040830592]
F12013,10,9,0.01,[53667.11702089896]
F12013,10,9,0.1,[43912.03137066531]
F12013,10,9,0.2,[34689.178070592185]
F12013,10,9,0.3,[26935.079145126016]
F12013,10,9,0.4,[20444.537866751692]
F12013,10,9,0.5,[15059.278769692968]
F12013,10,9,0.6,[10656.871404669366]
F12013,10,9,0.7,[7203.53312443507]
F12013,10,9,0.8,[4581.0385409847395]
F12013,10,9,0.9,[2709.078929635608]
F12013,10,9,1.0,[1467.2007040830592]
F12013,10,10,0.01,[53667.11702089896]
F12013,10,10,0.1,[43912.03137066531]
F12013,10,10,0.2,[34689.178070592185]
F12013,10,10,0.3,[26935.079145126016]
F12013,10,10,0.4,[20444.537866751692]
F12013,10,10,0.5,[15059.278769692968]
F12013,10,10,0.6,[10656.871404669366]
F12013,10,10,0.7,[7203.53312443507]
F12013,10,10,0.8,[4581.0385409847395]
F12013,10,10,0.9,[2709.078929635608]
F12013,10,10,1.0,[1467.2007040830592]
F12013,10,11,0.01,[53667.11702089896]
F12013,10,11,0.1,[43912.03137066531]
F12013,10,11,0.2,[34689.178070592185]
F12013,10,11,0.3,[26935.079145126016]
F12013,10,11,0.4,[20444.537866751692]
F12013,10,11,0.5,[15059.278769692968]
F12013,10,11,0.6,[10656.871404669366]
F12013,10,11,0.7,[7203.53312443507]
F12013,10,11,0.8,[4581.0385409847395]
F12013,10,11,0.9,[2709.078929635608]
F12013,10,11,1.0,[1467.2007040830592]
F12013,10,12,0.01,[53667.11702089896]
F12013,10,12,0.1,[43912.03137066531]
F12013,10,12,0.2,[34689.178070592185]
F12013,10,12,0.3,[26935.079145126016]
F12013,10,12,0.4,[20444.537866751692]
F12013,10,12,0.5,[15059.278769692968]
F12013,10,12,0.6,[10656.871404669366]
F12013,10,12,0.7,[7203.53312443507]
F12013,10,12,0.8,[4581.0385409847395]
F12013,10,12,0.9,[2709.078929635608]
F12013,10,12,1.0,[1467.2007040830592]
F12013,10,13,0.01,[53667.11702089896]
F12013,10,13,0.1,[43912.03137066531]
F12013,10,13,0.2,[34689.178070592185]
F12013,10,13,0.3,[26935.079145126016]
F12013,10,13,0.4,[20444.537866751692]
F12013,10,13,0.5,[15059.278769692968]
F12013,10,13,0.6,[10656.871404669366]
F12013,10,13,0.7,[7203.53312443507]
F12013,10,13,0.8,[4581.0385409847395]
F12013,10,13,0.9,[2709.078929635608]
F12013,10,13,1.0,[1467.2007040830592]
F12013,10,14,0.01,[53667.11702089896]
F12013,10,14,0.1,[43912.03137066531]
F12013,10,14,0.2,[34689.178070592185]
F12013,10,14,0.3,[26935.079145126016]
F12013,10,14,0.4,[20444.537866751692]
F12013,10,14,0.5,[15059.278769692968]
F12013,10,14,0.6,[10656.871404669366]
F12013,10,14,0.7,[7203.53312443507]
F12013,10,14,0.8,[4581.0385409847395]
F12013,10,14,0.9,[2709.078929635608]
F12013,10,14,1.0,[1467.2007040830592]
F12013,10,15,0.01,[53667.11702089896]
F12013,10,15,0.1,[43912.03137066531]
F12013,10,15,0.2,[34689.178070592185]
F12013,10,15,0.3,[26935.079145126016]
F12013,10,15,0.4,[20444.537866751692]
F12013,10,15,0.5,[15059.278769692968]
F12013,10,15,0.6,[10656.871404669366]
F12013,10,15,0.7,[7203.53312443507]
F12013,10,15,0.8,[4581.0385409847395]
F12013,10,15,0.9,[2709.078929635608]
F12013,10,15,1.0,[1467.2007040830592]
F12013,10,16,0.01,[53667.11702089896]
F12013,10,16,0.1,[43912.03137066531]
F12013,10,16,0.2,[34689.178070592185]
F12013,10,16,0.3,[26935.079145126016]
F12013,10,16,0.4,[20444.537866751692]
F12013,10,16,0.5,[15059.278769692968]
F12013,10,16,0.6,[10656.871404669366]
F12013,10,16,0.7,[7203.53312443507]
F12013,10,16,0.8,[4581.0385409847395]
F12013,10,16,0.9,[2709.078929635608]
F12013,10,16,1.0,[1467.2007040830592]
F12013,10,17,0.01,[53667.11702089896]
F12013,10,17,0.1,[43912.03137066531]
F12013,10,17,0.2,[34689.178070592185]
F12013,10,17,0.3,[26935.079145126016]
F12013,10,17,0.4,[20444.537866751692]
F12013,10,17,0.5,[15059.278769692968]
F12013,10,17,0.6,[10656.871404669366]
F12013,10,17,0.7,[7203.53312443507]
F12013,10,17,0.8,[4581.0385409847395]
F12013,10,17,0.9,[2709.078929635608]
F12013,10,17,1.0,[1467.2007040830592]
F12013,10,18,0.01,[53667.11702089896]
