function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,2.7253125340315444e+33,1.9187506921854195e+34,2.275716818060464e+20,1.3840063188670683e+35,33726640321.077057
F32013,10,0.1,1.502086750429046e+31,1.057632360109518e+32,1.2474765503922555e+18,7.628754104283754e+32,2683104750.1388445
F32013,10,0.2,2.1021213970281244e+29,1.48018063317314e+30,3.1077190048377212e+16,1.067660818674504e+31,120233.64721482548
F32013,10,0.3,2.972996223162828e+27,2.093541529078392e+28,627177217981370.8,1.5100789695649672e+29,1681.3562282836524
F32013,10,0.4,4.1331385537211235e+25,2.9108180550689706e+26,13066452782160.123,2.0995795413219908e+27,1768.0921915749536
F32013,10,0.5,5.845337840383013e+23,4.1180171362815747e+24,327006436450.87836,2.9703183028059905e+25,2003.3263213906794
F32013,10,0.6,8.244130733583443e+21,5.805911173953203e+22,41225358850.01611,4.187817584683994e+23,1768.8065487978497
F32013,10,0.7,1.1018660738333173e+20,7.76132411618996e+20,8054506866.781539,5.598243962860265e+21,1.7372823825362502
F32013,10,0.8,1.431495803890302e+18,1.008287205039272e+19,64077933.39447103,7.27278020641374e+19,8.234458821877297
F32013,10,0.9,2.262613238115491e+16,1.5775400344635987e+17,4023.4480895595216,1.1380236676396244e+18,57.491580711567394
F32013,10,1.0,1073384906689893.5,7540274155055489.0,3767.758859267098,5.439035078941464e+16,39.12862363074714
F32013,30,0.01,5.141012315630987e+35,3.4773784965620375e+36,1.3161192220319086e+26,2.509012707680849e+37,3.0728734564113075e+20
F32013,30,0.1,1.8510648908892982e+33,1.249216475430377e+34,5.1540027721678386e+23,9.013654358947265e+34,1.4010982966112742e+18
F32013,30,0.2,1.5372225347518789e+31,1.0363056712129189e+32,4.0901602044122513e+21,7.477433607052056e+32,1.1019309506516974e+16
F32013,30,0.3,1.330423412006476e+29,8.850309479886313e+29,5.3955629945098715e+19,6.384394174240467e+30,82567949983749.34
F32013,30,0.4,1.0958055738141411e+27,7.231760716621972e+27,7.047854092298796e+17,5.216740815348194e+28,1685623392642.7744
F32013,30,0.5,8.882032687994476e+24,5.818994683427434e+25,7298022662416212.0,4.197842687262228e+26,214179514403.98816
F32013,30,0.6,7.671466996844327e+22,5.012682146981758e+23,74456826518205.69,3.6164928451415754e+24,25610237514.326622
F32013,30,0.7,1.563208375140816e+21,1.0458239357243588e+22,746363190455.271,7.545660444690723e+22,45024440.73654412
F32013,30,0.8,1.6927266562851142e+19,1.1374617288513525e+20,118290208226.7502,8.207133337415187e+20,805.1135454975633
F32013,30,0.9,2.061674710468131e+17,1.3951631653971046e+18,26772315314.2935,1.006716904259804e+19,316.01319785522537
F32013,30,1.0,1849548705051232.2,1.2388791253963566e+16,21237047.949556943,8.93985989389143e+16,176.7144637770665
F32013,50,0.01,4.6813625918367124e+39,2.8656381644423136e+40,1.3612551818751938e+24,2.0451468142389905e+41,8351021032820966.0
F32013,50,0.1,1.5788176024170995e+37,9.68437491561068e+37,6.540262860975379e+21,6.914374276730166e+38,93666898957028.97
F32013,50,0.2,1.1500293800892534e+35,7.05646615616112e+35,5.768957724137802e+19,5.038437662927896e+36,1669694699794.562
F32013,50,0.3,8.484762832535688e+32,5.1916352080821665e+33,5.832501166838906e+17,3.704842942590829e+34,197431029866.66418
F32013,50,0.4,6.195304353273236e+30,3.7846416212522427e+31,5904559887339618.0,2.6998889284492853e+32,34170082173.988
F32013,50,0.5,4.633121666173093e+28,2.8291234002715256e+29,82235007620399.94,2.018062949314332e+30,50517434.01838918
F32013,50,0.6,3.346361618236653e+26,2.0471310343661715e+27,1658686557271.0415,1.460806209698813e+28,32537.30270807987
F32013,50,0.7,2.392475277848512e+24,1.4541578365468978e+25,193068044927.9627,1.0362428921579188e+26,236.35183851772376
F32013,50,0.8,1.8829720883434803e+22,1.055911932233659e+23,17815188501.090755,7.307616785380631e+23,284.2397758254874
F32013,50,0.9,1.8812027437290557e+20,1.0920686621942877e+21,2182295.5202940484,7.678433581378654e+21,231.31782791761748
F32013,50,1.0,1.9217397031874442e+18,1.1552833397412108e+19,147586.23294825052,8.211300193563478e+19,197.12351019952484
