function,dimension,run,checkpoint,error
F72013,10,0,0.01,[83493793.74677722]
F72013,10,0,0.1,[1569840.1823302105]
F72013,10,0,0.2,[174231.1456031383]
F72013,10,0,0.3,[34199.488249496775]
F72013,10,0,0.4,[13063.420291359726]
F72013,10,0,0.5,[12300.973175209392]
F72013,10,0,0.6,[12288.94394153435]
F72013,10,0,0.7,[12266.538077343168]
F72013,10,0,0.8,[12301.039969795193]
F72013,10,0,0.9,[12288.926540789795]
F72013,10,0,1.0,[12266.554958811736]
F72013,10,1,0.01,[6094953800257.6875]
F72013,10,1,0.1,[1048507132486035.8]
F72013,10,1,0.2,[227424472223264.0]
F72013,10,1,0.3,[1708356481131.2522]
F72013,10,1,0.4,[54746216340.1564]
F72013,10,1,0.5,[47001817075.52147]
F72013,10,1,0.6,[3785005748.442237]
F72013,10,1,0.7,[587309086.9719449]
F72013,10,1,0.8,[10810654.630154274]
F72013,10,1,0.9,[1042817.5831954688]
F72013,10,1,1.0,[37043.73422845697]
F72013,10,2,0.01,[256992267.01589897]
F72013,10,2,0.1,[4912942.874615962]
F72013,10,2,0.2,[8377839.489200967]
F72013,10,2,0.3,[170024.45870080573]
F72013,10,2,0.4,[13650.345491747095]
F72013,10,2,0.5,[7572.390636535243]
F72013,10,2,0.6,[7838.8136058105465]
F72013,10,2,0.7,[7582.441508588691]
F72013,10,2,0.8,[7474.649272999523]
F72013,10,2,0.9,[7510.298227186967]
F72013,10,2,1.0,[7469.019852350297]
F72013,10,3,0.01,[4469434063.783157]
F72013,10,3,0.1,[433260498.6754091]
F72013,10,3,0.2,[89423976.82213622]
F72013,10,3,0.3,[2057830.1604829463]
F72013,10,3,0.4,[79989.82749094763]
F72013,10,3,0.5,[14569.764718494444]
F72013,10,3,0.6,[11652.282222339903]
F72013,10,3,0.7,[11765.448593644398]
F72013,10,3,0.8,[11886.783528987728]
F72013,10,3,0.9,[11694.89799941494]
F72013,10,3,1.0,[11872.026693651545]
F72013,10,4,0.01,[42740044963.72753]
F72013,10,4,0.1,[104448353946739.48]
F72013,10,4,0.2,[139129424597777.22]
F72013,10,4,0.3,[1655499759509.9473]
F72013,10,4,0.4,[48622992828.11308]
F72013,10,4,0.5,[231346462622143.3]
F72013,10,4,0.6,[9741040254465.582]
F72013,10,4,0.7,[269798099483.75653]
F72013,10,4,0.8,[9906551248.783966]
F72013,10,4,0.9,[1148446512.0186348]
F72013,10,4,1.0,[813472889.5850546]
F72013,10,5,0.01,[1443078.3851505232]
F72013,10,5,0.1,[18479.2894802821]
F72013,10,5,0.2,[12831.78267987169]
F72013,10,5,0.3,[11111.441072118549]
F72013,10,5,0.4,[11109.13036757094]
F72013,10,5,0.5,[11023.161050387242]
F72013,10,5,0.6,[11084.72166755924]
F72013,10,5,0.7,[11035.426146222917]
F72013,10,5,0.8,[10970.170076816019]
F72013,10,5,0.9,[11040.107287686467]
F72013,10,5,1.0,[11040.116826916588]
F72013,10,6,0.01,[50746061985.75947]
F72013,10,6,0.1,[7248981960.50639]
F72013,10,6,0.2,[7470438735.61698]
F72013,10,6,0.3,[660050322.3636749]
F72013,10,6,0.4,[66410136.72344786]
F72013,10,6,0.5,[10466359.903844345]
F72013,10,6,0.6,[2945437.1748422813]
F72013,10,6,0.7,[2307618.072467616]
F72013,10,6,0.8,[2269959.6169533464]
F72013,10,6,0.9,[2316255.2904813187]
F72013,10,6,1.0,[2294984.1260527233]
F72013,10,7,0.01,[367509868225272.56]
F72013,10,7,0.1,[2815589574553.945]
F72013,10,7,0.2,[320110439588.91125]
F72013,10,7,0.3,[8038903182.599272]
F72013,10,7,0.4,[606090303.7092942]
F72013,10,7,0.5,[7816766.166285285]
