function,dimension,run,checkpoint,error
F282013,10,0,0.01,"[3173.596516830772, 1.124739646911621]"
F282013,10,0,0.1,"[2140.459397872926, 9.989158630371094]"
F282013,10,0,0.2,"[2145.3372844699616, 19.84535264968872]"
F282013,10,0,0.3,"[2133.9181224766644, 29.702900886535645]"
F282013,10,0,0.4,"[2134.161805346731, 39.56192374229431]"
F282013,10,0,0.5,"[2134.5541703815866, 49.40959453582764]"
F282013,10,0,0.6,"[2145.1246404652525, 59.25982594490051]"
F282013,10,0,0.7,"[2134.0411718535274, 69.14792227745056]"
F282013,10,0,0.8,"[2145.2538273201153, 78.99925184249878]"
F282013,10,0,0.9,"[2145.322249716755, 88.84856224060059]"
F282013,10,0,1.0,"[2134.149925595681, 98.70848751068115]"
F282013,10,1,0.01,"[1388.3081769037135, 1.0728733539581299]"
F282013,10,1,0.1,"[775.6006938973396, 9.993387937545776]"
F282013,10,1,0.2,"[704.4722331404355, 19.863368034362793]"
F282013,10,1,0.3,"[704.4746187817232, 29.727787971496582]"
F282013,10,1,0.4,"[704.4767077000365, 39.60635232925415]"
F282013,10,1,0.5,"[704.4725127211905, 49.462136030197144]"
F282013,10,1,0.6,"[704.4722921080202, 59.324225187301636]"
F282013,10,1,0.7,"[704.4722696963672, 69.19569063186646]"
F282013,10,1,0.8,"[704.4722355555332, 79.05368828773499]"
F282013,10,1,0.9,"[704.4722878360508, 88.90739941596985]"
F282013,10,1,1.0,"[704.473345248095, 98.77478408813477]"
F282013,10,2,0.01,"[2331.5857046423166, 1.204702615737915]"
F282013,10,2,0.1,"[2045.2493025472777, 10.032133340835571]"
F282013,10,2,0.2,"[2044.6406665385512, 19.844441175460815]"
F282013,10,2,0.3,"[2045.4275233279495, 29.64797830581665]"
F282013,10,2,0.4,"[2046.2637302219046, 39.45409822463989]"
F282013,10,2,0.5,"[2045.7062009610167, 49.24944734573364]"
F282013,10,2,0.6,"[2045.4712858290422, 59.053858518600464]"
F282013,10,2,0.7,"[2044.9710730830775, 68.86275243759155]"
F282013,10,2,0.8,"[2045.4793082408842, 78.6525285243988]"
F282013,10,2,0.9,"[2046.001920927446, 88.44615888595581]"
