function,dimensions,checkpoint,mean,std,median,max,min
F72013,10,0.01,34441223659628.64,148090174552452.6,3382921083.1871386,852955383257829.1,11546.536830618992
F72013,10,0.1,14491509014445.375,88589676585703.95,1000598664.4343281,637748845856469.2,9360.322613578026
F72013,10,0.2,14104773244607.57,88543342233341.56,509729248.7457115,637748845856469.2,9338.724645757888
F72013,10,0.3,13970687699059.74,88561455115639.05,103285768.52446193,637748845856469.2,9334.214866359029
F72013,10,0.4,13216936475652.031,88373193569261.16,25375066.26621344,637748845856469.2,9332.695503164692
F72013,10,0.5,12734454330833.617,88401560615802.7,7199390.440302568,637748845856469.2,9332.163337902739
F72013,10,0.6,12711604839333.53,88404738861134.34,2170999.0128672854,637748845856469.2,9331.975419802555
F72013,10,0.7,12706675529820.193,88405439366633.88,1291394.9738900268,637748845856469.2,7321.89581120309
F72013,10,0.8,12705929759513.646,88405546403018.1,601071.7409733096,637748845856469.2,7321.89581120309
F72013,10,0.9,3867261949826.8745,25933895908021.543,601071.7409733096,186979146120320.84,7321.89581120309
F72013,10,1.0,598974145725.8634,3118993859908.375,392869.54242245137,20297200404606.01,5859.471931588232
F72013,30,0.01,6.953034190747631e+16,3.301688662028383e+17,9863077692437.54,1.7613827785466621e+18,2645853927.760948
F72013,30,0.1,3662386364190345.0,1.7887737687273086e+16,1017425999999.3062,1.1412513498512018e+17,282339763.518305
F72013,30,0.2,105974413693918.69,428624498978703.4,485169184262.48224,2784202784389788.5,26376093.0053205
F72013,30,0.3,59229636304201.12,341537500480934.9,73527734427.53662,2461573988048952.0,9084145.704963913
F72013,30,0.4,51066542486301.875,341107913158175.5,15390693765.66343,2461573988048952.0,2849463.473002041
F72013,30,0.5,18801993831611.19,129394992083984.95,4342156615.66354,933699497139245.8,2833822.371838193
F72013,30,0.6,4018949286819.145,26460028481365.81,683832293.1155331,191002923436287.53,793162.9368747479
F72013,30,0.7,3872754956788.7627,26468101367471.258,159414705.49035522,191002923436287.53,182542.13505921466
F72013,30,0.8,3836076554845.799,26472210382151.3,32590416.92751334,191002923436287.53,176913.1500095892
F72013,30,0.9,3796275886352.7095,26476733554521.188,6509005.144546521,191002923436287.53,153789.35548098676
F72013,30,1.0,2606446084874.831,18110116325380.113,4724291.118835829,130646826580044.97,130518.85844421804
F72013,50,0.01,2.816877082013831e+17,1.196690668121243e+18,31111640812010.125,7.761995347719797e+18,1429330145.1411982
F72013,50,0.1,8761744617504333.0,3.241190708160223e+16,4923047545859.46,1.871890955432818e+17,131599859.5990103
F72013,50,0.2,1441454172261039.0,8846902340800831.0,418613513490.8595,6.378766691828111e+16,27836552.2742542
F72013,50,0.3,1077570797361870.8,7390329137913554.0,107722298120.67317,5.332634916696177e+16,2967115.165311031
F72013,50,0.4,11195113613418.97,60799291788499.7,15285135785.964005,427619640225274.4,637724.7493651606
F72013,50,0.5,1017458553066.8757,4434195348292.12,3574427971.967214,30005151274739.086,541043.18011762
F72013,50,0.6,339468549740.24915,1410240348457.499,831850992.4514793,8044173483414.725,476508.21387559426
F72013,50,0.7,63721934483.89355,272548274976.25235,196010041.0379929,1855616960444.5312,474501.221733936
F72013,50,0.8,12199048321.099583,47890507737.60487,33882091.09808928,257117631003.73944,474501.221733936
F72013,50,0.9,5811036835.325496,32771867315.504204,9307499.673555119,235017800058.04858,434356.1277770097
F72013,50,1.0,2071006177.43336,13342787541.991764,5267117.044071555,96251917541.93768,370958.16663144296
