function,dimensions,checkpoint,mean,std,median,max,min
F282013,10,0.01,26265.282235131603,162242.3821840482,2784.932697463676,1173325.909444943,719.9362500365642
F282013,10,0.1,2992.880521024069,2931.4974442820626,2641.533513059682,21314.97095824504,102.66325505969394
F282013,10,0.2,2579.9948767186697,1345.890815516478,2398.256006052044,5383.73084325184,102.97271568182941
F282013,10,0.3,2409.3029534172206,1300.8182867115988,2077.466254200236,5391.809947902299,102.20444577711169
F282013,10,0.4,2371.018414280412,1323.713536034179,1960.7820449231285,5406.213637652773,102.36478816608906
F282013,10,0.5,2356.97578642217,1322.2914217241341,1961.0721573417427,5386.574340821243,102.08476858715494
F282013,10,0.6,2373.012460255811,1429.4592219588023,1962.5878193652825,6855.669611372126,101.87129600320509
F282013,10,0.7,2363.5681766275816,1350.2112845493093,2077.4633688758295,5424.118497564414,101.60424139967404
F282013,10,0.8,2341.3159162791576,1350.926990941919,1961.926918985484,5387.303653346268,103.15959097534528
F282013,10,0.9,2332.331350389736,1339.146525630934,1961.096485653592,5387.521325385499,102.17049253984533
F282013,10,1.0,2339.365082372931,1348.557125402157,1960.8721031285518,5388.884248369533,103.4335809053398
F282013,30,0.01,162435794.56187788,519746144.3800866,24857.318445223555,2451643987.082931,7136.532834676324
F282013,30,0.1,92915367.17590949,395375492.82168764,12059.651810807061,2324225824.556624,6035.098916619804
F282013,30,0.2,18312671.54510297,113706566.71196122,9864.709869223467,818515032.7401823,5537.318856001933
F282013,30,0.3,2401887.4228059785,14036774.320557617,8407.537919829896,100832699.89852117,5183.458730210829
F282013,30,0.4,53233.90734161124,204334.05228096794,7735.598029019664,1288397.1933755423,4930.546630093134
F282013,30,0.5,10521.27772733644,12034.74439787195,7643.928305214744,88699.68570025147,4427.725721788733
F282013,30,0.6,7907.321821027268,2241.1395447881855,7704.071224923882,13787.280283023603,4296.5258588970555
F282013,30,0.7,10149.912681471433,15374.39112146045,6971.6989114835,111969.36623417263,4277.591508077682
F282013,30,0.8,7585.99031368167,3043.0035826711373,6934.37611526993,22838.494668492312,3547.1121455736165
F282013,30,0.9,9360.852086235465,17469.75917017431,6895.120826989636,132134.29014579635,3370.3060862951424
F282013,30,1.0,7659.258050427193,4317.28025032898,6889.429825751256,32129.352138546637,3243.3368189729554
F282013,50,0.01,664417906.1908702,1746725332.3588653,2729303.3859303696,9576716178.795103,17950.13461284209
F282013,50,0.1,572559192.3980671,3859063698.3265123,240640.04944471616,27852857830.323288,14298.55634572326
F282013,50,0.2,7681270.402036315,35430458.42881823,33467.80202850004,249798687.92004687,10893.168947948494
F282013,50,0.3,989703.8199209953,4237534.677963633,18708.7310244681,26382849.30197721,6672.003541466928
F282013,50,0.4,47684188.685600944,336735491.1571217,16536.430920680064,2428763391.0626507,5454.312395901526
F282013,50,0.5,73182723.75027785,513659862.25416785,12895.70242702595,3705231537.986356,3896.123669653938
F282013,50,0.6,237188959.24669108,1673831353.4330254,12479.786722184183,12072951973.582937,3149.532249348197
F282013,50,0.7,2264805317.7399573,16014374598.094627,11512.578151954003,115503534062.10411,2574.767935374735
F282013,50,0.8,63243304.50049022,444078969.99479747,10763.62173123364,3203287764.7334547,1923.999825221521
F282013,50,0.9,1614177.3932816328,11255443.143152779,9645.161490534707,81200848.25006764,1739.1101745515466
F282013,50,1.0,557685.3583842289,3878316.67815494,8725.887079172044,27981492.99224479,1677.4223358966797
