function,dimension,run,checkpoint,error
F142013,10,0,0.01,"[1768.8989905244894, 0.15846681594848633]"
F142013,10,0,0.1,"[1790.5137395682777, 1.2744460105895996]"
F142013,10,0,0.2,"[1786.4021757549622, 2.5149948596954346]"
F142013,10,0,0.3,"[1776.9125149411202, 3.7613675594329834]"
F142013,10,0,0.4,"[1801.0158786182324, 5.001012563705444]"
F142013,10,0,0.5,"[1764.251485750803, 6.2397706508636475]"
F142013,10,0,0.6,"[1768.2692297313965, 7.476985454559326]"
F142013,10,0,0.7,"[1759.5665425284951, 8.716078042984009]"
F142013,10,0,0.8,"[1797.1054248476667, 9.954498529434204]"
F142013,10,0,0.9,"[1770.7412565955583, 11.191155195236206]"
F142013,10,0,1.0,"[1789.447481104094, 12.42909288406372]"
F142013,10,1,0.01,"[2076.628968446096, 0.2140040397644043]"
F142013,10,1,0.1,"[2076.75419326638, 1.3314356803894043]"
F142013,10,1,0.2,"[2077.0185806477216, 2.57189679145813]"
F142013,10,1,0.3,"[2082.988439680645, 3.811636447906494]"
F142013,10,1,0.4,"[2079.2993767427347, 5.053278923034668]"
F142013,10,1,0.5,"[2076.825659831401, 6.294988393783569]"
F142013,10,1,0.6,"[2080.6599464212427, 7.535585403442383]"
F142013,10,1,0.7,"[2077.197117836943, 8.776894092559814]"
F142013,10,1,0.8,"[2078.971455180886, 10.01694369316101]"
F142013,10,1,0.9,"[2076.6439451922924, 11.256215810775757]"
F142013,10,1,1.0,"[2079.3470198152518, 12.499665975570679]"
F142013,10,2,0.01,"[1768.303411782485, 0.14724135398864746]"
F142013,10,2,0.1,"[1768.6388664096344, 1.269134759902954]"
F142013,10,2,0.2,"[1770.761598253136, 2.5102663040161133]"
F142013,10,2,0.3,"[1768.438619472165, 3.7512996196746826]"
F142013,10,2,0.4,"[1773.798397414279, 4.993359327316284]"
F142013,10,2,0.5,"[1770.7230994572965, 6.23547625541687]"
F142013,10,2,0.6,"[1770.7592708514976, 7.476290225982666]"
F142013,10,2,0.7,"[1768.6793644743375, 8.718217134475708]"
F142013,10,2,0.8,"[1771.29947203858, 9.959455013275146]"
F142013,10,2,0.9,"[1771.8573074871988, 11.199954509735107]"
F142013,10,2,1.0,"[1768.7611101036073, 12.440632581710815]"
F142013,10,3,0.01,"[2226.425201740058, 0.1254744529724121]"
F142013,10,3,0.1,"[2230.543446205519, 1.2406651973724365]"
F142013,10,3,0.2,"[2227.347405483364, 2.4768598079681396]"
F142013,10,3,0.3,"[2227.251861649767, 3.7144935131073]"
F142013,10,3,0.4,"[2231.2276937534125, 4.952099323272705]"
F142013,10,3,0.5,"[2227.8056195085373, 6.188615083694458]"
F142013,10,3,0.6,"[2228.4679396990905, 7.4501988887786865]"
F142013,10,3,0.7,"[2226.7953818373144, 8.688044309616089]"
F142013,10,3,0.8,"[2227.0577507183125, 9.923590421676636]"
F142013,10,3,0.9,"[2230.031085921445, 11.15811038017273]"
F142013,10,3,1.0,"[2229.225057163718, 12.393731832504272]"
F142013,10,4,0.01,"[2334.1440416693376, 0.17049360275268555]"
F142013,10,4,0.1,"[2334.6347753894106, 1.2863333225250244]"
F142013,10,4,0.2,"[2334.5820675309915, 2.521517753601074]"
F142013,10,4,0.3,"[2334.3902394226075, 3.756185531616211]"
F142013,10,4,0.4,"[2339.2631908676194, 4.991920232772827]"
F142013,10,4,0.5,"[2337.672510058795, 6.227844476699829]"
F142013,10,4,0.6,"[2335.204949352148, 7.462579965591431]"
F142013,10,4,0.7,"[2335.125217433705, 8.69907021522522]"
F142013,10,4,0.8,"[2340.2078475933995, 9.934589147567749]"
F142013,10,4,0.9,"[2334.3844277367434, 11.168517112731934]"
F142013,10,4,1.0,"[2335.7892237633123, 12.40322232246399]"
F142013,10,5,0.01,"[2135.216923899445, 0.12561988830566406]"
F142013,10,5,0.1,"[2139.0264276107782, 1.2433397769927979]"
F142013,10,5,0.2,"[2136.1141179204033, 2.4827089309692383]"
F142013,10,5,0.3,"[2135.825252548233, 3.721421241760254]"
F142013,10,5,0.4,"[2135.854273138784, 4.962357044219971]"
F142013,10,5,0.5,"[2137.1360372553486, 6.202428340911865]"
