function,dimensions,checkpoint,mean,std,median,max,min
F82013,10,0.01,21.805183272301104,0.4301178750118678,21.912712741054065,21.912712741054065,20.084711772253627
F82013,10,0.1,21.911737450606566,0.47770077735728644,22.03116264494588,22.03116264494588,20.000934341177413
F82013,10,0.2,21.54744879659454,0.38685067751275176,21.64416146597273,21.64416146597273,20.000046086543534
F82013,10,0.3,21.62018308722859,0.40470168959205594,21.72135850962661,21.72135850962661,20.001376328860374
F82013,10,0.4,21.747007172933,0.43675155575815816,21.85619506187254,21.85619506187254,20.000000949900368
F82013,10,0.5,21.73438669299099,0.4335961865524897,21.842785739629107,21.842785739629107,20.000001946781026
F82013,10,0.6,21.04854795059188,0.26213687396840907,21.114082169083986,21.114082169083986,20.000000454718247
F82013,10,0.7,21.49156054454047,0.3728844114901971,21.584781647413024,21.584781647413024,20.000022898579687
F82013,10,0.8,21.479418845386803,0.36985275897867564,21.571882035131466,21.571882035131466,20.000007809472095
F82013,10,0.9,21.745614184483255,0.436344407843749,21.8547002864442,21.8547002864442,20.000236553108266
F82013,10,1.0,21.735941531143386,0.4339433703737942,21.844427373736835,21.844427373736835,20.00016804964821
F82013,30,0.01,21.77176457552054,0.03647016479972616,21.780882116720477,21.780882116720477,21.62588391632164
F82013,30,0.1,21.54166923522748,0.030946493725931598,21.53393261179599,21.6654552101312,21.53393261179599
F82013,30,0.2,21.73130266717817,0.026344492796370637,21.73788879037727,21.73788879037727,21.625924695992694
F82013,30,0.3,21.743072928739622,0.006110698783579531,21.744600603435515,21.744600603435515,21.718630133605302
F82013,30,0.4,21.811059899029072,0.044809556759767416,21.822262288219008,21.822262288219008,21.631821671989997
F82013,30,0.5,21.4833421517399,0.07121929053859918,21.465537329105246,21.768219313894292,21.465537329105246
F82013,30,0.6,21.6668127486459,0.03372757779764951,21.65838085419648,21.80172305983649,21.65838085419648
F82013,30,0.7,21.665282601649633,0.00761855810865467,21.663377962122468,21.69575683408425,21.663377962122468
F82013,30,0.8,21.487025663691703,0.09386463819135529,21.46355950414386,21.86248421645712,21.46355950414386
F82013,30,0.9,21.60275087528747,0.006645522277240696,21.601089494718167,21.62933296439644,21.601089494718167
F82013,30,1.0,21.857833272068024,0.007355744198133941,21.85967220811756,21.85967220811756,21.82841029527549
F82013,50,0.01,21.621927043405123,0.0011672641572819404,21.6216352273658,21.62659610003425,21.6216352273658
F82013,50,0.1,21.57177053575293,0.04753371454326578,21.559887107117106,21.761905393925986,21.559887107117106
F82013,50,0.2,21.770206538947416,0.04600362347427483,21.781707444815993,21.781707444815993,21.586192045050325
F82013,50,0.3,21.677727162248548,0.016901967351393123,21.6735016704107,21.745335031654122,21.6735016704107
F82013,50,0.4,21.662620436767504,0.027742636115871234,21.655684777738543,21.773590981230996,21.655684777738543
F82013,50,0.5,21.658466077600597,0.0012673783210844062,21.658782922180876,21.658782922180876,21.653396564316267
F82013,50,0.6,21.66783278497932,0.0028788713899998318,21.667113067131822,21.67934827053932,21.667113067131822
F82013,50,0.7,21.81637810821795,0.04039000876253554,21.82647561040858,21.82647561040858,21.654818073167803
F82013,50,0.8,21.77086938749866,0.0019569690487996386,21.77038014523646,21.778697263693857,21.77038014523646
F82013,50,0.9,21.573446129615565,0.028700905227491174,21.56627090330869,21.68824975052553,21.56627090330869
F82013,50,1.0,21.757191944539592,0.0014262786299589019,21.757548514197083,21.757548514197083,21.751486830019758
