function,dimension,run,checkpoint,error
F42013,10,0,0.01,[4541473307.221852]
F42013,10,0,0.1,[2194326373.3660216]
F42013,10,0,0.2,[449601956.482874]
F42013,10,0,0.3,[4140796.3955286117]
F42013,10,0,0.4,[45678.84442479465]
F42013,10,0,0.5,[42566.22737781804]
F42013,10,0,0.6,[32314.353970017397]
F42013,10,0,0.7,[25851.960296421792]
F42013,10,0,0.8,[21740.12331438101]
F42013,10,0,0.9,[18594.102400049433]
F42013,10,0,1.0,[15645.482829130573]
F42013,10,1,0.01,[4541473307.221852]
F42013,10,1,0.1,[2194326373.3660216]
F42013,10,1,0.2,[449601956.482874]
F42013,10,1,0.3,[4140796.3955286117]
F42013,10,1,0.4,[45678.84442479465]
F42013,10,1,0.5,[42566.22737781804]
F42013,10,1,0.6,[32314.353970017397]
F42013,10,1,0.7,[25851.960296421792]
F42013,10,1,0.8,[21740.12331438101]
F42013,10,1,0.9,[18594.102400049433]
F42013,10,1,1.0,[15645.482829130573]
F42013,10,2,0.01,[4541473307.221852]
F42013,10,2,0.1,[2194326373.3660216]
F42013,10,2,0.2,[449601956.482874]
F42013,10,2,0.3,[4140796.3955286117]
F42013,10,2,0.4,[45678.84442479465]
F42013,10,2,0.5,[42566.22737781804]
F42013,10,2,0.6,[32314.353970017397]
F42013,10,2,0.7,[25851.960296421792]
F42013,10,2,0.8,[21740.12331438101]
F42013,10,2,0.9,[18594.102400049433]
F42013,10,2,1.0,[15645.482829130573]
F42013,10,3,0.01,[4541473307.221852]
F42013,10,3,0.1,[2194326373.3660216]
F42013,10,3,0.2,[449601956.482874]
F42013,10,3,0.3,[4140796.3955286117]
F42013,10,3,0.4,[45678.84442479465]
F42013,10,3,0.5,[42566.22737781804]
F42013,10,3,0.6,[32314.353970017397]
F42013,10,3,0.7,[25851.960296421792]
F42013,10,3,0.8,[21740.12331438101]
F42013,10,3,0.9,[18594.102400049433]
F42013,10,3,1.0,[15645.482829130573]
F42013,10,4,0.01,[4541473307.221852]
F42013,10,4,0.1,[2194326373.3660216]
F42013,10,4,0.2,[449601956.482874]
F42013,10,4,0.3,[4140796.3955286117]
F42013,10,4,0.4,[45678.84442479465]
F42013,10,4,0.5,[42566.22737781804]
F42013,10,4,0.6,[32314.353970017397]
F42013,10,4,0.7,[25851.960296421792]
F42013,10,4,0.8,[21740.12331438101]
F42013,10,4,0.9,[18594.102400049433]
F42013,10,4,1.0,[15645.482829130573]
F42013,10,5,0.01,[4541473307.221852]
F42013,10,5,0.1,[2194326373.3660216]
F42013,10,5,0.2,[449601956.482874]
F42013,10,5,0.3,[4140796.3955286117]
F42013,10,5,0.4,[45678.84442479465]
F42013,10,5,0.5,[42566.22737781804]
F42013,10,5,0.6,[32314.353970017397]
F42013,10,5,0.7,[25851.960296421792]
F42013,10,5,0.8,[21740.12331438101]
F42013,10,5,0.9,[18594.102400049433]
F42013,10,5,1.0,[15645.482829130573]
F42013,10,6,0.01,[4541473307.221852]
F42013,10,6,0.1,[2194326373.3660216]
F42013,10,6,0.2,[449601956.482874]
F42013,10,6,0.3,[4140796.3955286117]
F42013,10,6,0.4,[45678.84442479465]
F42013,10,6,0.5,[42566.22737781804]
F42013,10,6,0.6,[32314.353970017397]
F42013,10,6,0.7,[25851.960296421792]
F42013,10,6,0.8,[21740.12331438101]
F42013,10,6,0.9,[18594.102400049433]
F42013,10,6,1.0,[15645.482829130573]
F42013,10,7,0.01,[4541473307.221852]
F42013,10,7,0.1,[2194326373.3660216]
F42013,10,7,0.2,[449601956.482874]
F42013,10,7,0.3,[4140796.3955286117]
F42013,10,7,0.4,[45678.84442479465]
F42013,10,7,0.5,[42566.22737781804]
F42013,10,7,0.6,[32314.353970017397]
F42013,10,7,0.7,[25851.960296421792]
F42013,10,7,0.8,[21740.12331438101]
F42013,10,7,0.9,[18594.102400049433]
F42013,10,7,1.0,[15645.482829130573]
F42013,10,8,0.01,[4541473307.221852]
F42013,10,8,0.1,[2194326373.3660216]
F42013,10,8,0.2,[449601956.482874]
F42013,10,8,0.3,[4140796.3955286117]
F42013,10,8,0.4,[45678.84442479465]
F42013,10,8,0.5,[42566.22737781804]
F42013,10,8,0.6,[32314.353970017397]
F42013,10,8,0.7,[25851.960296421792]
F42013,10,8,0.8,[21740.12331438101]
F42013,10,8,0.9,[18594.102400049433]
F42013,10,8,1.0,[15645.482829130573]
F42013,10,9,0.01,[4541473307.221852]
F42013,10,9,0.1,[2194326373.3660216]
F42013,10,9,0.2,[449601956.482874]
F42013,10,9,0.3,[4140796.3955286117]
F42013,10,9,0.4,[45678.84442479465]
F42013,10,9,0.5,[42566.22737781804]
