function,dimension,run,checkpoint,error
F62013,10,0,0.01,[9572.503535889144]
F62013,10,0,0.1,[6512.032043648536]
F62013,10,0,0.2,[4652.453497601494]
F62013,10,0,0.3,[3511.7652127655506]
F62013,10,0,0.4,[2715.596081797618]
F62013,10,0,0.5,[2113.734081295048]
F62013,10,0,0.6,[1623.4282218818814]
F62013,10,0,0.7,[1228.8371592719288]
F62013,10,0,0.8,[934.6848252738911]
F62013,10,0,0.9,[720.187423675207]
F62013,10,0,1.0,[566.0421153740592]
F62013,10,1,0.01,[4718.784081949534]
F62013,10,1,0.1,[2824.5516613630302]
F62013,10,1,0.2,[1639.5140996269988]
F62013,10,1,0.3,[930.5470039819636]
F62013,10,1,0.4,[537.3798223655032]
F62013,10,1,0.5,[324.40927003840363]
F62013,10,1,0.6,[195.662943853382]
F62013,10,1,0.7,[102.5810525190758]
F62013,10,1,0.8,[38.00671505279195]
F62013,10,1,0.9,[10.73758903729788]
F62013,10,1,1.0,[2.814605194844603]
F62013,10,2,0.01,[2291.965036756643]
F62013,10,2,0.1,[1291.9277807902322]
F62013,10,2,0.2,[768.0413831852728]
F62013,10,2,0.3,[480.6590452101943]
F62013,10,2,0.4,[329.19484367477753]
F62013,10,2,0.5,[246.3549781432116]
F62013,10,2,0.6,[196.08628902199575]
F62013,10,2,0.7,[158.99987207918116]
F62013,10,2,0.8,[128.45277805150045]
F62013,10,2,0.9,[96.00288447802654]
F62013,10,2,1.0,[60.06149362706492]
F62013,10,3,0.01,[7954.419131262407]
F62013,10,3,0.1,[5441.59240299424]
F62013,10,3,0.2,[3826.5446866349284]
F62013,10,3,0.3,[2778.5463084323787]
F62013,10,3,0.4,[1977.7205101411755]
F62013,10,3,0.5,[1320.7134156685902]
F62013,10,3,0.6,[821.6721318075897]
F62013,10,3,0.7,[498.9967656406305]
F62013,10,3,0.8,[310.4269290760433]
F62013,10,3,0.9,[202.542018631598]
F62013,10,3,1.0,[141.55602057288547]
F62013,10,4,0.01,[5655.959090226911]
F62013,10,4,0.1,[3590.7324737158806]
F62013,10,4,0.2,[2238.734332670933]
F62013,10,4,0.3,[1417.766083681766]
F62013,10,4,0.4,[906.436504048333]
F62013,10,4,0.5,[583.1902100232659]
F62013,10,4,0.6,[380.8914513239903]
F62013,10,4,0.7,[260.9589968975655]
F62013,10,4,0.8,[195.92855374588248]
F62013,10,4,0.9,[162.11852972113957]
F62013,10,4,1.0,[142.303695055964]
F62013,10,5,0.01,[19455.077039688047]
F62013,10,5,0.1,[13239.873713343219]
F62013,10,5,0.2,[9120.442739470092]
F62013,10,5,0.3,[6443.726120304252]
F62013,10,5,0.4,[4648.269746219267]
F62013,10,5,0.5,[3407.767677044177]
F62013,10,5,0.6,[2518.2662702858415]
F62013,10,5,0.7,[1858.7161124418901]
F62013,10,5,0.8,[1360.7293462791804]
F62013,10,5,0.9,[984.2657277563644]
F62013,10,5,1.0,[702.0548347765728]
F62013,10,6,0.01,[28654.62335834536]
F62013,10,6,0.1,[21086.953383389704]
F62013,10,6,0.2,[15229.429887825632]
F62013,10,6,0.3,[11054.932809291651]
F62013,10,6,0.4,[8018.6112765956395]
F62013,10,6,0.5,[5794.2620030904645]
F62013,10,6,0.6,[4171.210425226227]
F62013,10,6,0.7,[2999.170403254449]
F62013,10,6,0.8,[2162.3312764344]
F62013,10,6,0.9,[1567.8057535424011]
F62013,10,6,1.0,[1141.5095258908793]
F62013,10,7,0.01,[28694.433571726324]
F62013,10,7,0.1,[20024.86692863415]
F62013,10,7,0.2,[13846.234475232239]
F62013,10,7,0.3,[9584.97466720813]
F62013,10,7,0.4,[6571.67082883752]
F62013,10,7,0.5,[4443.979368451942]
F62013,10,7,0.6,[2956.281117735056]
F62013,10,7,0.7,[1931.533411608235]
F62013,10,7,0.8,[1239.8673492211185]
F62013,10,7,0.9,[786.3470615235088]
F62013,10,7,1.0,[500.8463264957079]
F62013,10,8,0.01,[10232.19661681926]
F62013,10,8,0.1,[6783.735819475657]
F62013,10,8,0.2,[4457.539661124929]
F62013,10,8,0.3,[2993.6918702020134]
F62013,10,8,0.4,[2020.6667215964767]
F62013,10,8,0.5,[1365.09352145724]
F62013,10,8,0.6,[928.966678889437]
F62013,10,8,0.7,[642.6588725045228]
F62013,10,8,0.8,[455.02798588428266]
F62013,10,8,0.9,[328.4567098903193]
F62013,10,8,1.0,[239.31898556132865]
F62013,10,9,0.01,[17315.709747552086]
F62013,10,9,0.1,[13042.447648047468]
F62013,10,9,0.2,[9661.186628656473]
F62013,10,9,0.3,[7195.074658710024]
F62013,10,9,0.4,[5407.066898009782]
F62013,10,9,0.5,[4089.6141940896364]
F62013,10,9,0.6,[3110.173571325406]
F62013,10,9,0.7,[2371.561568147904]
F62013,10,9,0.8,[1765.825686171398]
F62013,10,9,0.9,[1290.771712060345]
F62013,10,9,1.0,[986.191960504699]
F62013,10,10,0.01,[16614.827358023755]
F62013,10,10,0.1,[11637.036267930476]
F62013,10,10,0.2,[7942.859262907637]
F62013,10,10,0.3,[5432.214355336564]
F62013,10,10,0.4,[3700.8439537447507]
F62013,10,10,0.5,[2509.3570887731967]
F62013,10,10,0.6,[1696.4769570647454]
F62013,10,10,0.7,[1149.1628538253735]
F62013,10,10,0.8,[780.0032220357668]
F62013,10,10,0.9,[538.6785721887156]
F62013,10,10,1.0,[385.1798040731951]
F62013,10,11,0.01,[13712.030983997563]
F62013,10,11,0.1,[9605.077463839998]
F62013,10,11,0.2,[6812.757896936743]
F62013,10,11,0.3,[4916.9954440866695]
F62013,10,11,0.4,[3551.7789755211634]
F62013,10,11,0.5,[2542.9230132012476]
F62013,10,11,0.6,[1819.9684307766108]
F62013,10,11,0.7,[1345.2544507989164]
F62013,10,11,0.8,[1035.3611877528306]
F62013,10,11,0.9,[814.360978849269]
F62013,10,11,1.0,[640.9692900409383]
F62013,10,12,0.01,[32626.0070375281]
F62013,10,12,0.1,[22897.35072046692]
F62013,10,12,0.2,[16015.345896354542]
F62013,10,12,0.3,[11535.372768656393]
F62013,10,12,0.4,[8378.537966193295]
F62013,10,12,0.5,[6027.962697717235]
F62013,10,12,0.6,[4279.34153628172]
F62013,10,12,0.7,[3005.5366190612085]
F62013,10,12,0.8,[2106.9833622946758]
F62013,10,12,0.9,[1496.9194164505118]
F62013,10,12,1.0,[1097.0581976702128]
F62013,10,13,0.01,[4368.65875107506]
F62013,10,13,0.1,[2668.5956996430473]
F62013,10,13,0.2,[1629.8049263564758]
F62013,10,13,0.3,[1032.7469433523434]
F62013,10,13,0.4,[672.8453837874818]
F62013,10,13,0.5,[451.8156127880543]
F62013,10,13,0.6,[315.97454849325686]
F62013,10,13,0.7,[232.03517560472142]
F62013,10,13,0.8,[177.86225704599053]
F62013,10,13,0.9,[139.5215365096534]
F62013,10,13,1.0,[109.42400903131102]
F62013,10,14,0.01,[6026.454541797738]
F62013,10,14,0.1,[3765.6969693078545]
F62013,10,14,0.2,[2369.835397375555]
F62013,10,14,0.3,[1590.7673939114793]
F62013,10,14,0.4,[1136.5214554662134]
F62013,10,14,0.5,[874.226154827264]
F62013,10,14,0.6,[717.8200978530317]
F62013,10,14,0.7,[615.6016078720978]
F62013,10,14,0.8,[541.8433395550105]
F62013,10,14,0.9,[484.1916305706801]
F62013,10,14,1.0,[436.2527338274325]
F62013,10,15,0.01,[39610.16714465769]
F62013,10,15,0.1,[28296.34956886775]
F62013,10,15,0.2,[19701.111515095712]
F62013,10,15,0.3,[13756.43113533515]
F62013,10,15,0.4,[9571.83007607066]
F62013,10,15,0.5,[6607.5196086999495]
F62013,10,15,0.6,[4511.3922603980645]
F62013,10,15,0.7,[3038.447691882566]
F62013,10,15,0.8,[2011.5872796302328]
F62013,10,15,0.9,[1301.9339171830031]
F62013,10,15,1.0,[817.0013547256431]
F62013,10,16,0.01,[26104.34403856541]
F62013,10,16,0.1,[18475.8361067676]
F62013,10,16,0.2,[12929.161005265421]
