function,dimension,run,checkpoint,error
F12013,10,0,0.01,[45114.50758434607]
F12013,10,0,0.1,[6801.464396283877]
F12013,10,0,0.2,[309.8645647273827]
F12013,10,0,0.3,[2.4243724344532893]
F12013,10,0,0.4,[0.001029904191454989]
F12013,10,0,0.5,[0]
F12013,10,0,0.6,[0]
F12013,10,0,0.7,[0]
F12013,10,0,0.8,[0]
F12013,10,0,0.9,[0]
F12013,10,0,1.0,[0]
F12013,10,1,0.01,[59566.263000447245]
F12013,10,1,0.1,[7697.6726932109195]
F12013,10,1,0.2,[397.7212718187866]
F12013,10,1,0.3,[5.627864321108518]
F12013,10,1,0.4,[0.006866457044452545]
F12013,10,1,0.5,[1.2274472283024807e-07]
F12013,10,1,0.6,[0]
F12013,10,1,0.7,[0]
F12013,10,1,0.8,[0]
F12013,10,1,0.9,[0]
F12013,10,1,1.0,[0]
F12013,10,2,0.01,[51804.08443110489]
F12013,10,2,0.1,[5109.662552313655]
F12013,10,2,0.2,[141.34944633267833]
F12013,10,2,0.3,[0.7246380932851935]
F12013,10,2,0.4,[0.00015685834250689368]
F12013,10,2,0.5,[0]
F12013,10,2,0.6,[0]
F12013,10,2,0.7,[0]
F12013,10,2,0.8,[0]
F12013,10,2,0.9,[0]
F12013,10,2,1.0,[0]
F12013,10,3,0.01,[47098.16306389925]
F12013,10,3,0.1,[8099.471322791009]
F12013,10,3,0.2,[969.9904593292073]
F12013,10,3,0.3,[43.702486717251304]
F12013,10,3,0.4,[0.290168508173565]
F12013,10,3,0.5,[8.490669620186964e-05]
F12013,10,3,0.6,[0]
F12013,10,3,0.7,[0]
F12013,10,3,0.8,[0]
F12013,10,3,0.9,[0]
F12013,10,3,1.0,[0]
F12013,10,4,0.01,[45447.25375821559]
F12013,10,4,0.1,[5113.136074549329]
F12013,10,4,0.2,[210.62214351647003]
F12013,10,4,0.3,[1.9903313677509686]
F12013,10,4,0.4,[0.0010491139528312488]
F12013,10,4,0.5,[0]
F12013,10,4,0.6,[0]
F12013,10,4,0.7,[0]
F12013,10,4,0.8,[0]
F12013,10,4,0.9,[0]
F12013,10,4,1.0,[0]
F12013,10,5,0.01,[40333.19619184442]
F12013,10,5,0.1,[3029.4785672739017]
F12013,10,5,0.2,[29.917190431164045]
F12013,10,5,0.3,[0.016233711334280088]
F12013,10,5,0.4,[9.486302587902173e-08]
F12013,10,5,0.5,[0]
F12013,10,5,0.6,[0]
F12013,10,5,0.7,[0]
F12013,10,5,0.8,[0]
F12013,10,5,0.9,[0]
F12013,10,5,1.0,[0]
F12013,10,6,0.01,[48315.04254775446]
F12013,10,6,0.1,[8444.508497467876]
F12013,10,6,0.2,[784.5271200733407]
F12013,10,6,0.3,[26.726436150210247]
F12013,10,6,0.4,[0.11918994887491863]
F12013,10,6,0.5,[1.8135180880562984e-05]
F12013,10,6,0.6,[0]
F12013,10,6,0.7,[0]
F12013,10,6,0.8,[0]
F12013,10,6,0.9,[0]
F12013,10,6,1.0,[0]
F12013,10,7,0.01,[71172.44054755413]
