function,dimension,run,checkpoint,error
F122013,10,0,0.01,[719.635447309026]
F122013,10,0,0.1,[718.2575908047703]
F122013,10,0,0.2,[718.2575917289367]
F122013,10,0,0.3,[718.2576053339184]
F122013,10,0,0.4,[718.2576822215534]
F122013,10,0,0.5,[718.2577024901742]
F122013,10,0,0.6,[718.2575941544153]
F122013,10,0,0.7,[718.2604993130599]
F122013,10,0,0.8,[718.2579990420788]
F122013,10,0,0.9,[718.2582577916786]
F122013,10,0,1.0,[718.2587129634071]
F122013,10,1,0.01,[264.8065901939237]
F122013,10,1,0.1,[264.6539918790046]
F122013,10,1,0.2,[264.67273398270345]
F122013,10,1,0.3,[264.65438725114967]
F122013,10,1,0.4,[264.6539865687175]
F122013,10,1,0.5,[264.65429186879777]
F122013,10,1,0.6,[264.65412306301783]
F122013,10,1,0.7,[264.6539871902101]
F122013,10,1,0.8,[264.65399948907327]
F122013,10,1,0.9,[264.667060568975]
F122013,10,1,1.0,[264.65400898462667]
F122013,10,2,0.01,[448.84117226615354]
F122013,10,2,0.1,[447.7144267794589]
F122013,10,2,0.2,[447.7148706893199]
F122013,10,2,0.3,[447.7143321757828]
F122013,10,2,0.4,[447.7148828213082]
F122013,10,2,0.5,[447.7148532804305]
F122013,10,2,0.6,[447.71538648612545]
F122013,10,2,0.7,[447.71436957380365]
F122013,10,2,0.8,[447.7147452100663]
F122013,10,2,0.9,[447.7181249419143]
F122013,10,2,1.0,[447.71436917044554]
F122013,10,3,0.01,[465.4301485594892]
F122013,10,3,0.1,[464.6185729308034]
F122013,10,3,0.2,[464.61849145880075]
F122013,10,3,0.3,[464.6779452362617]
F122013,10,3,0.4,[464.6184765200959]
F122013,10,3,0.5,[464.63237966440397]
F122013,10,3,0.6,[464.61847672309597]
F122013,10,3,0.7,[464.61848232775264]
F122013,10,3,0.8,[464.61855536935093]
F122013,10,3,0.9,[464.6188501945806]
F122013,10,3,1.0,[464.6186183843458]
F122013,10,4,0.01,[3484.3218055118864]
F122013,10,4,0.1,[1241.5311936622963]
F122013,10,4,0.2,[1241.5291941479038]
F122013,10,4,0.3,[1241.5964345357108]
F122013,10,4,0.4,[1241.522937348509]
F122013,10,4,0.5,[1241.5190945206475]
F122013,10,4,0.6,[1241.5189993543395]
