function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,1.0870346310598455e+26,3.61406834123002e+26,2.8276969130781327e+19,1.675832721152213e+27,26579213950.41205
F32013,10,0.1,5.110687780363491e+23,1.6804595851106184e+24,1.2552923305576715e+17,7.754623443161896e+24,13244885636.578358
F32013,10,0.2,4.686650925495138e+21,1.5349041664049094e+22,2358102305289833.5,6.9216314443601755e+22,162095.18109002814
F32013,10,0.3,4.183982577953677e+19,1.3708433724898558e+20,26637186409980.137,6.148917350998956e+20,6333.863222114637
F32013,10,0.4,3.8905456369027725e+17,1.2883981186728916e+18,241516406420.11948,5.903056217403946e+18,141.05430033329253
F32013,10,0.5,3810937494975675.0,1.2197589855276988e+16,30990533783.3323,5.022125171320422e+16,3458.4756814950297
F32013,10,0.6,54915346259306.875,181115074113595.06,2192291565.4440246,1006220506863778.1,196.8438864226748
F32013,10,0.7,610730873305.0608,1963212786455.9224,87160.58026716772,10042942332546.338,13.384555873336694
F32013,10,0.8,12318360496.53352,39898370235.383705,38595.99109391845,202162292450.65137,0.37559062859918413
F32013,10,0.9,2542449721.368385,8564873289.519892,22387.66653907233,49454569296.18445,16.555751218989826
F32013,10,1.0,48284700.15884274,210443114.5376346,36579.33573397164,1438204476.583766,5409.5984241572105
F32013,30,0.01,4.102975611368939e+35,2.9009184832868006e+36,2.747326363301342e+24,2.092288875372728e+37,3.943478344788426e+17
F32013,30,0.1,1.964925358523863e+33,1.3892894052361455e+34,1.2916277233714329e+22,1.002025209481696e+35,1370969006072713.2
F32013,30,0.2,1.3806673977909642e+31,9.761958644607303e+31,1.291716227943254e+20,7.04081387153263e+32,15995471874935.7
F32013,30,0.3,9.665733801745806e+28,6.834136832789883e+29,1.303329609496895e+18,4.9291218205956735e+30,222950207815.3472
F32013,30,0.4,6.848049561800755e+26,4.8419131576964214e+27,1.266528053622859e+16,3.492230113298933e+28,71463681656.01657
F32013,30,0.5,4.794095599214899e+24,3.389634708523172e+25,84181043666771.78,2.4447746355829286e+26,785.9721843835041
F32013,30,0.6,3.2332195395758904e+22,2.2859793670764333e+23,925925813042.9594,1.648763698756239e+24,4.546030586279812
F32013,30,0.7,2.248211269182609e+20,1.589525900941118e+21,56523842734.097145,1.1464466481498905e+22,0.3592319269187101
F32013,30,0.8,2.8317748833814185e+18,2.002214185300799e+19,70233830.27641988,1.444096973261784e+20,0.0007449074794294575
F32013,30,0.9,3.1809420071967424e+16,2.24894220947917e+17,176955.82128182767,1.622051692047123e+18,0.18544578142200407
F32013,30,1.0,270559605207173.03,1912691966933622.5,156799.01913876677,1.3795333952874036e+16,714.992441974506
F32013,50,0.01,1.0188390930506352e+36,5.939361182060909e+36,3.1403201246569907e+24,4.1865884871732593e+37,9.84302858947724e+17
F32013,50,0.1,7.72070212781403e+33,4.483121380803799e+34,3.0175303151071825e+22,3.156121677918814e+35,3449283934532144.0
F32013,50,0.2,5.116598641856372e+31,2.9554982711223475e+32,2.1804146972899158e+20,2.0766079906315092e+33,25131685951362.02
F32013,50,0.3,3.35266642629254e+29,1.9321706064839722e+30,2.0753333823203425e+18,1.3563670114275963e+31,974478704350.0615
F32013,50,0.4,2.1818137081682173e+27,1.2572501539651196e+28,2.7859192377244964e+16,8.825420151157916e+28,135812170332.04338
F32013,50,0.5,1.4093881631576623e+25,8.119332094813127e+25,464512657349894.3,5.70114255288853e+26,33170958.24045854
F32013,50,0.6,1.1457225383042577e+23,6.765481571720043e+23,4516168764428.553,4.790473987534586e+24,343.5592287063698
F32013,50,0.7,8.813677309398597e+20,5.32058691099846e+21,210393694796.36145,3.7900175523561565e+22,3269.2792695884523
F32013,50,0.8,5.796548175695864e+18,3.52965097607806e+19,17015679167.681585,2.5199508681347642e+20,2.109123373264083
F32013,50,0.9,1.4313328831945434e+17,9.477680795926624e+17,63630760.60994306,6.829955710967002e+18,6.201682864269969
F32013,50,1.0,2253091120179118.5,1.4776835040933632e+16,2782401.4309702017,1.0642445547948334e+17,0.003162002056114943
