function,dimension,run,checkpoint,error
F72013,10,0,0.01,[9280923513.480915]
F72013,10,0,0.1,[1350739076.440392]
F72013,10,0,0.2,[747184403.082404]
F72013,10,0,0.3,[747184381.2726305]
F72013,10,0,0.4,[273857056.0316662]
F72013,10,0,0.5,[195145140.37358546]
F72013,10,0,0.6,[193100770.66751605]
F72013,10,0,0.7,[140829397.9481528]
F72013,10,0,0.8,[174674050.41466314]
F72013,10,0,0.9,[89330142.41347305]
F72013,10,0,1.0,[89204331.95659515]
F72013,10,1,0.01,[23023687859.688133]
F72013,10,1,0.1,[7243634691.692254]
F72013,10,1,0.2,[3595281068.79388]
F72013,10,1,0.3,[9966122286.021065]
F72013,10,1,0.4,[1232879423.336628]
F72013,10,1,0.5,[1773910068.8248582]
F72013,10,1,0.6,[1060858202.8681931]
F72013,10,1,0.7,[1092848169.332603]
F72013,10,1,0.8,[888442262.8897834]
F72013,10,1,0.9,[640910960.7740347]
F72013,10,1,1.0,[201433918.12621966]
F72013,10,2,0.01,[48611401.393387035]
F72013,10,2,0.1,[25959485.384662014]
F72013,10,2,0.2,[15613292.195705697]
F72013,10,2,0.3,[15991697.653054906]
F72013,10,2,0.4,[11189741.105558572]
F72013,10,2,0.5,[11198804.387415782]
F72013,10,2,0.6,[5950829.8787733065]
F72013,10,2,0.7,[3168987.4371640966]
F72013,10,2,0.8,[2460984.824208436]
F72013,10,2,0.9,[2428713.273142653]
F72013,10,2,1.0,[2356782.6963531408]
F72013,10,3,0.01,[100157134.74363478]
F72013,10,3,0.1,[32608903.05913743]
F72013,10,3,0.2,[27530968.564740997]
F72013,10,3,0.3,[27530887.998087786]
F72013,10,3,0.4,[27530760.862541456]
F72013,10,3,0.5,[27530565.32671423]
F72013,10,3,0.6,[27530267.16040744]
F72013,10,3,0.7,[27529814.030642204]
F72013,10,3,0.8,[27529129.00243492]
F72013,10,3,0.9,[27528095.310453102]
F72013,10,3,1.0,[26199619.65452598]
F72013,10,4,0.01,[24925571.882190224]
F72013,10,4,0.1,[14813033.682141809]
F72013,10,4,0.2,[14812510.985053213]
F72013,10,4,0.3,[14811808.199958213]
F72013,10,4,0.4,[15431064.943682771]
F72013,10,4,0.5,[1561043.987351088]
F72013,10,4,0.6,[1560911.6189244802]
F72013,10,4,0.7,[1560710.1035928442]
F72013,10,4,0.8,[1560404.0793761814]
F72013,10,4,0.9,[1559939.0358814509]
F72013,10,4,1.0,[1559231.10723883]
F72013,10,5,0.01,[2644360160999.604]
F72013,10,5,0.1,[562040754059.925]
F72013,10,5,0.2,[104570025052.83824]
F72013,10,5,0.3,[85416496766.96664]
F72013,10,5,0.4,[84708155639.27982]
F72013,10,5,0.5,[82206917978.5859]
F72013,10,5,0.6,[79525878431.09297]
F72013,10,5,0.7,[85948457166.5826]
F72013,10,5,0.8,[9462756881.741068]
F72013,10,5,0.9,[7638440387.813495]
F72013,10,5,1.0,[4626685961.5386505]
F72013,10,6,0.01,[17263077007062.543]
F72013,10,6,0.1,[1796293464963.796]
F72013,10,6,0.2,[1796293465040.5103]
F72013,10,6,0.3,[689840165416.855]
F72013,10,6,0.4,[422114043957.5329]
F72013,10,6,0.5,[411618716053.12524]
F72013,10,6,0.6,[413412756877.8503]
F72013,10,6,0.7,[264079036777.96555]
F72013,10,6,0.8,[181852145762.70715]
F72013,10,6,0.9,[72836346975.47935]
F72013,10,6,1.0,[85983273466.8715]
F72013,10,7,0.01,[5417249257650384.0]
F72013,10,7,0.1,[565207993865213.2]
F72013,10,7,0.2,[397698560035870.06]
F72013,10,7,0.3,[567782993680193.1]
F72013,10,7,0.4,[181940216327430.75]
F72013,10,7,0.5,[75185011702950.02]
F72013,10,7,0.6,[58746061234694.97]
F72013,10,7,0.7,[58746024779998.695]
F72013,10,7,0.8,[26882201001318.52]
F72013,10,7,0.9,[26248812725314.027]
F72013,10,7,1.0,[26248812265961.49]
F72013,10,8,0.01,[12497506902.916895]
F72013,10,8,0.1,[2307613087.244228]
F72013,10,8,0.2,[2722140494.1187744]
F72013,10,8,0.3,[685495486.3272239]
F72013,10,8,0.4,[685440709.9057101]
F72013,10,8,0.5,[685359376.3653498]
F72013,10,8,0.6,[749755001.9341248]
F72013,10,8,0.7,[806053951.4906083]
F72013,10,8,0.8,[836319751.4243693]
F72013,10,8,0.9,[251605700.168452]
F72013,10,8,1.0,[247989696.05101088]
F72013,10,9,0.01,[5.015793365711384e+17]
F72013,10,9,0.1,[1.8789997582208936e+16]
F72013,10,9,0.2,[1.931357519849012e+16]
F72013,10,9,0.3,[1.8536566253142036e+16]
F72013,10,9,0.4,[4358445147114722.5]
F72013,10,9,0.5,[2048846879947962.2]
F72013,10,9,0.6,[1544242190087667.8]
F72013,10,9,0.7,[3139231866521226.5]
F72013,10,9,0.8,[1284920854811831.5]
F72013,10,9,0.9,[1284920492550402.2]
F72013,10,9,1.0,[1284919932619373.2]
F72013,10,10,0.01,[641540222.6487203]
F72013,10,10,0.1,[593873384.4496745]
F72013,10,10,0.2,[647950398.2315556]
F72013,10,10,0.3,[73676567.1873295]
F72013,10,10,0.4,[73519424.84321]
F72013,10,10,0.5,[33694502.58608052]
F72013,10,10,0.6,[33654543.20797005]
F72013,10,10,0.7,[40845075.84320943]
F72013,10,10,0.8,[7468729.010853374]
F72013,10,10,0.9,[7287615.774385523]
F72013,10,10,1.0,[10610895.323438304]
F72013,10,11,0.01,[1759680174.0384567]
F72013,10,11,0.1,[598429402.5724715]
F72013,10,11,0.2,[708869858.822985]
F72013,10,11,0.3,[728372811.1928034]
F72013,10,11,0.4,[144900381.978316]
F72013,10,11,0.5,[144585141.79036185]
F72013,10,11,0.6,[143866355.0564381]
F72013,10,11,0.7,[68426783.33747897]
F72013,10,11,0.8,[82746941.8241203]
F72013,10,11,0.9,[24597031.253133938]
F72013,10,11,1.0,[28040624.452406324]
F72013,10,12,0.01,[39178251.16362798]
F72013,10,12,0.1,[38709823.64440625]
F72013,10,12,0.2,[25728810.81362557]
F72013,10,12,0.3,[25164140.037620295]
F72013,10,12,0.4,[6850259.211709892]
F72013,10,12,0.5,[3662479.988143907]
F72013,10,12,0.6,[3299517.4924279335]
F72013,10,12,0.7,[2380574.9368633484]
F72013,10,12,0.8,[1045182.7870102805]
F72013,10,12,0.9,[1044150.5977044662]
F72013,10,12,1.0,[1048804.505589402]
F72013,10,13,0.01,[13109471331613.732]
F72013,10,13,0.1,[58221600167222.79]
F72013,10,13,0.2,[59252347597153.59]
F72013,10,13,0.3,[54913042818263.766]
F72013,10,13,0.4,[76896491624287.5]
F72013,10,13,0.5,[38011610095421.516]
F72013,10,13,0.6,[27035597309762.348]
F72013,10,13,0.7,[105468836672297.4]
F72013,10,13,0.8,[37094173397934.29]
F72013,10,13,0.9,[11037173941066.21]
F72013,10,13,1.0,[24155636780662.758]
F72013,10,14,0.01,[170147517.75179112]
F72013,10,14,0.1,[23874871.296622615]
F72013,10,14,0.2,[23874084.740872614]
F72013,10,14,0.3,[23872818.662680406]
F72013,10,14,0.4,[14281653.719926776]
F72013,10,14,0.5,[14277695.241046375]
F72013,10,14,0.6,[14010556.419971757]
F72013,10,14,0.7,[300347.3427517898]
F72013,10,14,0.8,[299496.80986647244]
F72013,10,14,0.9,[298264.8283972844]
F72013,10,14,1.0,[296508.17944456456]
F72013,10,15,0.01,[157183811041.67307]
F72013,10,15,0.1,[100490183879.79901]
F72013,10,15,0.2,[16821461815.227236]
F72013,10,15,0.3,[16693438388.129154]
F72013,10,15,0.4,[11965712156.523823]
F72013,10,15,0.5,[12284105796.462946]
F72013,10,15,0.6,[5463455308.738347]
F72013,10,15,0.7,[4554486952.739127]
F72013,10,15,0.8,[1840906084.8402114]
F72013,10,15,0.9,[2076928361.7307]
F72013,10,15,1.0,[2274368504.800293]
F72013,10,16,0.01,[20143153.968389723]
F72013,10,16,0.1,[17941930.58942042]
F72013,10,16,0.2,[16048005.43244663]
F72013,10,16,0.3,[5663708.225761355]
F72013,10,16,0.4,[5628188.583641595]
F72013,10,16,0.5,[4662338.156690455]
F72013,10,16,0.6,[5417204.471305378]
F72013,10,16,0.7,[1407201.3693974102]
F72013,10,16,0.8,[1397317.8391065383]
F72013,10,16,0.9,[965829.8763239963]
F72013,10,16,1.0,[1030553.5772054513]
F72013,10,17,0.01,[206493.73094089964]
F72013,10,17,0.1,[195348.6907802932]
F72013,10,17,0.2,[186934.9775547869]
F72013,10,17,0.3,[226194.81060237813]
F72013,10,17,0.4,[31242.237139414177]
F72013,10,17,0.5,[27564.99897381743]
F72013,10,17,0.6,[25527.92963676741]
F72013,10,17,0.7,[24793.965620044255]
F72013,10,17,0.8,[24646.507962669984]
F72013,10,17,0.9,[27372.102953234007]
F72013,10,17,1.0,[27718.08870686286]
F72013,10,18,0.01,[2340508563.338815]
F72013,10,18,0.1,[1575590309.484322]
F72013,10,18,0.2,[453423702.8792587]
F72013,10,18,0.3,[847630854.156252]
F72013,10,18,0.4,[120935935.04085107]
F72013,10,18,0.5,[120573484.16672596]
F72013,10,18,0.6,[76307427.63329595]
F72013,10,18,0.7,[73829015.1034011]
F72013,10,18,0.8,[75594000.67076993]
F72013,10,18,0.9,[97597815.158675]
F72013,10,18,1.0,[198430170.58994484]
F72013,10,19,0.01,[2958786028.2337213]
F72013,10,19,0.1,[1017691846.0733802]
F72013,10,19,0.2,[1010898342.5853186]
F72013,10,19,0.3,[844357957.1881547]
F72013,10,19,0.4,[844351544.7847176]
F72013,10,19,0.5,[889434362.8387854]
F72013,10,19,0.6,[982456497.4842204]
F72013,10,19,0.7,[11679120.644855957]
F72013,10,19,0.8,[11679105.652850771]
F72013,10,19,0.9,[11679082.912333319]
F72013,10,19,1.0,[11679048.384956105]
F72013,10,20,0.01,[2934604902448088.5]
F72013,10,20,0.1,[611801860155402.5]
F72013,10,20,0.2,[423055592339553.7]
F72013,10,20,0.3,[335064070164303.25]
F72013,10,20,0.4,[224626576182211.6]
F72013,10,20,0.5,[126989372038483.12]
F72013,10,20,0.6,[112984650210949.67]
F72013,10,20,0.7,[112972569598601.17]
F72013,10,20,0.8,[112972566291489.78]
F72013,10,20,0.9,[114017783181372.77]
F72013,10,20,1.0,[18250208163400.7]
F72013,10,21,0.01,[89200161064148.52]
F72013,10,21,0.1,[4131968207412.846]
F72013,10,21,0.2,[4131744438030.0923]
F72013,10,21,0.3,[4680409105460.244]
F72013,10,21,0.4,[1115976313594.2817]
F72013,10,21,0.5,[1115515501824.1028]
F72013,10,21,0.6,[1143741573221.576]
F72013,10,21,0.7,[489454265109.45264]
F72013,10,21,0.8,[489445538262.53375]
F72013,10,21,0.9,[269389105491.8033]
F72013,10,21,1.0,[266525924381.76404]
F72013,10,22,0.01,[312176.51429599914]
F72013,10,22,0.1,[308920.24975536973]
F72013,10,22,0.2,[306769.05854331853]
F72013,10,22,0.3,[303504.7093068994]
F72013,10,22,0.4,[298464.53612379986]
F72013,10,22,0.5,[291603.73718250904]
F72013,10,22,0.6,[283561.20202275267]
F72013,10,22,0.7,[277223.5449614946]
F72013,10,22,0.8,[282733.4342682323]
F72013,10,22,0.9,[264132.18244558276]
F72013,10,22,1.0,[266485.3298747376]
F72013,10,23,0.01,[743592471.0348276]
F72013,10,23,0.1,[380410567.4769461]
F72013,10,23,0.2,[69209152.97855146]
F72013,10,23,0.3,[101870650.31944561]
F72013,10,23,0.4,[58002042.79369867]
F72013,10,23,0.5,[10787869.500044074]
F72013,10,23,0.6,[10760714.939338084]
F72013,10,23,0.7,[10724946.277697604]
F72013,10,23,0.8,[17277351.37845614]
F72013,10,23,0.9,[17667346.903967235]
F72013,10,23,1.0,[8890229.848935386]
F72013,10,24,0.01,[232439234.35981584]
F72013,10,24,0.1,[227247512.84916914]
F72013,10,24,0.2,[47556352.72003987]
F72013,10,24,0.3,[43253626.61229504]
F72013,10,24,0.4,[43243805.0596621]
F72013,10,24,0.5,[43228555.200616926]
F72013,10,24,0.6,[43204965.41954823]
F72013,10,24,0.7,[43168327.60703883]
F72013,10,24,0.8,[23213720.948628258]
F72013,10,24,0.9,[6828587.7051952295]
F72013,10,24,1.0,[7005534.036715633]
F72013,10,25,0.01,[45691894.165184446]
F72013,10,25,0.1,[14129032.51151197]
F72013,10,25,0.2,[17273034.69369074]
F72013,10,25,0.3,[14600000.590693211]
F72013,10,25,0.4,[7352916.327030552]
F72013,10,25,0.5,[4276008.560311318]
F72013,10,25,0.6,[4263102.429521934]
F72013,10,25,0.7,[5015532.721746277]
F72013,10,25,0.8,[1657775.962436979]
F72013,10,25,0.9,[2212169.5823944192]
F72013,10,25,1.0,[756074.2305718325]
F72013,10,26,0.01,[16042475742.757439]
F72013,10,26,0.1,[2506218571.2814736]
F72013,10,26,0.2,[382677680.14004517]
F72013,10,26,0.3,[378515722.189264]
F72013,10,26,0.4,[378515375.2446314]
F72013,10,26,0.5,[378514840.87445194]
F72013,10,26,0.6,[417845705.097069]
F72013,10,26,0.7,[428309053.65883666]
F72013,10,26,0.8,[3852100231.6596017]
F72013,10,26,0.9,[3847690131.540855]
F72013,10,26,1.0,[3840757019.126219]
F72013,10,27,0.01,[2027104769.7251613]
F72013,10,27,0.1,[205105261.04226565]
F72013,10,27,0.2,[213288642.20801675]
F72013,10,27,0.3,[112463065.97441486]
F72013,10,27,0.4,[80195462.84392668]
F72013,10,27,0.5,[82252412.438697]
F72013,10,27,0.6,[96662770.57446252]
F72013,10,27,0.7,[36018571.51870948]
F72013,10,27,0.8,[36004797.01165237]
F72013,10,27,0.9,[23554921.568969604]
F72013,10,27,1.0,[13385349.871626232]
F72013,10,28,0.01,[5370789216.125308]
F72013,10,28,0.1,[5265442942.526267]
F72013,10,28,0.2,[15774692.576986106]
F72013,10,28,0.3,[11702107.31739731]
F72013,10,28,0.4,[11685760.26946955]
F72013,10,28,0.5,[11664967.842053428]
F72013,10,28,0.6,[11641080.349492822]
F72013,10,28,0.7,[11616912.301001702]
F72013,10,28,0.8,[11595754.576222485]
F72013,10,28,0.9,[11578736.064180076]
F72013,10,28,1.0,[11563321.026389927]
F72013,10,29,0.01,[1987484494.5834167]
