function,dimensions,checkpoint,mean,std,median,max,min
F52013,10,0.01,12605.900438852534,25786.75664432533,508.9805446858119,103200.467775498,0.13033894151942604
F52013,10,0.1,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.2,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.3,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.4,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.5,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.6,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.7,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.8,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,0.9,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,10,1.0,12124.548325851509,25908.540512462994,1.8780269783746917e-08,103200.467775498,0
F52013,30,0.01,269183.4679861137,552619.7223828485,44584.43214099374,3108252.365258652,2516.5688509257425
F52013,30,0.1,64561.31169379154,124772.0015436117,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.2,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.3,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.4,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.5,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.6,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.7,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.8,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,0.9,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,30,1.0,64561.31169379124,124772.00154361183,2480.0101286674108,547349.1411840456,1.6236072042374872e-08
F52013,50,0.01,202381.1477900855,451796.6834127521,80538.74016849758,3040283.2731260783,15316.168492050105
F52013,50,0.1,27140.710746806388,45698.93286441365,3931.6358322413384,182095.41993240555,5.739453854403109e-07
F52013,50,0.2,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.3,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.4,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.5,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.6,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.7,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.8,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,0.9,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
F52013,50,1.0,27140.71071005456,45698.93288624065,3931.6358322413384,182095.41993240555,2.0283664525777567e-08
