function,dimension,run,checkpoint,error
F22013,10,0,0.01,[225086493.3756635]
F22013,10,0,0.1,[38679711.328596324]
F22013,10,0,0.2,[38679711.328596324]
F22013,10,0,0.3,[38679711.328596324]
F22013,10,0,0.4,[38679711.328596324]
F22013,10,0,0.5,[38679711.328596324]
F22013,10,0,0.6,[38679711.328596324]
F22013,10,0,0.7,[38679711.328596324]
F22013,10,0,0.8,[38679711.328596324]
F22013,10,0,0.9,[38679711.328596324]
F22013,10,0,1.0,[38679711.328596324]
F22013,10,1,0.01,[1046732073.7792457]
F22013,10,1,0.1,[1046732073.7792457]
F22013,10,1,0.2,[1046732073.7792457]
F22013,10,1,0.3,[1046732073.7792457]
F22013,10,1,0.4,[1046732073.7792457]
F22013,10,1,0.5,[1046732073.7792457]
F22013,10,1,0.6,[1046732073.7792457]
F22013,10,1,0.7,[1046732073.7792457]
F22013,10,1,0.8,[1046732073.7792457]
F22013,10,1,0.9,[1046732073.7792457]
F22013,10,1,1.0,[1046732073.7792457]
F22013,10,2,0.01,[1479719329.158648]
F22013,10,2,0.1,[1479719329.158648]
F22013,10,2,0.2,[1479719329.158648]
F22013,10,2,0.3,[1479719329.158648]
F22013,10,2,0.4,[1479719329.158648]
F22013,10,2,0.5,[1479719329.158648]
F22013,10,2,0.6,[1479719329.158648]
F22013,10,2,0.7,[1479719329.158648]
F22013,10,2,0.8,[1479719329.158648]
F22013,10,2,0.9,[1479719329.158648]
F22013,10,2,1.0,[1479719329.158648]
F22013,10,3,0.01,[1385953839.736845]
F22013,10,3,0.1,[1385953839.736845]
F22013,10,3,0.2,[1385953839.736845]
F22013,10,3,0.3,[1385953839.736845]
F22013,10,3,0.4,[1385953839.736845]
F22013,10,3,0.5,[1385953839.736845]
F22013,10,3,0.6,[1385953839.736845]
F22013,10,3,0.7,[1385953839.736845]
F22013,10,3,0.8,[1385953839.736845]
F22013,10,3,0.9,[1385953839.736845]
F22013,10,3,1.0,[1385953839.736845]
F22013,10,4,0.01,[250582611.70401362]
F22013,10,4,0.1,[250582611.70401362]
F22013,10,4,0.2,[250582611.70401362]
F22013,10,4,0.3,[250582611.70401362]
F22013,10,4,0.4,[250582611.70401362]
F22013,10,4,0.5,[250582611.70401362]
F22013,10,4,0.6,[250582611.70401362]
F22013,10,4,0.7,[250582611.70401362]
F22013,10,4,0.8,[250582611.70401362]
F22013,10,4,0.9,[250582611.70401362]
F22013,10,4,1.0,[250582611.70401362]
F22013,10,5,0.01,[1438275444.039391]
F22013,10,5,0.1,[1438275444.039391]
F22013,10,5,0.2,[1438275444.039391]
F22013,10,5,0.3,[1438275444.039391]
F22013,10,5,0.4,[1438275444.039391]
F22013,10,5,0.5,[1438275444.039391]
F22013,10,5,0.6,[1438275444.039391]
F22013,10,5,0.7,[1438275444.039391]
F22013,10,5,0.8,[1438275444.039391]
F22013,10,5,0.9,[1438275444.039391]
F22013,10,5,1.0,[1438275444.039391]
F22013,10,6,0.01,[170741227.33014017]
F22013,10,6,0.1,[172284130.4737045]
F22013,10,6,0.2,[172284130.4737045]
F22013,10,6,0.3,[172284130.4737045]
F22013,10,6,0.4,[172284130.4737045]
F22013,10,6,0.5,[172284130.4737045]
F22013,10,6,0.6,[172284130.4737045]
F22013,10,6,0.7,[172284130.4737045]
F22013,10,6,0.8,[172284130.4737045]
F22013,10,6,0.9,[172284130.4737045]
F22013,10,6,1.0,[172284130.4737045]
F22013,10,7,0.01,[309464199.46238613]
F22013,10,7,0.1,[309464199.46238613]
F22013,10,7,0.2,[309464199.46238613]
F22013,10,7,0.3,[309464199.46238613]
F22013,10,7,0.4,[309464199.46238613]
F22013,10,7,0.5,[309464199.46238613]
F22013,10,7,0.6,[309464199.46238613]
F22013,10,7,0.7,[309464199.46238613]
F22013,10,7,0.8,[309464199.46238613]
F22013,10,7,0.9,[309464199.46238613]
F22013,10,7,1.0,[309464199.46238613]
F22013,10,8,0.01,[371322984.5569262]
F22013,10,8,0.1,[371277927.7549538]
F22013,10,8,0.2,[371277927.7549538]
F22013,10,8,0.3,[371277927.7549538]
F22013,10,8,0.4,[371277927.7549538]
F22013,10,8,0.5,[371277927.7549538]
F22013,10,8,0.6,[371277927.7549538]
F22013,10,8,0.7,[371277927.7549538]
F22013,10,8,0.8,[371277927.7549538]
F22013,10,8,0.9,[371277927.7549538]
F22013,10,8,1.0,[371277927.7549538]
F22013,10,9,0.01,[1324049828.067509]
F22013,10,9,0.1,[1324049828.067509]
F22013,10,9,0.2,[1324049828.067509]
F22013,10,9,0.3,[1324049828.067509]
F22013,10,9,0.4,[1324049828.067509]
F22013,10,9,0.5,[1324049828.067509]
F22013,10,9,0.6,[1324049828.067509]
F22013,10,9,0.7,[1324049828.067509]
F22013,10,9,0.8,[1324049828.067509]
F22013,10,9,0.9,[1324049828.067509]
F22013,10,9,1.0,[1324049828.067509]
F22013,10,10,0.01,[178729218.3484264]
F22013,10,10,0.1,[186660152.22800714]
F22013,10,10,0.2,[186660152.22800714]
F22013,10,10,0.3,[186660152.22800714]
F22013,10,10,0.4,[186660152.22800714]
F22013,10,10,0.5,[186660152.22800714]
F22013,10,10,0.6,[186660152.22800714]
F22013,10,10,0.7,[186660152.22800714]
F22013,10,10,0.8,[186660152.22800714]
F22013,10,10,0.9,[186660152.22800714]
F22013,10,10,1.0,[186660152.22800714]
F22013,10,11,0.01,[978588720.3551863]
F22013,10,11,0.1,[978588720.3551863]
F22013,10,11,0.2,[978588720.3551863]
F22013,10,11,0.3,[978588720.3551863]
F22013,10,11,0.4,[978588720.3551863]
F22013,10,11,0.5,[978588720.3551863]
F22013,10,11,0.6,[978588720.3551863]
F22013,10,11,0.7,[978588720.3551863]
F22013,10,11,0.8,[978588720.3551863]
F22013,10,11,0.9,[978588720.3551863]
F22013,10,11,1.0,[978588720.3551863]
F22013,10,12,0.01,[655984228.6752799]
F22013,10,12,0.1,[655984228.6752799]
F22013,10,12,0.2,[655984228.6752799]
F22013,10,12,0.3,[655984228.6752799]
F22013,10,12,0.4,[655984228.6752799]
F22013,10,12,0.5,[655984228.6752799]
F22013,10,12,0.6,[655984228.6752799]
F22013,10,12,0.7,[655984228.6752799]
F22013,10,12,0.8,[655984228.6752799]
F22013,10,12,0.9,[655984228.6752799]
F22013,10,12,1.0,[655984228.6752799]
F22013,10,13,0.01,[341619605.5767177]
F22013,10,13,0.1,[341652875.595664]
F22013,10,13,0.2,[341652875.595664]
F22013,10,13,0.3,[341652875.595664]
F22013,10,13,0.4,[341652875.595664]
F22013,10,13,0.5,[341652875.595664]
F22013,10,13,0.6,[341652875.595664]
F22013,10,13,0.7,[341652875.595664]
F22013,10,13,0.8,[341652875.595664]
F22013,10,13,0.9,[341652875.595664]
F22013,10,13,1.0,[341652875.595664]
F22013,10,14,0.01,[691090632.9925762]
F22013,10,14,0.1,[415198536.84604573]
F22013,10,14,0.2,[415198536.84604573]
F22013,10,14,0.3,[415198536.84604573]
F22013,10,14,0.4,[415198536.84604573]
F22013,10,14,0.5,[415198536.84604573]
F22013,10,14,0.6,[415198536.84604573]
F22013,10,14,0.7,[415198536.84604573]
F22013,10,14,0.8,[415198536.84604573]
F22013,10,14,0.9,[415198536.84604573]
F22013,10,14,1.0,[415198536.84604573]
F22013,10,15,0.01,[400420155.09175026]
F22013,10,15,0.1,[400522598.6221245]
F22013,10,15,0.2,[400522598.6221245]
F22013,10,15,0.3,[400522598.6221245]
F22013,10,15,0.4,[400522598.6221245]
F22013,10,15,0.5,[400522598.6221245]
F22013,10,15,0.6,[400522598.6221245]
F22013,10,15,0.7,[400522598.6221245]
F22013,10,15,0.8,[400522598.6221245]
F22013,10,15,0.9,[400522598.6221245]
F22013,10,15,1.0,[400522598.6221245]
F22013,10,16,0.01,[4715925346.942531]
F22013,10,16,0.1,[5104893733.352832]
F22013,10,16,0.2,[5104893733.352832]
F22013,10,16,0.3,[5104893733.352832]
F22013,10,16,0.4,[5104893733.352832]
F22013,10,16,0.5,[5104893733.352832]
F22013,10,16,0.6,[5104893733.352832]
F22013,10,16,0.7,[5104893733.352832]
F22013,10,16,0.8,[5104893733.352832]
F22013,10,16,0.9,[5104893733.352832]
F22013,10,16,1.0,[5104893733.352832]
F22013,10,17,0.01,[374672135.63315123]
F22013,10,17,0.1,[374672135.63315123]
F22013,10,17,0.2,[374672135.63315123]
F22013,10,17,0.3,[374672135.63315123]
F22013,10,17,0.4,[374672135.63315123]
F22013,10,17,0.5,[374672135.63315123]
F22013,10,17,0.6,[374672135.63315123]
F22013,10,17,0.7,[374672135.63315123]
F22013,10,17,0.8,[374672135.63315123]
F22013,10,17,0.9,[374672135.63315123]
F22013,10,17,1.0,[374672135.63315123]
F22013,10,18,0.01,[1458878872.145944]
F22013,10,18,0.1,[1458878872.145944]
F22013,10,18,0.2,[1458878872.145944]
F22013,10,18,0.3,[1458878872.145944]
F22013,10,18,0.4,[1458878872.145944]
F22013,10,18,0.5,[1458878872.145944]
F22013,10,18,0.6,[1458878872.145944]
F22013,10,18,0.7,[1458878872.145944]
F22013,10,18,0.8,[1458878872.145944]
F22013,10,18,0.9,[1458878872.145944]
F22013,10,18,1.0,[1458878872.145944]
F22013,10,19,0.01,[1478696557.2302496]
F22013,10,19,0.1,[1478696557.2302496]
F22013,10,19,0.2,[1478696557.2302496]
F22013,10,19,0.3,[1478696557.2302496]
F22013,10,19,0.4,[1478696557.2302496]
F22013,10,19,0.5,[1478696557.2302496]
