function,dimension,run,checkpoint,error
F62013,10,0,0.01,[7449.765599231928]
F62013,10,0,0.1,[0]
F62013,10,0,0.2,[0]
F62013,10,0,0.3,[0]
F62013,10,0,0.4,[0]
F62013,10,0,0.5,[0]
F62013,10,0,0.6,[0]
F62013,10,0,0.7,[0]
F62013,10,0,0.8,[0]
F62013,10,0,0.9,[0]
F62013,10,0,1.0,[0]
F62013,10,1,0.01,[660.1765107643092]
F62013,10,1,0.1,[163.33746381988976]
F62013,10,1,0.2,[163.33746381988976]
F62013,10,1,0.3,[163.33746381988976]
F62013,10,1,0.4,[163.33746381988976]
F62013,10,1,0.5,[163.33746381988976]
F62013,10,1,0.6,[163.33746381988976]
F62013,10,1,0.7,[163.33746381988976]
F62013,10,1,0.8,[163.33746381988976]
F62013,10,1,0.9,[163.33746381988976]
F62013,10,1,1.0,[163.33746381988976]
F62013,10,2,0.01,[2000.419326909529]
F62013,10,2,0.1,[142.265367502887]
F62013,10,2,0.2,[142.265367502887]
F62013,10,2,0.3,[142.265367502887]
F62013,10,2,0.4,[142.265367502887]
F62013,10,2,0.5,[142.265367502887]
F62013,10,2,0.6,[142.265367502887]
F62013,10,2,0.7,[142.265367502887]
F62013,10,2,0.8,[142.265367502887]
F62013,10,2,0.9,[142.265367502887]
F62013,10,2,1.0,[142.265367502887]
F62013,10,3,0.01,[465.1985338571318]
F62013,10,3,0.1,[465.198533857132]
F62013,10,3,0.2,[465.198533857132]
F62013,10,3,0.3,[465.198533857132]
F62013,10,3,0.4,[465.198533857132]
F62013,10,3,0.5,[465.198533857132]
F62013,10,3,0.6,[465.198533857132]
F62013,10,3,0.7,[465.198533857132]
F62013,10,3,0.8,[465.198533857132]
F62013,10,3,0.9,[465.198533857132]
F62013,10,3,1.0,[465.198533857132]
F62013,10,4,0.01,[373.551667560263]
F62013,10,4,0.1,[70.77430194063334]
F62013,10,4,0.2,[70.77430194063334]
F62013,10,4,0.3,[70.77430194063334]
F62013,10,4,0.4,[70.77430194063334]
F62013,10,4,0.5,[70.77430194063334]
F62013,10,4,0.6,[70.77430194063334]
F62013,10,4,0.7,[70.77430194063334]
F62013,10,4,0.8,[70.77430194063334]
F62013,10,4,0.9,[70.77430194063334]
F62013,10,4,1.0,[70.77430194063334]
F62013,10,5,0.01,[135.69557837153877]
F62013,10,5,0.1,[135.69557837153866]
F62013,10,5,0.2,[135.69557837153866]
F62013,10,5,0.3,[135.69557837153866]
F62013,10,5,0.4,[135.69557837153866]
F62013,10,5,0.5,[135.69557837153866]
F62013,10,5,0.6,[135.69557837153866]
F62013,10,5,0.7,[135.69557837153866]
F62013,10,5,0.8,[135.69557837153866]
F62013,10,5,0.9,[135.69557837153866]
F62013,10,5,1.0,[135.69557837153866]
F62013,10,6,0.01,[60959.12825405276]
F62013,10,6,0.1,[12.191155468543457]
F62013,10,6,0.2,[12.191155468543457]
F62013,10,6,0.3,[12.191155468543457]
F62013,10,6,0.4,[12.191155468543457]
F62013,10,6,0.5,[12.191155468543457]
F62013,10,6,0.6,[12.191155468543457]
F62013,10,6,0.7,[12.191155468543457]
F62013,10,6,0.8,[12.191155468543457]
F62013,10,6,0.9,[12.191155468543457]
F62013,10,6,1.0,[12.191155468543457]
F62013,10,7,0.01,[28234.467725093902]
F62013,10,7,0.1,[23.30858479834569]
F62013,10,7,0.2,[23.30858479834569]
F62013,10,7,0.3,[23.30858479834569]
F62013,10,7,0.4,[23.30858479834569]
F62013,10,7,0.5,[23.30858479834569]
F62013,10,7,0.6,[23.30858479834569]
F62013,10,7,0.7,[23.30858479834569]
F62013,10,7,0.8,[23.30858479834569]
F62013,10,7,0.9,[23.30858479834569]
F62013,10,7,1.0,[23.30858479834569]
F62013,10,8,0.01,[4194.934427459456]
F62013,10,8,0.1,[140.20400771679533]
F62013,10,8,0.2,[140.20400771679533]
F62013,10,8,0.3,[140.20400771679533]
F62013,10,8,0.4,[140.20400771679533]
F62013,10,8,0.5,[140.20400771679533]
F62013,10,8,0.6,[140.20400771679533]
F62013,10,8,0.7,[140.20400771679533]
F62013,10,8,0.8,[140.20400771679533]
F62013,10,8,0.9,[140.20400771679533]
F62013,10,8,1.0,[140.20400771679533]
F62013,10,9,0.01,[7770.243789738577]
F62013,10,9,0.1,[138.42269983320386]
F62013,10,9,0.2,[138.42269983320386]
F62013,10,9,0.3,[138.42269983320386]
F62013,10,9,0.4,[138.42269983320386]
F62013,10,9,0.5,[138.42269983320386]
F62013,10,9,0.6,[138.42269983320386]
F62013,10,9,0.7,[138.42269983320386]
F62013,10,9,0.8,[138.42269983320386]
F62013,10,9,0.9,[138.42269983320386]
F62013,10,9,1.0,[138.42269983320386]
F62013,10,10,0.01,[10900.960732705464]
F62013,10,10,0.1,[349.61575592260795]
F62013,10,10,0.2,[349.61575592260795]
F62013,10,10,0.3,[349.61575592260795]
F62013,10,10,0.4,[349.61575592260795]
F62013,10,10,0.5,[349.61575592260795]
F62013,10,10,0.6,[349.61575592260795]
F62013,10,10,0.7,[349.61575592260795]
F62013,10,10,0.8,[349.61575592260795]
F62013,10,10,0.9,[349.61575592260795]
F62013,10,10,1.0,[349.61575592260795]
F62013,10,11,0.01,[479.030433311409]
F62013,10,11,0.1,[267.37468116996774]
F62013,10,11,0.2,[267.37468116996774]
F62013,10,11,0.3,[267.37468116996774]
F62013,10,11,0.4,[267.37468116996774]
F62013,10,11,0.5,[267.37468116996774]
F62013,10,11,0.6,[267.37468116996774]
F62013,10,11,0.7,[267.37468116996774]
F62013,10,11,0.8,[267.37468116996774]
F62013,10,11,0.9,[267.37468116996774]
F62013,10,11,1.0,[267.37468116996774]
F62013,10,12,0.01,[1146.745471641228]
F62013,10,12,0.1,[17.29308573139849]
F62013,10,12,0.2,[17.29308573139849]
F62013,10,12,0.3,[17.29308573139849]
F62013,10,12,0.4,[17.29308573139849]
F62013,10,12,0.5,[17.29308573139849]
F62013,10,12,0.6,[17.29308573139849]
F62013,10,12,0.7,[17.29308573139849]
F62013,10,12,0.8,[17.29308573139849]
F62013,10,12,0.9,[17.29308573139849]
F62013,10,12,1.0,[17.29308573139849]
F62013,10,13,0.01,[223.44044617656073]
F62013,10,13,0.1,[223.44044617656073]
F62013,10,13,0.2,[223.44044617656073]
F62013,10,13,0.3,[223.44044617656073]
F62013,10,13,0.4,[223.44044617656073]
F62013,10,13,0.5,[223.44044617656073]
F62013,10,13,0.6,[223.44044617656073]
F62013,10,13,0.7,[223.44044617656073]
F62013,10,13,0.8,[223.44044617656073]
F62013,10,13,0.9,[223.44044617656073]
F62013,10,13,1.0,[223.44044617656073]
F62013,10,14,0.01,[109.62702392471817]
F62013,10,14,0.1,[109.6270236150342]
F62013,10,14,0.2,[109.6270236150342]
F62013,10,14,0.3,[109.6270236150342]
F62013,10,14,0.4,[109.6270236150342]
F62013,10,14,0.5,[109.6270236150342]
F62013,10,14,0.6,[109.6270236150342]
F62013,10,14,0.7,[109.6270236150342]
F62013,10,14,0.8,[109.6270236150342]
F62013,10,14,0.9,[109.6270236150342]
F62013,10,14,1.0,[109.6270236150342]
F62013,10,15,0.01,[4660.877864561551]
F62013,10,15,0.1,[45.522489942839115]
F62013,10,15,0.2,[45.522489942839115]
F62013,10,15,0.3,[45.522489942839115]
F62013,10,15,0.4,[45.522489942839115]
F62013,10,15,0.5,[45.522489942839115]
F62013,10,15,0.6,[45.522489942839115]
F62013,10,15,0.7,[45.522489942839115]
F62013,10,15,0.8,[45.522489942839115]
F62013,10,15,0.9,[45.522489942839115]
F62013,10,15,1.0,[45.522489942839115]
F62013,10,16,0.01,[956.3199416316335]
F62013,10,16,0.1,[956.3199416316346]
F62013,10,16,0.2,[956.3199416316346]
F62013,10,16,0.3,[956.3199416316346]
F62013,10,16,0.4,[956.3199416316346]
F62013,10,16,0.5,[956.3199416316346]
F62013,10,16,0.6,[956.3199416316346]
F62013,10,16,0.7,[956.3199416316346]
F62013,10,16,0.8,[956.3199416316346]
F62013,10,16,0.9,[956.3199416316346]
F62013,10,16,1.0,[956.3199416316346]
F62013,10,17,0.01,[1637.9426535308048]
F62013,10,17,0.1,[638.1700074973662]
F62013,10,17,0.2,[638.1700074973662]
F62013,10,17,0.3,[638.1700074973662]
F62013,10,17,0.4,[638.1700074973662]
F62013,10,17,0.5,[638.1700074973662]
F62013,10,17,0.6,[638.1700074973662]
F62013,10,17,0.7,[638.1700074973662]
F62013,10,17,0.8,[638.1700074973662]
F62013,10,17,0.9,[638.1700074973662]
F62013,10,17,1.0,[638.1700074973662]
F62013,10,18,0.01,[224.40964640321067]
F62013,10,18,0.1,[224.40964640321067]
F62013,10,18,0.2,[224.40964640321067]
