function,dimensions,checkpoint,mean,std,median,max,min
F42013,10,0.01,564394066.9088409,1219094282.1502373,25747089.577363666,6437551919.164172,5.635538400383666e-07
F42013,10,0.1,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.2,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.3,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.4,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.5,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.6,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.7,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.8,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,0.9,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,10,1.0,451339672.1002148,895468438.2653707,25747089.577363666,4870558222.162402,1.3041972124483436e-07
F42013,30,0.01,295977508.1776712,790914299.8886777,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.1,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.2,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.3,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.4,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.5,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.6,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.7,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.8,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,0.9,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,30,1.0,296114071.26415837,790874248.4655004,18850229.192859996,4740216339.901189,2.0437050807231572e-07
F42013,50,0.01,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.675876658031484e-07
F42013,50,0.1,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.2,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.3,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.4,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.5,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.6,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.7,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.8,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,0.9,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
F42013,50,1.0,448458614.1396073,1218548230.6741629,29920875.175398733,7050572302.352198,2.612521257105982e-07
