function,dimension,run,checkpoint,error
F212013,10,0,0.01,"[1430.7212913534981, 0.025381803512573242]"
F212013,10,0,0.1,"[300.8702092892156, 0.23042082786560059]"
F212013,10,0,0.2,"[300.00338729628663, 0.4567406177520752]"
F212013,10,0,0.3,"[300.0000075557566, 0.6818792819976807]"
F212013,10,0,0.4,"[300.0000008578842, 0.7932674884796143]"
F212013,10,0,0.5,"[300.0000008578842, 0.7932705879211426]"
F212013,10,0,0.6,"[300.0000008578842, 0.7932724952697754]"
F212013,10,0,0.7,"[300.0000008578842, 0.7932741641998291]"
F212013,10,0,0.8,"[300.0000008578842, 0.7932755947113037]"
F212013,10,0,0.9,"[300.0000008578842, 0.7932772636413574]"
F212013,10,0,1.0,"[300.0000008578842, 0.7932791709899902]"
F212013,10,1,0.01,"[426.93516574724754, 0.02547144889831543]"
F212013,10,1,0.1,"[400.0222116385521, 0.23151111602783203]"
F212013,10,1,0.2,"[400.00002296574985, 0.45685482025146484]"
F212013,10,1,0.3,"[400.00000155906105, 0.54903244972229]"
F212013,10,1,0.4,"[400.00000155906105, 0.5490353107452393]"
F212013,10,1,0.5,"[400.00000155906105, 0.5490372180938721]"
F212013,10,1,0.6,"[400.00000155906105, 0.5490388870239258]"
F212013,10,1,0.7,"[400.00000155906105, 0.5490405559539795]"
F212013,10,1,0.8,"[400.00000155906105, 0.5490424633026123]"
F212013,10,1,0.9,"[400.00000155906105, 0.5490438938140869]"
F212013,10,1,1.0,"[400.00000155906105, 0.5490460395812988]"
F212013,10,2,0.01,"[465.6381461922824, 0.025547504425048828]"
F212013,10,2,0.1,"[201.53324213072165, 0.23053503036499023]"
F212013,10,2,0.2,"[200.00961236070873, 0.4559664726257324]"
F212013,10,2,0.3,"[200.00001980086734, 0.6820363998413086]"
F212013,10,2,0.4,"[200.000000480753, 0.8425822257995605]"
F212013,10,2,0.5,"[200.000000480753, 0.8425853252410889]"
F212013,10,2,0.6,"[200.000000480753, 0.8425872325897217]"
F212013,10,2,0.7,"[200.000000480753, 0.8425886631011963]"
F212013,10,2,0.8,"[200.000000480753, 0.8425910472869873]"
F212013,10,2,0.9,"[200.000000480753, 0.842592716217041]"
F212013,10,2,1.0,"[200.000000480753, 0.8425943851470947]"
F212013,10,3,0.01,"[461.2294094882757, 0.02523517608642578]"
F212013,10,3,0.1,"[400.0567380363632, 0.2315511703491211]"
F212013,10,3,0.2,"[400.0003336900859, 0.45806145668029785]"
F212013,10,3,0.3,"[400.00000656576776, 0.6835076808929443]"
F212013,10,3,0.4,"[400.00000128725446, 0.7654423713684082]"
F212013,10,3,0.5,"[400.00000128725446, 0.7654457092285156]"
F212013,10,3,0.6,"[400.00000128725446, 0.7654476165771484]"
F212013,10,3,0.7,"[400.00000128725446, 0.7654492855072021]"
F212013,10,3,0.8,"[400.00000128725446, 0.7654507160186768]"
F212013,10,3,0.9,"[400.00000128725446, 0.7654528617858887]"
F212013,10,3,1.0,"[400.00000128725446, 0.7654542922973633]"
F212013,10,4,0.01,"[817.5375844166151, 0.025506258010864258]"
F212013,10,4,0.1,"[400.1516903136462, 0.23138833045959473]"
F212013,10,4,0.2,"[400.0011382257012, 0.45711565017700195]"
F212013,10,4,0.3,"[400.00001222349215, 0.6842455863952637]"
F212013,10,4,0.4,"[400.00000540948076, 0.7469449043273926]"
F212013,10,4,0.5,"[400.00000540948076, 0.7469482421875]"
F212013,10,4,0.6,"[400.00000540948076, 0.7469501495361328]"
F212013,10,4,0.7,"[400.00000540948076, 0.7469515800476074]"
F212013,10,4,0.8,"[400.00000540948076, 0.7469534873962402]"
F212013,10,4,0.9,"[400.00000540948076, 0.746955156326294]"
F212013,10,4,1.0,"[400.00000540948076, 0.7469568252563477]"
F212013,10,5,0.01,"[903.6159442791038, 0.025574445724487305]"
F212013,10,5,0.1,"[400.11985046591894, 0.2295677661895752]"
F212013,10,5,0.2,"[400.0013522587801, 0.45478272438049316]"
F212013,10,5,0.3,"[400.00001421558886, 0.679314374923706]"
F212013,10,5,0.4,"[400.00000447308275, 0.7527594566345215]"
F212013,10,5,0.5,"[400.00000447308275, 0.7527625560760498]"
F212013,10,5,0.6,"[400.00000447308275, 0.7527647018432617]"
F212013,10,5,0.7,"[400.00000447308275, 0.7527661323547363]"
F212013,10,5,0.8,"[400.00000447308275, 0.7527682781219482]"
F212013,10,5,0.9,"[400.00000447308275, 0.752770185470581]"
F212013,10,5,1.0,"[400.00000447308275, 0.7527718544006348]"
F212013,10,6,0.01,"[721.629341940949, 0.02577519416809082]"
F212013,10,6,0.1,"[400.34422920990573, 0.23122119903564453]"
F212013,10,6,0.2,"[400.00247365164705, 0.45743441581726074]"
F212013,10,6,0.3,"[400.00004494796076, 0.6821589469909668]"
F212013,10,6,0.4,"[400.0000029477387, 0.8215396404266357]"
F212013,10,6,0.5,"[400.0000029477387, 0.8215432167053223]"
F212013,10,6,0.6,"[400.0000029477387, 0.8215456008911133]"
F212013,10,6,0.7,"[400.0000029477387, 0.8215470314025879]"
F212013,10,6,0.8,"[400.0000029477387, 0.8215487003326416]"
F212013,10,6,0.9,"[400.0000029477387, 0.8215503692626953]"
F212013,10,6,1.0,"[400.0000029477387, 0.8215522766113281]"
F212013,10,7,0.01,"[413.65067212349186, 0.025313854217529297]"
F212013,10,7,0.1,"[400.02614322924865, 0.23102164268493652]"
F212013,10,7,0.2,"[400.0001543626745, 0.4577343463897705]"
F212013,10,7,0.3,"[400.00000187149817, 0.6544539928436279]"
F212013,10,7,0.4,"[400.00000187149817, 0.6544568538665771]"
F212013,10,7,0.5,"[400.00000187149817, 0.65445876121521]"
F212013,10,7,0.6,"[400.00000187149817, 0.6544604301452637]"
F212013,10,7,0.7,"[400.00000187149817, 0.6544618606567383]"
F212013,10,7,0.8,"[400.00000187149817, 0.654463529586792]"
F212013,10,7,0.9,"[400.00000187149817, 0.6544651985168457]"
F212013,10,7,1.0,"[400.00000187149817, 0.6544671058654785]"
F212013,10,8,0.01,"[417.175902912893, 0.028670549392700195]"
F212013,10,8,0.1,"[400.08397538204804, 0.23462581634521484]"
F212013,10,8,0.2,"[400.0004751052045, 0.46033620834350586]"
F212013,10,8,0.3,"[400.0000019602626, 0.6869540214538574]"
F212013,10,8,0.4,"[400.0000013213148, 0.6925594806671143]"
F212013,10,8,0.5,"[400.0000013213148, 0.6925628185272217]"
F212013,10,8,0.6,"[400.0000013213148, 0.6925644874572754]"
F212013,10,8,0.7,"[400.0000013213148, 0.6925661563873291]"
F212013,10,8,0.8,"[400.0000013213148, 0.6925678253173828]"
F212013,10,8,0.9,"[400.0000013213148, 0.6925699710845947]"
F212013,10,8,1.0,"[400.0000013213148, 0.6925714015960693]"
F212013,10,9,0.01,"[578.1716331897758, 0.025180816650390625]"
F212013,10,9,0.1,"[400.03516731351374, 0.23051929473876953]"
F212013,10,9,0.2,"[400.0001816150948, 0.4561593532562256]"
F212013,10,9,0.3,"[400.0000015862936, 0.647597074508667]"
F212013,10,9,0.4,"[400.0000015862936, 0.6475999355316162]"
F212013,10,9,0.5,"[400.0000015862936, 0.6476020812988281]"
F212013,10,9,0.6,"[400.0000015862936, 0.6476039886474609]"
F212013,10,9,0.7,"[400.0000015862936, 0.6476056575775146]"
F212013,10,9,0.8,"[400.0000015862936, 0.6476070880889893]"
F212013,10,9,0.9,"[400.0000015862936, 0.6476089954376221]"
F212013,10,9,1.0,"[400.0000015862936, 0.6476106643676758]"
F212013,10,10,0.01,"[425.4981244989217, 0.024983644485473633]"
F212013,10,10,0.1,"[400.04476811592576, 0.23004603385925293]"
F212013,10,10,0.2,"[400.0009385687579, 0.4563004970550537]"
F212013,10,10,0.3,"[400.00000826061296, 0.6825766563415527]"
F212013,10,10,0.4,"[400.00000530447005, 0.7046909332275391]"
F212013,10,10,0.5,"[400.00000530447005, 0.7046940326690674]"
F212013,10,10,0.6,"[400.00000530447005, 0.7046959400177002]"
F212013,10,10,0.7,"[400.00000530447005, 0.7046976089477539]"
F212013,10,10,0.8,"[400.00000530447005, 0.7046988010406494]"
F212013,10,10,0.9,"[400.00000530447005, 0.7047009468078613]"
F212013,10,10,1.0,"[400.00000530447005, 0.7047023773193359]"
F212013,10,11,0.01,"[472.4771497952629, 0.025307416915893555]"
F212013,10,11,0.1,"[400.1270876195681, 0.22999978065490723]"
F212013,10,11,0.2,"[400.0015642213475, 0.4557924270629883]"
F212013,10,11,0.3,"[400.0000215497623, 0.6822812557220459]"
F212013,10,11,0.4,"[400.00000530657576, 0.756035327911377]"
F212013,10,11,0.5,"[400.00000530657576, 0.7560384273529053]"
F212013,10,11,0.6,"[400.00000530657576, 0.7560405731201172]"
F212013,10,11,0.7,"[400.00000530657576, 0.7560420036315918]"
F212013,10,11,0.8,"[400.00000530657576, 0.7560439109802246]"
F212013,10,11,0.9,"[400.00000530657576, 0.7560453414916992]"
F212013,10,11,1.0,"[400.00000530657576, 0.756047248840332]"
F212013,10,12,0.01,"[494.8299364402776, 0.025310516357421875]"
F212013,10,12,0.1,"[400.1177095695391, 0.22881293296813965]"
F212013,10,12,0.2,"[400.00122662544345, 0.45453405380249023]"
F212013,10,12,0.3,"[400.0000151800896, 0.6814007759094238]"
F212013,10,12,0.4,"[400.0000033364704, 0.7908675670623779]"
F212013,10,12,0.5,"[400.0000033364704, 0.7908713817596436]"
F212013,10,12,0.6,"[400.0000033364704, 0.7908735275268555]"
F212013,10,12,0.7,"[400.0000033364704, 0.7908749580383301]"
F212013,10,12,0.8,"[400.0000033364704, 0.7908766269683838]"
F212013,10,12,0.9,"[400.0000033364704, 0.7908785343170166]"
F212013,10,12,1.0,"[400.0000033364704, 0.7908804416656494]"
F212013,10,13,0.01,"[923.8733806388602, 0.025507688522338867]"
F212013,10,13,0.1,"[400.1191230703578, 0.23089599609375]"
F212013,10,13,0.2,"[400.00039287062623, 0.45885705947875977]"
F212013,10,13,0.3,"[400.0000050439794, 0.6852695941925049]"
F212013,10,13,0.4,"[400.00000080952395, 0.7431750297546387]"
F212013,10,13,0.5,"[400.00000080952395, 0.7431783676147461]"
F212013,10,13,0.6,"[400.00000080952395, 0.7431807518005371]"
F212013,10,13,0.7,"[400.00000080952395, 0.7431824207305908]"
F212013,10,13,0.8,"[400.00000080952395, 0.7431838512420654]"
F212013,10,13,0.9,"[400.00000080952395, 0.7431857585906982]"
F212013,10,13,1.0,"[400.00000080952395, 0.743187427520752]"
F212013,10,14,0.01,"[441.8960882982153, 0.02514338493347168]"
F212013,10,14,0.1,"[101.05043521654102, 0.23080801963806152]"
F212013,10,14,0.2,"[100.0073064239914, 0.4575803279876709]"
F212013,10,14,0.3,"[100.00002925875538, 0.6831605434417725]"
F212013,10,14,0.4,"[100.00000122515019, 0.8278872966766357]"
F212013,10,14,0.5,"[100.00000122515019, 0.8278903961181641]"
F212013,10,14,0.6,"[100.00000122515019, 0.8278923034667969]"
F212013,10,14,0.7,"[100.00000122515019, 0.8278942108154297]"
F212013,10,14,0.8,"[100.00000122515019, 0.8278958797454834]"
F212013,10,14,0.9,"[100.00000122515019, 0.8278980255126953]"
F212013,10,14,1.0,"[100.00000122515019, 0.8278994560241699]"
F212013,10,15,0.01,"[551.6373960136568, 0.025101661682128906]"
F212013,10,15,0.1,"[302.333241614685, 0.22919368743896484]"
F212013,10,15,0.2,"[300.00776704493023, 0.45406389236450195]"
F212013,10,15,0.3,"[300.00004705175274, 0.6779155731201172]"
F212013,10,15,0.4,"[300.00000220629477, 0.8254270553588867]"
F212013,10,15,0.5,"[300.00000220629477, 0.8254303932189941]"
F212013,10,15,0.6,"[300.00000220629477, 0.825432538986206]"
F212013,10,15,0.7,"[300.00000220629477, 0.8254339694976807]"
F212013,10,15,0.8,"[300.00000220629477, 0.8254356384277344]"
F212013,10,15,0.9,"[300.00000220629477, 0.8254373073577881]"
F212013,10,15,1.0,"[300.00000220629477, 0.8254392147064209]"
F212013,10,16,0.01,"[417.5881711723673, 0.02526235580444336]"
F212013,10,16,0.1,"[400.0219125198712, 0.22998785972595215]"
F212013,10,16,0.2,"[400.00021010839396, 0.4547762870788574]"
F212013,10,16,0.3,"[400.00000174646584, 0.6639349460601807]"
F212013,10,16,0.4,"[400.00000174646584, 0.663938045501709]"
F212013,10,16,0.5,"[400.00000174646584, 0.6639401912689209]"
F212013,10,16,0.6,"[400.00000174646584, 0.6639423370361328]"
F212013,10,16,0.7,"[400.00000174646584, 0.6639435291290283]"
F212013,10,16,0.8,"[400.00000174646584, 0.663945198059082]"
F212013,10,16,0.9,"[400.00000174646584, 0.6639468669891357]"
F212013,10,16,1.0,"[400.00000174646584, 0.6639490127563477]"
F212013,10,17,0.01,"[410.6202969382473, 0.053984880447387695]"
F212013,10,17,0.1,"[400.0107902057225, 0.3599834442138672]"
F212013,10,17,0.2,"[400.0000143823745, 0.5827171802520752]"
F212013,10,17,0.3,"[400.000001335997, 0.6365792751312256]"
F212013,10,17,0.4,"[400.000001335997, 0.6365823745727539]"
F212013,10,17,0.5,"[400.000001335997, 0.6365852355957031]"
F212013,10,17,0.6,"[400.000001335997, 0.636587381362915]"
F212013,10,17,0.7,"[400.000001335997, 0.6365890502929688]"
F212013,10,17,0.8,"[400.000001335997, 0.6365909576416016]"
F212013,10,17,0.9,"[400.000001335997, 0.6365931034088135]"
F212013,10,17,1.0,"[400.000001335997, 0.6365952491760254]"
F212013,10,18,0.01,"[1145.9391028020661, 0.05054283142089844]"
F212013,10,18,0.1,"[300.71039353811216, 0.3457624912261963]"
