function,dimensions,checkpoint,mean,std,median,max,min
F262013,10,0.01,494.3084114228142,245.22110218315,369.5102927593748,1124.4361496966367,204.53593546930324
F262013,10,0.1,362.5832725181957,129.51287085366644,344.73198465575297,741.9907335671162,174.6211918932829
F262013,10,0.2,334.84843994848165,106.74487852080384,341.04030780949915,663.1198681733513,174.6211918932829
F262013,10,0.3,327.44144959157677,106.60703081585045,339.1893952022599,663.1198681733513,174.6211918932829
F262013,10,0.4,326.93932376773824,106.48683929003708,338.5751974255593,663.1198681733513,174.6211918932829
F262013,10,0.5,326.86148002609394,106.47677360603193,338.5673326119561,663.1198681733513,174.6211918932829
F262013,10,0.6,326.26498205105537,106.40678061084898,337.46061979364526,663.1198681733513,174.6211918932829
F262013,10,0.7,322.93328501072466,107.72558173607467,336.4564963517264,663.1198681733513,174.6211918932829
F262013,10,0.8,322.82137457847733,107.71612403472005,335.7726191153995,663.1198681733513,174.6211918932829
F262013,10,0.9,322.41912358114587,107.66712250214742,332.7684542005791,663.1198681733513,174.6211918932829
F262013,10,1.0,322.3397755475367,107.65880776747397,332.7684542005791,663.1198681733513,174.6211918932829
F262013,30,0.01,16162.269476730376,42995.908910145066,1975.0543059693628,191365.13238284114,432.4130629057886
F262013,30,0.1,687.7750684948102,489.61101950338,456.5429407196639,2223.095622713131,200.25924562858813
F262013,30,0.2,644.6124763107726,458.9887197295327,454.02517111893667,2086.338922503547,200.0788300522156
F262013,30,0.3,628.6016880271293,456.19415292545165,454.02492742375375,2081.5410706861617,200.04605766619648
F262013,30,0.4,625.0252480600789,454.80917426257895,449.5920858843615,2070.809735542326,200.0292185112669
F262013,30,0.5,624.0273251020096,454.54443763625596,449.5917076550061,2064.5798144535484,200.0230723693678
F262013,30,0.6,623.1132257705158,454.7685432292433,447.0070126505359,2063.466555246513,200.01985783260534
F262013,30,0.7,600.2586238069113,421.9144974227938,446.7554430996406,2063.2389706747217,200.01715769294628
F262013,30,0.8,600.068194432106,421.92183656963454,446.7539531424118,2062.3354470404024,200.0154878732892
F262013,30,0.9,599.7729596069125,421.87658513314165,446.7421449305725,2062.1653103435565,200.01440288846698
F262013,30,1.0,599.7127838740782,421.8986305250822,446.04252133566615,2062.160854501534,200.01352016527244
F262013,50,0.01,32485.34877134471,102436.69264558834,4941.545111205506,535834.544742102,543.7070276860281
F262013,50,0.1,1546.8178896517065,1089.8461014950092,1324.9687570828137,3940.1446046058227,202.21405169874788
F262013,50,0.2,1422.216916404245,1051.8287142333231,1206.7618788137042,3902.300292932595,200.4365439584683
F262013,50,0.3,1345.8040511304896,1013.1766208372215,980.8178829239473,3902.3002737601983,200.1728496427113
F262013,50,0.4,1311.280963254163,990.177794082539,980.8178829202457,3902.300273730595,200.10184602344225
F262013,50,0.5,1292.4827373412936,985.8145876718576,966.4828153414037,3902.300273730595,200.06330195198257
F262013,50,0.6,1282.8428852718969,976.3902938730384,966.4828153414037,3902.300273730595,200.02964860405973
F262013,50,0.7,1273.3505348651056,977.6983507368103,966.4828153414037,3902.300273730595,200.0189640780875
F262013,50,0.8,1231.0363418988304,967.7457953394844,914.9925709633344,3902.300273730595,200.0144744034901
F262013,50,0.9,1207.4141633980653,959.3607231349146,914.9664266161035,3902.300273730595,200.01205824233375
F262013,50,1.0,1205.5026993781053,958.3857212893397,914.9649582004376,3902.300273730595,200.01052552048282
