function,dimension,run,checkpoint,error
F92013,10,0,0.01,"[19.323642375799295, 0.027584314346313477]"
F92013,10,0,0.1,"[18.377250924644272, 0.2503170967102051]"
F92013,10,0,0.2,"[11.495764124458901, 0.4963977336883545]"
F92013,10,0,0.3,"[11.488395586290721, 0.7448997497558594]"
F92013,10,0,0.4,"[11.488011212240963, 0.9964187145233154]"
F92013,10,0,0.5,"[11.097896876842924, 1.2447819709777832]"
F92013,10,0,0.6,"[11.097353481905543, 1.491978406906128]"
F92013,10,0,0.7,"[11.092752677684985, 1.7416317462921143]"
F92013,10,0,0.8,"[11.09269978055488, 1.9869930744171143]"
F92013,10,0,0.9,"[11.092699780553062, 2.233651876449585]"
F92013,10,0,1.0,"[11.092699780553062, 2.4834961891174316]"
F92013,10,1,0.01,"[14.53752661932333, 0.02772378921508789]"
F92013,10,1,0.1,"[14.513989766313102, 0.2506427764892578]"
F92013,10,1,0.2,"[14.475544101241212, 0.49726414680480957]"
F92013,10,1,0.3,"[14.475485492850225, 0.7442202568054199]"
F92013,10,1,0.4,"[14.475485488023082, 0.9959464073181152]"
F92013,10,1,0.5,"[14.475485488023082, 1.2440989017486572]"
F92013,10,1,0.6,"[14.475485488023082, 1.4909274578094482]"
F92013,10,1,0.7,"[14.475485488023082, 1.7413296699523926]"
F92013,10,1,0.8,"[14.475485488023082, 1.988429307937622]"
F92013,10,1,0.9,"[14.475485488023082, 2.2368950843811035]"
F92013,10,1,1.0,"[14.475485488023082, 2.490100383758545]"
F92013,10,2,0.01,"[12.406413822336845, 0.02769923210144043]"
F92013,10,2,0.1,"[12.374147252877151, 0.24940109252929688]"
F92013,10,2,0.2,"[12.374147252877151, 0.49462246894836426]"
F92013,10,2,0.3,"[12.374147252877151, 0.7401783466339111]"
F92013,10,2,0.4,"[11.58648777976373, 0.9875037670135498]"
F92013,10,2,0.5,"[10.669282375080229, 1.236351728439331]"
F92013,10,2,0.6,"[10.663824494877872, 1.4829511642456055]"
F92013,10,2,0.7,"[10.663104972966835, 1.730332851409912]"
F92013,10,2,0.8,"[10.662357619924705, 1.9759392738342285]"
F92013,10,2,0.9,"[10.662111122841338, 2.222290515899658]"
F92013,10,2,1.0,"[10.662111122841338, 2.471693754196167]"
F92013,10,3,0.01,"[20.06446628120284, 0.027582168579101562]"
F92013,10,3,0.1,"[20.06446628120284, 0.24919986724853516]"
F92013,10,3,0.2,"[18.539144683175095, 0.49500393867492676]"
F92013,10,3,0.3,"[16.155485622255355, 0.741060733795166]"
F92013,10,3,0.4,"[15.839142516176935, 0.9927363395690918]"
F92013,10,3,0.5,"[15.77747103808042, 1.2397656440734863]"
F92013,10,3,0.6,"[15.777298339257982, 1.4865195751190186]"
F92013,10,3,0.7,"[15.703125703856244, 1.7342453002929688]"
