function,dimensions,checkpoint,mean,std,median,max,min
F232013,10,0.01,3091.631753242575,545.7827745709179,3112.2448375291997,4282.7543295694895,1898.7956276953
F232013,10,0.1,2396.847072133911,644.9599003927326,2360.2328457653894,3810.193857119826,1254.065018912076
F232013,10,0.2,2396.531963086346,645.2568983856884,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.3,2396.530966839449,645.2578702406453,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.4,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.5,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.6,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.7,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.8,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,0.9,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,10,1.0,2396.5309607223235,645.2578762033022,2359.5851592464423,3810.193857119826,1254.065018912076
F232013,30,0.01,11369.283828925214,650.2878625661276,11488.40597626496,12410.477850690319,9908.752468505294
F232013,30,0.1,7823.839728835554,1206.8451800450598,7491.125332459302,11617.333427124535,5617.288083211418
F232013,30,0.2,7713.678326775895,1165.7428827703866,7480.037542026495,11617.151194195218,5269.600108328089
F232013,30,0.3,7700.5480159588315,1165.615056319082,7479.8388730834595,11617.151194195218,5269.362001433291
F232013,30,0.4,7700.356109879617,1165.538548798191,7479.8373822695285,11617.151194195218,5269.362001433291
F232013,30,0.5,7700.341948378415,1165.5304769292293,7479.837372701326,11617.151194195218,5269.362001433291
F232013,30,0.6,7700.33982225385,1165.5297558866946,7479.837372605049,11617.151194195218,5269.362001433291
F232013,30,0.7,7700.207744845117,1165.500362789468,7479.837372605049,11617.151194195218,5269.362001433291
F232013,30,0.8,7700.200888800005,1165.4989523414717,7479.837372605049,11617.151194195218,5269.362001433291
F232013,30,0.9,7700.200597981597,1165.4988987519623,7479.837372605049,11617.151194195218,5269.362001433291
F232013,30,1.0,7700.200597981597,1165.4988987519623,7479.837372605049,11617.151194195218,5269.362001433291
F232013,50,0.01,20336.837180992647,762.8043686840506,20404.311679499628,21551.143242325947,18533.30210047026
F232013,50,0.1,13895.342984025687,1449.568015993637,13635.510749556464,17455.23695208472,10613.368429723694
F232013,50,0.2,13172.516415863642,1461.1714359976772,13019.328054055177,16442.3468259743,10001.263095279337
F232013,50,0.3,13057.294986719133,1492.3646522790734,12818.426875397628,16391.68731691194,9869.797688859475
F232013,50,0.4,13021.77905721648,1517.1919676868208,12818.426875397628,16343.975167402124,9847.431564275199
F232013,50,0.5,13008.550670479073,1518.3767920606035,12818.426875397628,16299.180217884103,9845.654321893184
F232013,50,0.6,12984.472582431268,1491.6999205495995,12818.426875397628,15774.611094418076,9822.17365353981
F232013,50,0.7,12982.395369462907,1494.8072109826003,12818.426875397628,15774.611094418076,9745.649506889697
F232013,50,0.8,12981.906406838716,1494.8194362961192,12818.426875397628,15774.611094418076,9745.235104693304
F232013,50,0.9,12980.718444102133,1494.782815509254,12818.426875397628,15774.611094418076,9744.853582874552
F232013,50,1.0,12978.326436707523,1494.5096374399777,12814.13912035782,15774.611094418076,9744.521595133978
