function,dimension,run,checkpoint,error
F92013,10,0,0.01,"[15.277977892302488, 0.027314186096191406]"
F92013,10,0,0.1,"[13.346481221612294, 0.24755454063415527]"
F92013,10,0,0.2,"[12.577868832070862, 0.4531869888305664]"
F92013,10,0,0.3,"[12.577868832070862, 0.45319080352783203]"
F92013,10,0,0.4,"[12.577868832070862, 0.45319318771362305]"
F92013,10,0,0.5,"[12.577868832070862, 0.45319557189941406]"
F92013,10,0,0.6,"[12.577868832070862, 0.45319700241088867]"
F92013,10,0,0.7,"[12.577868832070862, 0.4531986713409424]"
F92013,10,0,0.8,"[12.577868832070862, 0.4532010555267334]"
F92013,10,0,0.9,"[12.577868832070862, 0.4532029628753662]"
F92013,10,0,1.0,"[12.577868832070862, 0.4532053470611572]"
F92013,10,1,0.01,"[18.583100378656127, 0.05926346778869629]"
F92013,10,1,0.1,"[15.322380647996852, 0.30698466300964355]"
F92013,10,1,0.2,"[15.302133048106498, 0.4975709915161133]"
F92013,10,1,0.3,"[15.302133048106498, 0.4975740909576416]"
F92013,10,1,0.4,"[15.302133048106498, 0.4975757598876953]"
F92013,10,1,0.5,"[15.302133048106498, 0.4975779056549072]"
F92013,10,1,0.6,"[15.302133048106498, 0.49757981300354004]"
F92013,10,1,0.7,"[15.302133048106498, 0.49758124351501465]"
F92013,10,1,0.8,"[15.302133048106498, 0.49758267402648926]"
F92013,10,1,0.9,"[15.302133048106498, 0.4975850582122803]"
F92013,10,1,1.0,"[15.302133048106498, 0.4975872039794922]"
F92013,10,2,0.01,"[16.704660378230983, 0.027124881744384766]"
F92013,10,2,0.1,"[14.676166530075193, 0.2595524787902832]"
F92013,10,2,0.2,"[13.64031083309385, 0.5024664402008057]"
F92013,10,2,0.3,"[13.619958385931795, 0.7456755638122559]"
F92013,10,2,0.4,"[13.619958385931795, 0.7487878799438477]"
F92013,10,2,0.5,"[13.619958385931795, 0.7487916946411133]"
F92013,10,2,0.6,"[13.619958385931795, 0.7487936019897461]"
F92013,10,2,0.7,"[13.619958385931795, 0.7487952709197998]"
F92013,10,2,0.8,"[13.619958385931795, 0.7487969398498535]"
F92013,10,2,0.9,"[13.619958385931795, 0.7487990856170654]"
F92013,10,2,1.0,"[13.619958385931795, 0.7488007545471191]"
F92013,10,3,0.01,"[17.187599229094758, 0.027240753173828125]"
F92013,10,3,0.1,"[15.150291136182204, 0.2470395565032959]"
F92013,10,3,0.2,"[15.087012251267879, 0.48897528648376465]"
F92013,10,3,0.3,"[15.086751376705365, 0.6260631084442139]"
F92013,10,3,0.4,"[15.086751376705365, 0.6260669231414795]"
F92013,10,3,0.5,"[15.086751376705365, 0.6260697841644287]"
F92013,10,3,0.6,"[15.086751376705365, 0.6260712146759033]"
F92013,10,3,0.7,"[15.086751376705365, 0.6260731220245361]"
F92013,10,3,0.8,"[15.086751376705365, 0.6260747909545898]"
F92013,10,3,0.9,"[15.086751376705365, 0.6260766983032227]"
F92013,10,3,1.0,"[15.086751376705365, 0.6260788440704346]"
F92013,10,4,0.01,"[16.571906669589794, 0.027181148529052734]"
F92013,10,4,0.1,"[16.502712207475497, 0.24723529815673828]"
F92013,10,4,0.2,"[16.501852320381204, 0.4908487796783447]"
F92013,10,4,0.3,"[16.50184818054663, 0.5642211437225342]"
F92013,10,4,0.4,"[16.50184818054663, 0.5642249584197998]"
F92013,10,4,0.5,"[16.50184818054663, 0.5642271041870117]"
F92013,10,4,0.6,"[16.50184818054663, 0.5642290115356445]"
F92013,10,4,0.7,"[16.50184818054663, 0.5642306804656982]"
F92013,10,4,0.8,"[16.50184818054663, 0.564232587814331]"
F92013,10,4,0.9,"[16.50184818054663, 0.5642342567443848]"
F92013,10,4,1.0,"[16.50184818054663, 0.5642366409301758]"
F92013,10,5,0.01,"[16.99588004405109, 0.05824470520019531]"
F92013,10,5,0.1,"[16.29436977038631, 0.2299346923828125]"
F92013,10,5,0.2,"[16.29436977038631, 0.22993826866149902]"
F92013,10,5,0.3,"[16.29436977038631, 0.22994065284729004]"
F92013,10,5,0.4,"[16.29436977038631, 0.22994232177734375]"
F92013,10,5,0.5,"[16.29436977038631, 0.22994446754455566]"
F92013,10,5,0.6,"[16.29436977038631, 0.22994613647460938]"
F92013,10,5,0.7,"[16.29436977038631, 0.2299480438232422]"
F92013,10,5,0.8,"[16.29436977038631, 0.229949951171875]"
F92013,10,5,0.9,"[16.29436977038631, 0.2299518585205078]"
F92013,10,5,1.0,"[16.29436977038631, 0.22995376586914062]"
F92013,10,6,0.01,"[16.54653750597538, 0.02720785140991211]"
F92013,10,6,0.1,"[14.325536464170455, 0.24728655815124512]"
F92013,10,6,0.2,"[14.325530215545541, 0.2973048686981201]"
F92013,10,6,0.3,"[14.325530215545541, 0.29730820655822754]"
F92013,10,6,0.4,"[14.325530215545541, 0.29731035232543945]"
F92013,10,6,0.5,"[14.325530215545541, 0.29731249809265137]"
F92013,10,6,0.6,"[14.325530215545541, 0.2973144054412842]"
F92013,10,6,0.7,"[14.325530215545541, 0.2973160743713379]"
F92013,10,6,0.8,"[14.325530215545541, 0.2973179817199707]"
F92013,10,6,0.9,"[14.325530215545541, 0.2973198890686035]"
F92013,10,6,1.0,"[14.325530215545541, 0.29732179641723633]"
F92013,10,7,0.01,"[13.722967647007522, 0.03235912322998047]"
F92013,10,7,0.1,"[13.577851336412209, 0.2944912910461426]"
F92013,10,7,0.2,"[13.577843165292961, 0.35056591033935547]"
F92013,10,7,0.3,"[13.577843165292961, 0.350569486618042]"
F92013,10,7,0.4,"[13.577843165292961, 0.3505716323852539]"
F92013,10,7,0.5,"[13.577843165292961, 0.3505737781524658]"
F92013,10,7,0.6,"[13.577843165292961, 0.35057568550109863]"
F92013,10,7,0.7,"[13.577843165292961, 0.35057735443115234]"
F92013,10,7,0.8,"[13.577843165292961, 0.35057902336120605]"
F92013,10,7,0.9,"[13.577843165292961, 0.35058116912841797]"
F92013,10,7,1.0,"[13.577843165292961, 0.3505833148956299]"
F92013,10,8,0.01,"[14.839717726890285, 0.02717113494873047]"
F92013,10,8,0.1,"[14.709405192920258, 0.24658703804016113]"
F92013,10,8,0.2,"[14.709405192920258, 0.2613546848297119]"
F92013,10,8,0.3,"[14.709405192920258, 0.26135802268981934]"
F92013,10,8,0.4,"[14.709405192920258, 0.26136016845703125]"
F92013,10,8,0.5,"[14.709405192920258, 0.26136207580566406]"
F92013,10,8,0.6,"[14.709405192920258, 0.2613639831542969]"
F92013,10,8,0.7,"[14.709405192920258, 0.2613654136657715]"
F92013,10,8,0.8,"[14.709405192920258, 0.2613673210144043]"
F92013,10,8,0.9,"[14.709405192920258, 0.2613692283630371]"
F92013,10,8,1.0,"[14.709405192920258, 0.2613711357116699]"
F92013,10,9,0.01,"[14.992072925929278, 0.027196168899536133]"
F92013,10,9,0.1,"[14.716920434697954, 0.24748706817626953]"
F92013,10,9,0.2,"[14.711934358058556, 0.4910099506378174]"
F92013,10,9,0.3,"[14.6294721803647, 0.7259879112243652]"
F92013,10,9,0.4,"[14.6294721803647, 0.7259912490844727]"
F92013,10,9,0.5,"[14.6294721803647, 0.7259938716888428]"
F92013,10,9,0.6,"[14.6294721803647, 0.7259953022003174]"
F92013,10,9,0.7,"[14.6294721803647, 0.7259969711303711]"
F92013,10,9,0.8,"[14.6294721803647, 0.7259986400604248]"
F92013,10,9,0.9,"[14.6294721803647, 0.7260005474090576]"
F92013,10,9,1.0,"[14.6294721803647, 0.7260024547576904]"
F92013,10,10,0.01,"[18.20604939344014, 0.027254581451416016]"
F92013,10,10,0.1,"[18.1070717450134, 0.16579294204711914]"
F92013,10,10,0.2,"[18.1070717450134, 0.16579651832580566]"
F92013,10,10,0.3,"[18.1070717450134, 0.16579890251159668]"
F92013,10,10,0.4,"[18.1070717450134, 0.1658003330230713]"
F92013,10,10,0.5,"[18.1070717450134, 0.1658024787902832]"
F92013,10,10,0.6,"[18.1070717450134, 0.16580414772033691]"
F92013,10,10,0.7,"[18.1070717450134, 0.16580629348754883]"
F92013,10,10,0.8,"[18.1070717450134, 0.16580796241760254]"
F92013,10,10,0.9,"[18.1070717450134, 0.16580986976623535]"
F92013,10,10,1.0,"[18.1070717450134, 0.16581177711486816]"
F92013,10,11,0.01,"[16.99569156976463, 0.027513980865478516]"
F92013,10,11,0.1,"[15.86281977957276, 0.24894237518310547]"
F92013,10,11,0.2,"[15.730952794857558, 0.3052973747253418]"
F92013,10,11,0.3,"[15.730952794857558, 0.3053009510040283]"
F92013,10,11,0.4,"[15.730952794857558, 0.30530285835266113]"
F92013,10,11,0.5,"[15.730952794857558, 0.30530500411987305]"
F92013,10,11,0.6,"[15.730952794857558, 0.30530643463134766]"
F92013,10,11,0.7,"[15.730952794857558, 0.30530810356140137]"
F92013,10,11,0.8,"[15.730952794857558, 0.3053102493286133]"
F92013,10,11,0.9,"[15.730952794857558, 0.3053121566772461]"
F92013,10,11,1.0,"[15.730952794857558, 0.305314302444458]"
F92013,10,12,0.01,"[16.575108951273933, 0.036997318267822266]"
F92013,10,12,0.1,"[16.506343638421527, 0.2819371223449707]"
F92013,10,12,0.2,"[15.804234988393091, 0.5240590572357178]"
