function,dimension,run,checkpoint,error
F232013,10,0,0.01,[1698.018610118852]
F232013,10,0,0.1,[1698.018610118852]
F232013,10,0,0.2,[1698.018610118852]
F232013,10,0,0.3,[1698.018610118852]
F232013,10,0,0.4,[1698.018610118852]
F232013,10,0,0.5,[1698.018610118852]
F232013,10,0,0.6,[1698.018610118852]
F232013,10,0,0.7,[1698.018610118852]
F232013,10,0,0.8,[1698.018610118852]
F232013,10,0,0.9,[1698.018610118852]
F232013,10,0,1.0,[1698.018610118852]
F232013,10,1,0.01,[2408.764272075169]
F232013,10,1,0.1,[2408.764272075169]
F232013,10,1,0.2,[2408.764272075169]
F232013,10,1,0.3,[2408.764272075169]
F232013,10,1,0.4,[2408.764272075169]
F232013,10,1,0.5,[2408.764272075169]
F232013,10,1,0.6,[2408.764272075169]
F232013,10,1,0.7,[2408.764272075169]
F232013,10,1,0.8,[2408.764272075169]
F232013,10,1,0.9,[2408.764272075169]
F232013,10,1,1.0,[2408.764272075169]
F232013,10,2,0.01,[2781.398446165692]
F232013,10,2,0.1,[2781.398446165692]
F232013,10,2,0.2,[2781.398446165692]
F232013,10,2,0.3,[2781.398446165692]
F232013,10,2,0.4,[2781.398446165692]
F232013,10,2,0.5,[2781.398446165692]
F232013,10,2,0.6,[2781.398446165692]
F232013,10,2,0.7,[2781.398446165692]
F232013,10,2,0.8,[2781.398446165692]
F232013,10,2,0.9,[2781.398446165692]
F232013,10,2,1.0,[2781.398446165692]
F232013,10,3,0.01,[1589.4836738899776]
F232013,10,3,0.1,[1589.4836738899776]
F232013,10,3,0.2,[1589.4836738899776]
F232013,10,3,0.3,[1589.4836738899776]
F232013,10,3,0.4,[1589.4836738899776]
F232013,10,3,0.5,[1589.4836738899776]
F232013,10,3,0.6,[1589.4836738899776]
F232013,10,3,0.7,[1589.4836738899776]
F232013,10,3,0.8,[1589.4836738899776]
F232013,10,3,0.9,[1589.4836738899776]
F232013,10,3,1.0,[1589.4836738899776]
F232013,10,4,0.01,[2280.28745543538]
F232013,10,4,0.1,[2280.2485711490754]
F232013,10,4,0.2,[2280.2485711490754]
F232013,10,4,0.3,[2280.2485711490754]
F232013,10,4,0.4,[2280.2485711490754]
F232013,10,4,0.5,[2280.2485711490754]
F232013,10,4,0.6,[2280.2485711490754]
F232013,10,4,0.7,[2280.2485711490754]
F232013,10,4,0.8,[2280.2485711490754]
F232013,10,4,0.9,[2280.2485711490754]
F232013,10,4,1.0,[2280.2485711490754]
F232013,10,5,0.01,[2259.277478900459]
F232013,10,5,0.1,[2259.2620940038705]
F232013,10,5,0.2,[2259.2620940038705]
F232013,10,5,0.3,[2259.2620940038705]
F232013,10,5,0.4,[2259.2620940038705]
F232013,10,5,0.5,[2259.2620940038705]
F232013,10,5,0.6,[2259.2620940038705]
F232013,10,5,0.7,[2259.2620940038705]
F232013,10,5,0.8,[2259.2620940038705]
F232013,10,5,0.9,[2259.2620940038705]
F232013,10,5,1.0,[2259.2620940038705]
F232013,10,6,0.01,[1679.6738728213609]
F232013,10,6,0.1,[1679.6738728213609]
F232013,10,6,0.2,[1679.6738728213609]
F232013,10,6,0.3,[1679.6738728213609]
F232013,10,6,0.4,[1679.6738728213609]
F232013,10,6,0.5,[1679.6738728213609]
F232013,10,6,0.6,[1679.6738728213609]
F232013,10,6,0.7,[1679.6738728213609]
F232013,10,6,0.8,[1679.6738728213609]
F232013,10,6,0.9,[1679.6738728213609]
F232013,10,6,1.0,[1679.6738728213609]
F232013,10,7,0.01,[3014.638842902235]
F232013,10,7,0.1,[2792.1432874070606]
F232013,10,7,0.2,[2792.1432874070606]
F232013,10,7,0.3,[2792.1432874070606]
F232013,10,7,0.4,[2792.1432874070606]
F232013,10,7,0.5,[2792.1432874070606]
F232013,10,7,0.6,[2792.1432874070606]
F232013,10,7,0.7,[2792.1432874070606]
F232013,10,7,0.8,[2792.1432874070606]
F232013,10,7,0.9,[2792.1432874070606]
F232013,10,7,1.0,[2792.1432874070606]
F232013,10,8,0.01,[2726.9923406760604]
F232013,10,8,0.1,[2726.9923406760604]
F232013,10,8,0.2,[2726.9923406760604]
F232013,10,8,0.3,[2726.9923406760604]
F232013,10,8,0.4,[2726.9923406760604]
F232013,10,8,0.5,[2726.9923406760604]
F232013,10,8,0.6,[2726.9923406760604]
F232013,10,8,0.7,[2726.9923406760604]
F232013,10,8,0.8,[2726.9923406760604]
F232013,10,8,0.9,[2726.9923406760604]
F232013,10,8,1.0,[2726.9923406760604]
F232013,10,9,0.01,[2578.7933767061313]
F232013,10,9,0.1,[2578.7933767061313]
F232013,10,9,0.2,[2578.7933767061313]
F232013,10,9,0.3,[2578.7933767061313]
F232013,10,9,0.4,[2578.7933767061313]
F232013,10,9,0.5,[2578.7933767061313]
F232013,10,9,0.6,[2578.7933767061313]
F232013,10,9,0.7,[2578.7933767061313]
F232013,10,9,0.8,[2578.7933767061313]
F232013,10,9,0.9,[2578.7933767061313]
F232013,10,9,1.0,[2578.7933767061313]
F232013,10,10,0.01,[2707.2950330812587]
F232013,10,10,0.1,[2707.2950330812587]
F232013,10,10,0.2,[2707.2950330812587]
F232013,10,10,0.3,[2707.2950330812587]
F232013,10,10,0.4,[2707.2950330812587]
F232013,10,10,0.5,[2707.2950330812587]
F232013,10,10,0.6,[2707.2950330812587]
F232013,10,10,0.7,[2707.2950330812587]
F232013,10,10,0.8,[2707.2950330812587]
F232013,10,10,0.9,[2707.2950330812587]
F232013,10,10,1.0,[2707.2950330812587]
F232013,10,11,0.01,[1270.877295168073]
F232013,10,11,0.1,[1270.877295168073]
F232013,10,11,0.2,[1270.877295168073]
F232013,10,11,0.3,[1270.877295168073]
F232013,10,11,0.4,[1270.877295168073]
F232013,10,11,0.5,[1270.877295168073]
F232013,10,11,0.6,[1270.877295168073]
F232013,10,11,0.7,[1270.877295168073]
F232013,10,11,0.8,[1270.877295168073]
F232013,10,11,0.9,[1270.877295168073]
F232013,10,11,1.0,[1270.877295168073]
F232013,10,12,0.01,[3938.1845270636622]
F232013,10,12,0.1,[3938.1845270636622]
F232013,10,12,0.2,[3938.1845270636622]
F232013,10,12,0.3,[3938.1845270636622]
F232013,10,12,0.4,[3938.1845270636622]
F232013,10,12,0.5,[3938.1845270636622]
F232013,10,12,0.6,[3938.1845270636622]
F232013,10,12,0.7,[3938.1845270636622]
F232013,10,12,0.8,[3938.1845270636622]
F232013,10,12,0.9,[3938.1845270636622]
F232013,10,12,1.0,[3938.1845270636622]
F232013,10,13,0.01,[2180.0755371842956]
F232013,10,13,0.1,[2180.0755371842956]
F232013,10,13,0.2,[2180.0755371842956]
F232013,10,13,0.3,[2180.0755371842956]
F232013,10,13,0.4,[2180.0755371842956]
F232013,10,13,0.5,[2180.0755371842956]
F232013,10,13,0.6,[2180.0755371842956]
F232013,10,13,0.7,[2180.0755371842956]
F232013,10,13,0.8,[2180.0755371842956]
F232013,10,13,0.9,[2180.0755371842956]
F232013,10,13,1.0,[2180.0755371842956]
F232013,10,14,0.01,[2901.5236317038466]
F232013,10,14,0.1,[2901.5236317038466]
F232013,10,14,0.2,[2901.5236317038466]
F232013,10,14,0.3,[2901.5236317038466]
F232013,10,14,0.4,[2901.5236317038466]
F232013,10,14,0.5,[2901.5236317038466]
F232013,10,14,0.6,[2901.5236317038466]
F232013,10,14,0.7,[2901.5236317038466]
F232013,10,14,0.8,[2901.5236317038466]
F232013,10,14,0.9,[2901.5236317038466]
F232013,10,14,1.0,[2901.5236317038466]
F232013,10,15,0.01,[2729.766158103109]
F232013,10,15,0.1,[2729.766158103109]
F232013,10,15,0.2,[2729.766158103109]
F232013,10,15,0.3,[2729.766158103109]
F232013,10,15,0.4,[2729.766158103109]
F232013,10,15,0.5,[2729.766158103109]
F232013,10,15,0.6,[2729.766158103109]
F232013,10,15,0.7,[2729.766158103109]
F232013,10,15,0.8,[2729.766158103109]
F232013,10,15,0.9,[2729.766158103109]
F232013,10,15,1.0,[2729.766158103109]
F232013,10,16,0.01,[2491.1460126413494]
F232013,10,16,0.1,[2489.32022095159]
F232013,10,16,0.2,[2489.32022095159]
F232013,10,16,0.3,[2489.32022095159]
F232013,10,16,0.4,[2489.32022095159]
F232013,10,16,0.5,[2489.32022095159]
F232013,10,16,0.6,[2489.32022095159]
F232013,10,16,0.7,[2489.32022095159]
F232013,10,16,0.8,[2489.32022095159]
F232013,10,16,0.9,[2489.32022095159]
F232013,10,16,1.0,[2489.32022095159]
F232013,10,17,0.01,[2809.894861125594]
F232013,10,17,0.1,[2793.9369424963384]
F232013,10,17,0.2,[2793.9369424963384]
F232013,10,17,0.3,[2793.9369424963384]
F232013,10,17,0.4,[2793.9369424963384]
F232013,10,17,0.5,[2793.9369424963384]
F232013,10,17,0.6,[2793.9369424963384]
F232013,10,17,0.7,[2793.9369424963384]
F232013,10,17,0.8,[2793.9369424963384]
F232013,10,17,0.9,[2793.9369424963384]
F232013,10,17,1.0,[2793.9369424963384]
F232013,10,18,0.01,[3004.2682801415367]
F232013,10,18,0.1,[3004.2682801415367]
F232013,10,18,0.2,[3004.2682801415367]
F232013,10,18,0.3,[3004.2682801415367]
F232013,10,18,0.4,[3004.2682801415367]
F232013,10,18,0.5,[3004.2682801415367]
F232013,10,18,0.6,[3004.2682801415367]
F232013,10,18,0.7,[3004.2682801415367]
F232013,10,18,0.8,[3004.2682801415367]
F232013,10,18,0.9,[3004.2682801415367]
F232013,10,18,1.0,[3004.2682801415367]
F232013,10,19,0.01,[2198.154765190152]
F232013,10,19,0.1,[2192.346473561275]
