function,dimensions,checkpoint,mean,std,median,max,min
F22013,10,0.01,94314184.70545344,227191229.12153175,37516377.4250705,1003079101.1915804,37516377.4250705
F22013,10,0.1,29725.89227118597,2589.288736001896,29078.570087185497,40083.047215193554,29078.570087185497
F22013,10,0.2,0,0,0,0,0
F22013,10,0.3,0,0,0,0,0
F22013,10,0.4,0,0,0,0,0
F22013,10,0.5,0,0,0,0,0
F22013,10,0.6,0,0,0,0,0
F22013,10,0.7,0,0,0,0,0
F22013,10,0.8,0,0,0,0,0
F22013,10,0.9,0,0,0,0,0
F22013,10,1.0,0,0,0,0,0
F22013,30,0.01,1124589786.9144766,57512524.5457337,1138967918.0509098,1138967918.0509098,894539688.7315415
F22013,30,0.1,5017457.9234256325,223477.13449508458,5073327.207049403,5073327.207049403,4123549.385445294
F22013,30,0.2,221763.85130914993,23412.809651122167,227617.0537219305,227617.0537219305,128112.61270466131
F22013,30,0.3,29517.346990915703,2491.999873982535,28894.347022420072,39485.34648684585,28894.347022420072
F22013,30,0.4,1488.8695415355853,543.1529686731516,1353.081299367297,3661.4814162281914,1353.081299367297
F22013,30,0.5,72.94287346702501,258.9208024948174,8.21267284332066,1108.6260834462946,8.21267284332066
F22013,30,0.6,6.097776777631439e-08,1.6463405593051848e-07,1.9819253793684766e-08,7.195139914983884e-07,1.9819253793684766e-08
F22013,30,0.7,0,0,0,0,0
F22013,30,0.8,0,0,0,0,0
F22013,30,0.9,0,0,0,0,0
F22013,30,1.0,0,0,0,0,0
F22013,50,0.01,1914963918.368645,98469432.51773925,1939581276.49808,1939581276.49808,1521086188.2976882
F22013,50,0.1,38690372.47099652,5184210.351528464,37394319.883114405,59427213.87711038,37394319.883114405
F22013,50,0.2,2601960.82090263,322268.3380137401,2521393.7363991956,3891034.172957591,2521393.7363991956
F22013,50,0.3,376895.0154118937,165185.5616095321,335598.6250095107,1037637.2618500221,335598.6250095107
F22013,50,0.4,92673.97032524501,21990.350606662305,87176.38267357943,180635.37275189423,87176.38267357943
F22013,50,0.5,14410.965654528129,2882.543294700126,13690.3298308531,25941.138833328634,13690.3298308531
F22013,50,0.6,3835.654878700841,212.21225008626007,3782.601816179275,4684.50387904588,3782.601816179275
F22013,50,0.7,381.93731532415575,79.82885467268093,361.98010165598544,701.2527340148794,361.98010165598544
F22013,50,0.8,10.074474118294601,8.219663201478504,8.019558317924975,42.95312692420862,8.019558317924975
F22013,50,0.9,0.2898114538910009,0.9029968637098991,0.06406223796352606,3.9017989087305978,0.06406223796352606
F22013,50,1.0,0.0009657359593588541,0.002426645351721056,0.00035907462142859004,0.010672317366243078,0.00035907462142859004
