function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,5664477.378141018,8210195.65840721,2790910.186229028,45537641.23197078,527101.6330135955
F32013,10,0.1,2.6346232290741627,15.994144035405025,0.014807820770101898,115.07817354113013,3.0330215849971864e-06
F32013,10,0.2,0,0,0,0,0
F32013,10,0.3,0,0,0,0,0
F32013,10,0.4,0,0,0,0,0
F32013,10,0.5,0,0,0,0,0
F32013,10,0.6,0,0,0,0,0
F32013,10,0.7,0,0,0,0,0
F32013,10,0.8,0,0,0,0,0
F32013,10,0.9,0,0,0,0,0
F32013,10,1.0,0,0,0,0,0
F32013,30,0.01,6560114722.908255,1825715490.7267935,6378553044.621593,11261050079.268831,3767175410.716517
F32013,30,0.1,0,0,0,0,0
F32013,30,0.2,0,0,0,0,0
F32013,30,0.3,0,0,0,0,0
F32013,30,0.4,0,0,0,0,0
F32013,30,0.5,0,0,0,0,0
F32013,30,0.6,0,0,0,0,0
F32013,30,0.7,0,0,0,0,0
F32013,30,0.8,0,0,0,0,0
F32013,30,0.9,0,0,0,0,0
F32013,30,1.0,0,0,0,0,0
F32013,50,0.01,31018681476.89614,6687739027.010134,30646828167.898907,50144416341.41213,18012770715.43589
F32013,50,0.1,0,0,0,0,0
F32013,50,0.2,0,0,0,0,0
F32013,50,0.3,0,0,0,0,0
F32013,50,0.4,0,0,0,0,0
F32013,50,0.5,0,0,0,0,0
F32013,50,0.6,0,0,0,0,0
F32013,50,0.7,0,0,0,0,0
F32013,50,0.8,0,0,0,0,0
F32013,50,0.9,0,0,0,0,0
F32013,50,1.0,0,0,0,0,0
