function,dimension,run,checkpoint,error
F22013,10,0,0.01,[12027997.06121015]
F22013,10,0,0.1,[0]
F22013,10,0,0.2,[0]
F22013,10,0,0.3,[0]
F22013,10,0,0.4,[0]
F22013,10,0,0.5,[0]
F22013,10,0,0.6,[0]
F22013,10,0,0.7,[0]
F22013,10,0,0.8,[0]
F22013,10,0,0.9,[0]
F22013,10,0,1.0,[0]
F22013,10,1,0.01,[5014429.864688779]
F22013,10,1,0.1,[0]
F22013,10,1,0.2,[0]
F22013,10,1,0.3,[0]
F22013,10,1,0.4,[0]
F22013,10,1,0.5,[0]
F22013,10,1,0.6,[0]
F22013,10,1,0.7,[0]
F22013,10,1,0.8,[0]
F22013,10,1,0.9,[0]
F22013,10,1,1.0,[0]
F22013,10,2,0.01,[9723386.29339502]
F22013,10,2,0.1,[0]
F22013,10,2,0.2,[0]
F22013,10,2,0.3,[0]
F22013,10,2,0.4,[0]
F22013,10,2,0.5,[0]
F22013,10,2,0.6,[0]
F22013,10,2,0.7,[0]
F22013,10,2,0.8,[0]
F22013,10,2,0.9,[0]
F22013,10,2,1.0,[0]
F22013,10,3,0.01,[9311228.770431772]
F22013,10,3,0.1,[0]
F22013,10,3,0.2,[0]
F22013,10,3,0.3,[0]
F22013,10,3,0.4,[0]
F22013,10,3,0.5,[0]
F22013,10,3,0.6,[0]
F22013,10,3,0.7,[0]
F22013,10,3,0.8,[0]
F22013,10,3,0.9,[0]
F22013,10,3,1.0,[0]
F22013,10,4,0.01,[12298955.11894665]
F22013,10,4,0.1,[0]
F22013,10,4,0.2,[0]
F22013,10,4,0.3,[0]
F22013,10,4,0.4,[0]
F22013,10,4,0.5,[0]
F22013,10,4,0.6,[0]
F22013,10,4,0.7,[0]
F22013,10,4,0.8,[0]
F22013,10,4,0.9,[0]
F22013,10,4,1.0,[0]
F22013,10,5,0.01,[13708502.223306553]
F22013,10,5,0.1,[0]
F22013,10,5,0.2,[0]
F22013,10,5,0.3,[0]
F22013,10,5,0.4,[0]
F22013,10,5,0.5,[0]
F22013,10,5,0.6,[0]
F22013,10,5,0.7,[0]
F22013,10,5,0.8,[0]
F22013,10,5,0.9,[0]
F22013,10,5,1.0,[0]
F22013,10,6,0.01,[591791.5040201099]
F22013,10,6,0.1,[1.4635816114605404e-08]
F22013,10,6,0.2,[0]
