function,dimensions,checkpoint,mean,std,median,max,min
F72013,10,0.01,6164.918997004934,3903.106524595491,4772.437770239184,17019.951067806873,1313.6352123900792
F72013,10,0.1,5662.204668495661,3389.3618033256075,4361.5464112585905,14057.266054851765,1289.2840425674779
F72013,10,0.2,5645.090662613456,3389.681673430724,4360.543350060284,14057.266054851698,1289.2840425674729
F72013,10,0.3,5644.179532788128,3388.8066461536846,4357.7638412880515,14057.266054851696,1289.2840425674724
F72013,10,0.4,5644.134797732101,3388.8072907350734,4357.439052411405,14057.266054851696,1289.2840425674729
F72013,10,0.5,5644.105784511387,3388.788929376824,4357.426992512566,14057.266054851689,1289.2840425674724
F72013,10,0.6,5644.073611421741,3388.7860479391675,4357.4267145481745,14057.266054851696,1289.2840425674729
F72013,10,0.7,5644.051018481833,3388.785335499717,4357.425107615811,14057.266054851692,1289.2840425674724
F72013,10,0.8,5644.029329683224,3388.780748773457,4357.423233619167,14057.266054851696,1289.2840425674729
F72013,10,0.9,5644.007258314112,3388.7724670690236,4357.418759218326,14057.266054851696,1289.2840425674729
F72013,10,1.0,5643.987405163157,3388.78631313381,4357.415744106031,14057.266054851692,1289.2840425674724
F72013,30,0.01,132818.1207127031,51205.0261520151,125273.10748504341,435858.1277316891,82511.57161723413
F72013,30,0.1,115542.41029519979,39713.192019920134,108041.36659402652,354503.0446736682,77177.62456079017
F72013,30,0.2,112887.53667212112,36856.270623478755,105260.1407767438,331919.0398871305,76620.63148023383
F72013,30,0.3,111890.13059453826,36481.3118477225,103247.42833372002,330006.22966095054,76591.57512052069
F72013,30,0.4,111550.93378583959,36376.159105030456,102891.00398772956,329212.7018963512,76580.78325534952
F72013,30,0.5,111409.5952149008,36235.995433214164,102782.35496783665,328215.1542805578,76516.77453580814
F72013,30,0.6,111320.03205034308,36144.83290515451,102781.57791996507,327478.64298952854,76510.99359848812
F72013,30,0.7,111286.77331238205,36097.748514541934,102781.57791753294,327066.42313826806,76510.97639190302
F72013,30,0.8,111207.92089009627,36093.23659867976,102781.57791753206,327065.411286073,76510.97639190237
F72013,30,0.9,111118.18710741904,36087.954188192765,102781.57791753202,327063.26724292466,76510.97639190205
F72013,30,1.0,111075.6645137361,36057.33711941402,102781.57791753202,326979.7317490184,76510.97639190224
F72013,50,0.01,422585.9698323957,144093.01355647287,393080.2850257747,1357507.867812174,328180.7209990118
F72013,50,0.1,355497.9613485052,91672.79476419036,339655.72948933626,951126.7456154916,284528.9985207755
F72013,50,0.2,343478.01168987865,82310.97224076098,329808.41391376004,873668.6351349168,273038.2149490103
F72013,50,0.3,340061.3716671957,81678.27785811029,323932.4466812889,867650.4871336163,271430.77412870084
F72013,50,0.4,338482.4133667964,81190.46052774206,322628.43296787667,863793.9481163308,270408.49511926
F72013,50,0.5,337605.47989127605,81213.56734139788,321632.38750074577,862994.1539347537,269495.5039618789
F72013,50,0.6,336742.2655635253,80807.74347317318,320674.2389994768,859033.4632112515,269114.95690019964
F72013,50,0.7,336243.7003555079,80471.32746257105,320576.0729288793,856045.546300126,268761.75394054106
F72013,50,0.8,335822.2274425798,80478.21327761665,320337.6868313764,855830.9373442454,268421.1494924846
F72013,50,0.9,335588.3390103293,80469.12958262835,320201.7252549362,855510.884130782,268329.14396848326
F72013,50,1.0,335399.6495111502,80493.49992488298,320182.8547201613,855488.5918270224,268039.75262081594
